,kettledrum_male,kettledrum_female,tuple,average_male,average_female,female-male
0,-0.03700545,0.03471485,"('unsociable', 'sociable')",-0.0370055,0.0347149,0.0717204
1,0.1172159,0.013954405,"('unfriendly', 'friendly')",0.1172159,0.0139544,-0.1032615
2,-0.37208498,-0.30456245,"('unlikable', 'likable')",-0.372085,-0.3045624,0.0675226
3,-0.19136052,-0.038205728,"('repellent', 'pleasant')",-0.1913605,-0.0382057,0.1531548
4,-3.4599144,-3.4846225,"('disliked', 'liked')",-3.4599144,-3.4846225,-0.0247081
5,-0.97470546,-0.9674294,"('distant', 'outgoing')",-0.9747055,-0.9674294,0.0072761
6,-0.8509211,-0.90800714,"('distant', 'open')",-0.8509211,-0.9080071,-0.057086
7,0.844784,0.8823858,"('insensitive', 'sensitive')",0.844784,0.8823858,0.0376018
8,0.24550977,0.21616688,"('unaffectionate', 'affectionate')",0.2455098,0.2161669,-0.0293429
9,0.38767356,0.41906425,"('unaffectionate', 'caring')",0.3876736,0.4190643,0.0313907
10,0.23867062,0.33317715,"('unsympathetic', 'sympathetic')",0.2386706,0.3331771,0.0945065
11,0.7886356,0.8712247,"('unhelpful', 'helpful')",0.7886356,0.8712247,0.0825891
12,-0.6235935,-0.46909788,"('unsupportive', 'supportive')",-0.6235935,-0.4690979,0.1544956
13,0.22050607,0.22724749,"('impolite', 'polite')",0.2205061,0.2272475,0.0067414
14,0.112531945,0.30572554,"('antisocial', 'social')",0.1125319,0.3057255,0.1931936
15,0.58068454,0.45468795,"('boring', 'funny')",0.5806845,0.454688,-0.1259965
16,-0.9118146,-1.0565397,"('unpopular', 'popular')",-0.9118146,-1.0565397,-0.1447251
17,-0.75794524,-0.68257797,"('nasty', 'nice')",-0.7579452,-0.682578,0.0753672
18,-0.78777105,-0.7603173,"('disagreeable', 'welcoming')",-0.787771,-0.7603173,0.0274537
19,-0.46514568,-0.46942142,"('inhospitable', 'hospitable')",-0.4651457,-0.4694214,-0.0042757
20,0.051844835,0.11475538,"('rough', 'thoughtful')",0.0518448,0.1147554,0.0629106
21,-0.5177914,-0.41507772,"('immoral', 'moral')",-0.5177914,-0.4150777,0.1027137
22,0.8197772,0.76334244,"('untrustworthy', 'trustworthy')",0.8197772,0.7633424,-0.0564348
23,3.0653503,3.091279,"('insincere', 'sincere')",3.0653503,3.091279,0.0259287
24,1.0023934,0.92025286,"('dishonest', 'honest')",1.0023934,0.9202529,-0.0821405
25,0.09602451,0.05739095,"('egoistic', 'altruistic')",0.0960245,0.057391,-0.0386335
26,1.0298506,0.84784114,"('hardhearted', 'benevolent')",1.0298506,0.8478411,-0.1820095
27,0.5883541,0.42254457,"('hardhearted', 'softhearted')",0.5883541,0.4225446,-0.1658095
28,1.0659626,0.98266315,"('disloyal', 'loyal')",1.0659626,0.9826632,-0.0832994
29,-0.26218432,-0.25787702,"('unfair', 'fair')",-0.2621843,-0.257877,0.0043073
30,0.11519129,0.29664698,"('intolerant', 'tolerant')",0.1151913,0.296647,0.1814557
31,-0.7154183,-0.80255914,"('evil', 'good')",-0.7154183,-0.8025591,-0.0871408
32,0.69394386,0.53113663,"('unkind', 'kind')",0.6939439,0.5311366,-0.1628073
33,-0.10764751,-0.11371075,"('wrong', 'right')",-0.1076475,-0.1137108,-0.0060633
34,1.8137064,1.9254124,"('mean', 'honorable')",1.8137064,1.9254124,0.111706
35,0.07913863,-0.24735679,"('corrupt', 'incorrupt')",0.0791386,-0.2473568,-0.3264954
36,-0.5278965,-0.7206495,"('hostile', 'amicable')",-0.5278965,-0.7206495,-0.192753
37,0.65766007,0.64065266,"('fake', 'genuine')",0.6576601,0.6406527,-0.0170074
38,-0.20413792,-0.25713614,"('untruthful', 'truthful')",-0.2041379,-0.2571361,-0.0529982
39,0.56300074,0.5786539,"('exploitative', 'cooperative')",0.5630007,0.5786539,0.0156532
