,oracle_male,oracle_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.4493829,-0.4697244,"('unsociable', 'sociable')",0.18188047,0.163387,-0.1337512,-0.1531687,-0.0194175
1,1.5701147,1.5420966,"('unfriendly', 'friendly')",1.0099448,0.6892752,1.2900298,1.1156859,-0.1743439
2,1.21371,1.1722254,"('unlikable', 'likable')",0.75267243,0.6470808,0.9831912,0.9096531,-0.0735381
3,-0.7479116,-0.53856623,"('repellent', 'pleasant')",0.90707105,0.99231046,0.0795797,0.2268721,0.1472924
4,-0.11579936,-0.15954581,"('disliked', 'liked')",-6.3218036,-6.7527704,-3.2188015,-3.4561582,-0.2373567
5,1.0040753,0.92627424,"('distant', 'outgoing')",-0.8674896,-0.9920186,0.0682929,-0.0328722,-0.1011651
6,1.3328934,1.3076544,"('distant', 'open')",-0.7572552,-0.9162849,0.2878191,0.1956847,-0.0921344
7,-0.10336922,0.00871511,"('insensitive', 'sensitive')",0.31775883,0.4265824,0.1071948,0.2176488,0.110454
8,1.0248475,0.860552,"('unaffectionate', 'affectionate')",-0.044564955,-0.25463048,0.4901413,0.3029608,-0.1871805
9,1.6199514,1.5743024,"('unaffectionate', 'caring')",0.8257218,0.700699,1.2228366,1.1375008,-0.0853358
10,-0.81574076,-0.6972964,"('unsympathetic', 'sympathetic')",0.20556095,0.27812123,-0.3050899,-0.2095876,0.0955023
11,0.21788336,0.19095005,"('unhelpful', 'helpful')",2.4464967,2.4927566,1.33219,1.3418534,0.0096634
12,1.0500171,1.1391028,"('unsupportive', 'supportive')",-1.5529041,-1.6288944,-0.2514435,-0.2448958,0.0065477
13,-1.1203469,-1.15658,"('impolite', 'polite')",-0.47271422,-0.3161938,-0.7965305,-0.7363869,0.0601436
14,0.0072533526,0.0581124,"('antisocial', 'social')",0.16305122,0.24825624,0.0851523,0.1531843,0.068032
15,0.26423928,0.041456744,"('boring', 'funny')",-0.45613268,-0.48305726,-0.0959467,-0.2208003,-0.1248536
16,0.38131136,0.33483684,"('unpopular', 'popular')",0.4635486,0.3581999,0.42243,0.3465184,-0.0759116
17,-0.6417903,-0.63316685,"('nasty', 'nice')",-0.58765763,-0.48823234,-0.6147239,-0.5606996,0.0540243
18,0.9207647,0.9286545,"('disagreeable', 'welcoming')",-0.4378047,-0.5812651,0.24148,0.1736947,-0.0677853
19,-0.008771092,-0.079277456,"('inhospitable', 'hospitable')",-0.7778258,-0.82280564,-0.3932984,-0.4510415,-0.0577431
20,0.7437201,0.78315043,"('rough', 'thoughtful')",0.7485473,0.77648634,0.7461337,0.7798184,0.0336847
21,-0.11673432,-0.056341656,"('immoral', 'moral')",-0.22971755,-0.12152348,-0.1732259,-0.0889326,0.0842933
22,-0.38498744,-0.33808592,"('untrustworthy', 'trustworthy')",-0.82584774,-0.7687283,-0.6054176,-0.5534071,0.0520105
23,0.6312601,0.6888585,"('insincere', 'sincere')",5.656007,5.883625,3.1436334,3.2862418,0.1426084
24,0.7792504,0.8759493,"('dishonest', 'honest')",0.835841,0.89208627,0.8075457,0.8840178,0.0764721
25,0.8607297,0.8081775,"('egoistic', 'altruistic')",0.84225583,0.64690137,0.8514928,0.7275394,-0.1239534
26,2.1848035,2.1022356,"('hardhearted', 'benevolent')",1.397711,1.1413954,1.7912573,1.6218154,-0.1694419
27,0.29262418,0.27258924,"('hardhearted', 'softhearted')",0.46166775,0.4501444,0.3771459,0.3613668,-0.0157791
28,0.034012202,0.0014614463,"('disloyal', 'loyal')",0.9067055,0.8726729,0.4703588,0.4370672,-0.0332916
29,0.17848769,0.1816471,"('unfair', 'fair')",-0.49594635,-0.5576535,-0.1587293,-0.1880032,-0.0292739
30,0.69522494,0.70303625,"('intolerant', 'tolerant')",0.78689843,0.7424542,0.7410617,0.7227452,-0.0183165
31,-0.41898477,-0.42808852,"('evil', 'good')",-1.488626,-1.685804,-0.9538054,-1.0569463,-0.1031409
32,0.33190328,0.33373505,"('unkind', 'kind')",0.7318732,0.62702113,0.5318882,0.4803781,-0.0515101
33,1.2927893,1.1991985,"('wrong', 'right')",-0.59388626,-0.6532288,0.3494515,0.2729848,-0.0764667
