,kellogg_male,kellogg_female,tuple,co_male,co_female,average_male,average_female,female-male
0,0.124638446,0.011148643,"('unsociable', 'sociable')",-0.06414689,-0.17754877,0.0302458,-0.0832001,-0.1134459
1,2.4935565,2.5298011,"('unfriendly', 'friendly')",1.7950498,1.7575296,2.1443031,2.1436653,-0.0006378
2,-0.1869449,-0.08558133,"('unlikable', 'likable')",0.39286178,0.53562224,0.1029584,0.2250205,0.1220621
3,-2.1673408,-2.1387622,"('repellent', 'pleasant')",-0.23117992,-0.21110314,-1.1992604,-1.1749327,0.0243277
4,0.36499822,0.32563716,"('disliked', 'liked')",-6.808943,-6.894248,-3.2219722,-3.2843053,-0.0623331
5,1.6485142,1.6827501,"('distant', 'outgoing')",-0.49666017,-0.4429097,0.575927,0.6199202,0.0439932
6,1.3522851,1.4345405,"('distant', 'open')",-0.17625622,-0.10508364,0.5880145,0.6647285,0.076714
7,-0.63490456,-0.59275305,"('insensitive', 'sensitive')",-0.33512622,-0.28193164,-0.4850154,-0.4373423,0.0476731
8,1.520699,1.5864902,"('unaffectionate', 'affectionate')",0.6741303,0.645248,1.0974147,1.115869,0.0184543
9,2.0723877,2.1516826,"('unaffectionate', 'caring')",1.2145588,1.2471862,1.6434733,1.6994344,0.0559611
10,-0.7486429,-0.78456426,"('unsympathetic', 'sympathetic')",-0.40316743,-0.48978296,-0.5759052,-0.6371736,-0.0612684
11,-0.91708446,-0.8733163,"('unhelpful', 'helpful')",1.4959459,1.5374627,0.2894307,0.3320732,0.0426425
12,1.3366302,1.4194268,"('unsupportive', 'supportive')",-1.6258262,-1.6036882,-0.144598,-0.0921307,0.0524673
13,-0.42249775,-0.49604833,"('impolite', 'polite')",-0.5692598,-0.633714,-0.4958788,-0.5648812,-0.0690024
14,-0.82653123,-0.93342924,"('antisocial', 'social')",-0.96655625,-1.0190748,-0.8965437,-0.976252,-0.0797083
15,1.027496,0.99645835,"('boring', 'funny')",0.46164492,0.47588882,0.7445704,0.7361736,-0.0083968
16,-0.556684,-0.5231117,"('unpopular', 'popular')",-0.36189464,-0.34591943,-0.4592893,-0.4345156,0.0247737
17,-0.44190997,-0.40799016,"('nasty', 'nice')",-0.6416673,-0.570953,-0.5417886,-0.4894716,0.052317
18,0.017246805,0.09227498,"('disagreeable', 'welcoming')",-1.0759329,-1.0371246,-0.529343,-0.4724248,0.0569182
19,0.43601826,0.5011304,"('inhospitable', 'hospitable')",-0.123571455,-0.06328662,0.1562234,0.2189219,0.0626985
20,0.7966661,0.8350865,"('rough', 'thoughtful')",0.735872,0.70492154,0.766269,0.770004,0.003735
21,-0.20379978,-0.25380284,"('immoral', 'moral')",-1.0115414,-1.0000932,-0.6076705,-0.626948,-0.0192775
22,-1.7424917,-1.8468865,"('untrustworthy', 'trustworthy')",-1.2712278,-1.3058966,-1.5068598,-1.5763916,-0.0695318
23,0.28259322,0.31239784,"('insincere', 'sincere')",5.572627,5.5686083,2.9276102,2.9405031,0.0128929
24,-0.39950034,-0.4447252,"('dishonest', 'honest')",0.3182495,0.34356552,-0.0406254,-0.0505798,-0.0099544
25,2.0646157,2.0907907,"('egoistic', 'altruistic')",1.6741316,1.6989238,1.8693737,1.8948573,0.0254836
26,3.2376628,3.2443168,"('hardhearted', 'benevolent')",1.9146752,1.8830884,2.576169,2.5637026,-0.0124664
27,0.6547967,0.6901823,"('hardhearted', 'softhearted')",1.0372162,0.97304416,0.8460065,0.8316132,-0.0143933
28,-0.011065252,-0.108168066,"('disloyal', 'loyal')",0.9943699,0.9388217,0.4916523,0.4153268,-0.0763255
