,deer_male,deer_female,tuple,average_male,average_female,female-male
0,0.048393905,0.07932097,"('unsociable', 'sociable')",0.0483939,0.079321,0.0309271
1,0.92168885,1.0490892,"('unfriendly', 'friendly')",0.9216889,1.0490892,0.1274003
2,0.30085844,0.5210259,"('unlikable', 'likable')",0.3008584,0.5210259,0.2201675
3,0.8245697,1.004208,"('repellent', 'pleasant')",0.8245697,1.004208,0.1796383
4,-7.0216947,-6.95813,"('disliked', 'liked')",-7.0216947,-6.9581299,0.0635648
5,-0.6417551,-0.50022155,"('distant', 'outgoing')",-0.6417551,-0.5002216,0.1415335
6,-0.123495206,-0.059672,"('distant', 'open')",-0.1234952,-0.059672,0.0638232
7,1.359174,1.4866526,"('insensitive', 'sensitive')",1.359174,1.4866526,0.1274786
8,1.2700363,1.1279286,"('unaffectionate', 'affectionate')",1.2700363,1.1279286,-0.1421077
9,1.4851117,1.4648978,"('unaffectionate', 'caring')",1.4851117,1.4648978,-0.0202139
10,1.6779318,1.5382777,"('unsympathetic', 'sympathetic')",1.6779318,1.5382777,-0.1396541
11,1.8029727,1.820786,"('unhelpful', 'helpful')",1.8029727,1.820786,0.0178133
12,-1.2736208,-1.1446003,"('unsupportive', 'supportive')",-1.2736208,-1.1446003,0.1290205
13,-0.091449425,-0.079855084,"('impolite', 'polite')",-0.0914494,-0.0798551,0.0115943
14,0.15184696,0.21351086,"('antisocial', 'social')",0.151847,0.2135109,0.0616639
15,0.30634177,0.3331891,"('boring', 'funny')",0.3063418,0.3331891,0.0268473
16,-0.76466084,-0.62280786,"('unpopular', 'popular')",-0.7646608,-0.6228079,0.1418529
17,0.06944373,-0.060085595,"('nasty', 'nice')",0.0694437,-0.0600856,-0.1295293
18,-0.73022807,-0.5909348,"('disagreeable', 'welcoming')",-0.7302281,-0.5909348,0.1392933
19,-0.23781815,-0.20057808,"('inhospitable', 'hospitable')",-0.2378182,-0.2005781,0.0372401
20,0.8464443,0.73328394,"('rough', 'thoughtful')",0.8464443,0.7332839,-0.1131604
21,-0.03631009,0.20398766,"('immoral', 'moral')",-0.0363101,0.2039877,0.2402978
22,0.066916406,0.12698239,"('untrustworthy', 'trustworthy')",0.0669164,0.1269824,0.060066
23,5.9604053,6.1539106,"('insincere', 'sincere')",5.9604053,6.1539106,0.1935053
24,1.6591107,1.6948372,"('dishonest', 'honest')",1.6591107,1.6948372,0.0357265
25,0.2533998,0.30303824,"('egoistic', 'altruistic')",0.2533998,0.3030382,0.0496384
26,0.51309156,0.18069685,"('hardhearted', 'benevolent')",0.5130916,0.1806968,-0.3323948
27,1.6423583,1.3936363,"('hardhearted', 'softhearted')",1.6423583,1.3936363,-0.248722
28,1.2626467,1.1161582,"('disloyal', 'loyal')",1.2626467,1.1161582,-0.1464885
29,-0.13197236,-0.2152529,"('unfair', 'fair')",-0.1319724,-0.2152529,-0.0832805
30,1.2562696,1.2559667,"('intolerant', 'tolerant')",1.2562696,1.2559667,-0.0003029
31,-1.0478439,-1.0098548,"('evil', 'good')",-1.0478439,-1.0098548,0.0379891
32,1.2956417,1.1348736,"('unkind', 'kind')",1.2956417,1.1348736,-0.1607681
33,-0.9335718,-0.7968252,"('wrong', 'right')",-0.9335718,-0.7968252,0.1367466
34,4.26216,4.5434246,"('mean', 'honorable')",4.2621598,4.5434246,0.2812648
35,-0.8931265,-1.1472363,"('corrupt', 'incorrupt')",-0.8931265,-1.1472363,-0.2541098
36,-0.52586865,-0.7572198,"('hostile', 'amicable')",-0.5258687,-0.7572198,-0.2313511
37,0.867369,0.8873748,"('fake', 'genuine')",0.867369,0.8873748,0.0200058
38,-0.36550495,-0.30650604,"('untruthful', 'truthful')",-0.365505,-0.306506,0.058999
39,0.15978761,0.17816634,"('exploitative', 'cooperative')",0.1597876,0.1781663,0.0183787
40,-0.98159367,-0.98960674,"('stingy', 'generous')",-0.9815937,-0.9896067,-0.008013
41,0.4500246,0.20176277,"('unforgiving', 'forgiving')",0.4500246,0.2017628,-0.2482618
42,-1.5806531,-1.5559031,"('unreliable', 'reliable')",-1.5806531,-1.5559031,0.02475
43,1.4874508,1.5345901,"('irresponsible', 'responsible')",1.4874508,1.5345901,0.0471393
44,-1.1771053,-1.3510419,"('prejudiced', 'unprejudiced')",-1.1771053,-1.3510419,-0.1739366
45,0.51979816,0.4466156,"('incompetent', 'competent')",0.5197982,0.4466156,-0.0731826
46,-0.42928952,-0.46813405,"('uncompetitive', 'competitive')",-0.4292895,-0.468134,-0.0388445
47,5.2415404,5.462818,"('stupid', 'smart')",5.2415404,5.4628181,0.2212777
48,0.8356812,0.79376286,"('unintelligent', 'intelligent')",0.8356812,0.7937629,-0.0419183
49,-0.25402847,-0.04857739,"('unable', 'able')",-0.2540285,-0.0485774,0.2054511
50,-0.14277577,-0.1265541,"('clumsy', 'skillful')",-0.1427758,-0.1265541,0.0162217
51,0.43610463,0.5041632,"('uneducated', 'educated')",0.4361046,0.5041632,0.0680586
52,-0.372844,-0.43297684,"('irrational', 'rational')",-0.372844,-0.4329768,-0.0601328
53,0.619573,0.6504666,"('uncreative', 'creative')",0.619573,0.6504666,0.0308936
54,0.9676684,1.0797981,"('incapable', 'capable')",0.9676684,1.0797981,0.1121297
55,0.8964355,1.0186727,"('incompetent', 'clever')",0.8964355,1.0186727,0.1222372
56,0.6951998,0.9064527,"('impractical', 'practical')",0.6951998,0.9064527,0.2112529
57,-1.9897662,-2.0629966,"('unimaginative', 'imaginative')",-1.9897662,-2.0629966,-0.0732304
58,0.15003657,0.038406264,"('undiscriminating', 'discriminating')",0.1500366,0.0384063,-0.1116303
59,0.15298171,0.26038975,"('foolish', 'wise')",0.1529817,0.2603897,0.107408
60,0.24837598,0.48138425,"('inefficient', 'efficient')",0.248376,0.4813842,0.2330082
61,0.5781771,0.43946615,"('illogical', 'logical')",0.5781771,0.4394661,-0.138711
62,0.85290366,1.1423705,"('incompetent', 'brilliant')",0.8529037,1.1423705,0.2894668
63,0.5331562,0.70348823,"('unperceptive', 'insightful')",0.5331562,0.7034882,0.170332
64,-5.6592255,-5.4788065,"('shy', 'confident')",-5.6592255,-5.4788065,0.180419
65,1.3233091,1.3187268,"('insecure', 'secure')",1.3233091,1.3187268,-0.0045823
66,0.2748837,0.1738117,"('inactive', 'active')",0.2748837,0.1738117,-0.101072
