,housing_male,housing_female,tuple,average_male,average_female,female-male
0,-0.13794585,-0.30828086,"('unsociable', 'sociable')",-0.1379458,-0.3082809,-0.1703351
1,1.8855144,1.7976376,"('unfriendly', 'friendly')",1.8855144,1.7976376,-0.0878768
2,0.5133562,0.7491675,"('unlikable', 'likable')",0.5133562,0.7491675,0.2358113
3,0.012078651,0.2224876,"('repellent', 'pleasant')",0.0120787,0.2224876,0.2104089
4,-6.645577,-6.7485905,"('disliked', 'liked')",-6.645577,-6.7485905,-0.1030135
5,0.63049704,0.61974084,"('distant', 'outgoing')",0.630497,0.6197408,-0.0107562
6,0.8312213,0.76882833,"('distant', 'open')",0.8312213,0.7688283,-0.062393
7,0.4332188,0.49546897,"('insensitive', 'sensitive')",0.4332188,0.495469,0.0622502
8,1.7889261,1.7308712,"('unaffectionate', 'affectionate')",1.7889261,1.7308712,-0.0580549
9,2.3005931,2.3196228,"('unaffectionate', 'caring')",2.3005931,2.3196228,0.0190297
10,-0.088933006,0.00039048865,"('unsympathetic', 'sympathetic')",-0.088933,0.0003905,0.0893235
11,1.8990109,1.9404641,"('unhelpful', 'helpful')",1.8990109,1.9404641,0.0414532
12,-1.1347314,-1.1068178,"('unsupportive', 'supportive')",-1.1347314,-1.1068178,0.0279136
13,-0.32946232,-0.278031,"('impolite', 'polite')",-0.3294623,-0.278031,0.0514313
14,-0.16286555,-0.11341594,"('antisocial', 'social')",-0.1628655,-0.1134159,0.0494496
15,0.62307,0.5582051,"('boring', 'funny')",0.62307,0.5582051,-0.0648649
16,0.25682724,0.26729658,"('unpopular', 'popular')",0.2568272,0.2672966,0.0104694
17,0.47189283,0.46602917,"('nasty', 'nice')",0.4718928,0.4660292,-0.0058636
18,-0.25610915,-0.2319403,"('disagreeable', 'welcoming')",-0.2561091,-0.2319403,0.0241688
19,0.10779291,0.11564432,"('inhospitable', 'hospitable')",0.1077929,0.1156443,0.0078514
20,0.4187008,0.2746467,"('rough', 'thoughtful')",0.4187008,0.2746467,-0.1440541
21,-0.8568482,-0.6537835,"('immoral', 'moral')",-0.8568482,-0.6537835,0.2030647
22,-1.0626721,-0.864288,"('untrustworthy', 'trustworthy')",-1.0626721,-0.864288,0.1983841
