,applause_male,applause_female,tuple,average_male,average_female,female-male
0,0.6749184,0.6363799,"('unsociable', 'sociable')",0.6749184,0.6363799,-0.0385385
1,1.1435086,0.9704429,"('unfriendly', 'friendly')",1.1435086,0.9704429,-0.1730657
2,0.67868567,0.7699088,"('unlikable', 'likable')",0.6786857,0.7699088,0.0912231
3,1.182535,1.2363161,"('repellent', 'pleasant')",1.1825351,1.2363161,0.053781
4,-7.0031943,-6.908616,"('disliked', 'liked')",-7.0031943,-6.9086161,0.0945782
5,0.01639425,0.06483741,"('distant', 'outgoing')",0.0163943,0.0648374,0.0484431
6,0.039001837,0.06563855,"('distant', 'open')",0.0390018,0.0656385,0.0266367
7,1.0419601,1.0921357,"('insensitive', 'sensitive')",1.0419601,1.0921357,0.0501756
8,0.75887436,0.65597713,"('unaffectionate', 'affectionate')",0.7588744,0.6559771,-0.1028973
9,1.5655127,1.5227396,"('unaffectionate', 'caring')",1.5655127,1.5227396,-0.0427731
10,1.7147225,1.7663667,"('unsympathetic', 'sympathetic')",1.7147225,1.7663667,0.0516442
11,2.3540897,2.3531866,"('unhelpful', 'helpful')",2.3540897,2.3531866,-0.0009031
12,-1.1638392,-1.1194539,"('unsupportive', 'supportive')",-1.1638392,-1.1194539,0.0443853
13,1.0481031,1.0220346,"('impolite', 'polite')",1.0481031,1.0220346,-0.0260685
14,0.22320776,0.2083868,"('antisocial', 'social')",0.2232078,0.2083868,-0.014821
15,0.7517826,0.66193676,"('boring', 'funny')",0.7517826,0.6619368,-0.0898458
16,-0.20193385,-0.1758195,"('unpopular', 'popular')",-0.2019338,-0.1758195,0.0261143
17,-0.04510028,0.023055783,"('nasty', 'nice')",-0.0451003,0.0230558,0.0681561
18,-0.36617774,-0.42721066,"('disagreeable', 'welcoming')",-0.3661777,-0.4272107,-0.061033
19,-0.51099455,-0.4169832,"('inhospitable', 'hospitable')",-0.5109946,-0.4169832,0.0940114
20,0.7788141,0.67767376,"('rough', 'thoughtful')",0.7788141,0.6776738,-0.1011403
21,0.7097373,0.80105275,"('immoral', 'moral')",0.7097373,0.8010527,0.0913154
22,0.30262664,0.3608321,"('untrustworthy', 'trustworthy')",0.3026266,0.3608321,0.0582055
23,6.585063,6.50421,"('insincere', 'sincere')",6.585063,6.50421,-0.080853
24,2.2596552,2.281561,"('dishonest', 'honest')",2.2596552,2.2815609,0.0219057
25,0.13328935,0.0164922,"('egoistic', 'altruistic')",0.1332894,0.0164922,-0.1167972
26,0.08253531,-0.039443105,"('hardhearted', 'benevolent')",0.0825353,-0.0394431,-0.1219784
27,1.367365,1.1906725,"('hardhearted', 'softhearted')",1.367365,1.1906725,-0.1766925
28,1.1155235,1.0633829,"('disloyal', 'loyal')",1.1155235,1.0633829,-0.0521406
29,-0.7319641,-0.72768795,"('unfair', 'fair')",-0.7319641,-0.727688,0.0042761
