,sprat_male,sprat_female,tuple,average_male,average_female,female-male
0,0.17165373,-0.119196445,"('unsociable', 'sociable')",0.1716537,-0.1191964,-0.2908501
1,0.022725664,-0.2296353,"('unfriendly', 'friendly')",0.0227257,-0.2296353,-0.252361
2,-0.26233563,-0.5744759,"('unlikable', 'likable')",-0.2623356,-0.5744759,-0.3121403
3,-0.6988529,-0.67035913,"('repellent', 'pleasant')",-0.6988529,-0.6703591,0.0284938
4,-3.0436687,-3.0484378,"('disliked', 'liked')",-3.0436687,-3.0484378,-0.0047691
5,-0.62365705,-0.45984614,"('distant', 'outgoing')",-0.623657,-0.4598461,0.1638109
6,-0.79772663,-0.69777626,"('distant', 'open')",-0.7977266,-0.6977763,0.0999503
7,-0.14663999,-0.062959924,"('insensitive', 'sensitive')",-0.14664,-0.0629599,0.0836801
8,0.063664086,-0.091127455,"('unaffectionate', 'affectionate')",0.0636641,-0.0911275,-0.1547916
9,0.067990705,0.0941388,"('unaffectionate', 'caring')",0.0679907,0.0941388,0.0261481
10,-0.8617042,-0.95727414,"('unsympathetic', 'sympathetic')",-0.8617042,-0.9572741,-0.0955699
11,0.6744345,0.76070255,"('unhelpful', 'helpful')",0.6744345,0.7607026,0.0862681
12,-1.287953,-1.1278865,"('unsupportive', 'supportive')",-1.287953,-1.1278865,0.1600665
13,-0.23617308,-0.3487324,"('impolite', 'polite')",-0.2361731,-0.3487324,-0.1125593
14,0.302836,0.018274408,"('antisocial', 'social')",0.302836,0.0182744,-0.2845616
15,0.72958493,0.61801517,"('boring', 'funny')",0.7295849,0.6180152,-0.1115697
16,-0.48074192,-0.5209644,"('unpopular', 'popular')",-0.4807419,-0.5209644,-0.0402225
17,0.08401856,0.21625048,"('nasty', 'nice')",0.0840186,0.2162505,0.1322319
18,-0.6763505,-0.89808065,"('disagreeable', 'welcoming')",-0.6763505,-0.8980806,-0.2217301
19,-0.9593549,-0.83607274,"('inhospitable', 'hospitable')",-0.9593549,-0.8360727,0.1232822
20,0.15750921,0.17259637,"('rough', 'thoughtful')",0.1575092,0.1725964,0.0150872
21,-0.3228795,-0.3214911,"('immoral', 'moral')",-0.3228795,-0.3214911,0.0013884
22,-0.3170157,-0.4641983,"('untrustworthy', 'trustworthy')",-0.3170157,-0.4641983,-0.1471826
23,2.5740564,2.4767733,"('insincere', 'sincere')",2.5740564,2.4767733,-0.0972831
24,-0.25436583,-0.41866398,"('dishonest', 'honest')",-0.2543658,-0.418664,-0.1642982
25,0.81067365,0.6284715,"('egoistic', 'altruistic')",0.8106737,0.6284715,-0.1822022
26,1.0874523,0.57939994,"('hardhearted', 'benevolent')",1.0874523,0.5793999,-0.5080524
27,0.6889372,0.7021355,"('hardhearted', 'softhearted')",0.6889372,0.7021355,0.0131983
28,1.04181,0.8511597,"('disloyal', 'loyal')",1.04181,0.8511597,-0.1906503
29,-0.45769387,-0.45721942,"('unfair', 'fair')",-0.4576939,-0.4572194,0.0004745
30,1.0669149,0.93543,"('intolerant', 'tolerant')",1.0669149,0.93543,-0.1314849
31,-1.0788469,-1.0508058,"('evil', 'good')",-1.0788469,-1.0508058,0.0280411
32,0.67864203,0.28009674,"('unkind', 'kind')",0.678642,0.2800967,-0.3985453
33,-0.06899108,-0.15428093,"('wrong', 'right')",-0.0689911,-0.1542809,-0.0852898
34,2.2517936,2.3620024,"('mean', 'honorable')",2.2517936,2.3620024,0.1102088
