,deer_male,deer_female,tuple,average_male,average_female,female-male
0,-0.347061,-0.44573468,"('unsociable', 'sociable')",-0.347061,-0.4457347,-0.0986737
1,1.576051,1.6673174,"('unfriendly', 'friendly')",1.576051,1.6673174,0.0912664
2,-0.011853274,0.031905644,"('unlikable', 'likable')",-0.0118533,0.0319056,0.0437589
3,-0.019133195,-0.03355989,"('repellent', 'pleasant')",-0.0191332,-0.0335599,-0.0144267
4,-7.3319907,-7.4624414,"('disliked', 'liked')",-7.3319907,-7.4624414,-0.1304507
5,-0.38367596,-0.3292069,"('distant', 'outgoing')",-0.383676,-0.3292069,0.0544691
6,0.124993056,0.16553426,"('distant', 'open')",0.1249931,0.1655343,0.0405412
7,0.42075866,0.50519365,"('insensitive', 'sensitive')",0.4207587,0.5051937,0.084435
8,1.3130548,1.3388981,"('unaffectionate', 'affectionate')",1.3130548,1.3388981,0.0258433
9,1.8724496,1.9342369,"('unaffectionate', 'caring')",1.8724496,1.9342369,0.0617873
10,0.6305974,0.5591465,"('unsympathetic', 'sympathetic')",0.6305974,0.5591465,-0.0714509
11,1.5000122,1.5779339,"('unhelpful', 'helpful')",1.5000122,1.5779339,0.0779217
12,-1.5996805,-1.62824,"('unsupportive', 'supportive')",-1.5996805,-1.62824,-0.0285595
13,-0.4781031,-0.58068085,"('impolite', 'polite')",-0.4781031,-0.5806808,-0.1025777
14,-0.113646835,-0.21413131,"('antisocial', 'social')",-0.1136468,-0.2141313,-0.1004845
15,0.25612146,0.22316307,"('boring', 'funny')",0.2561215,0.2231631,-0.0329584
16,-0.20445015,-0.16267356,"('unpopular', 'popular')",-0.2044501,-0.1626736,0.0417765
17,-0.10182275,-0.12401707,"('nasty', 'nice')",-0.1018227,-0.1240171,-0.0221944
18,-0.56219816,-0.6156135,"('disagreeable', 'welcoming')",-0.5621982,-0.6156135,-0.0534153
19,-0.2760023,-0.17348294,"('inhospitable', 'hospitable')",-0.2760023,-0.1734829,0.1025194
20,0.84309953,0.81804353,"('rough', 'thoughtful')",0.8430995,0.8180435,-0.025056
21,-0.5672451,-0.51851463,"('immoral', 'moral')",-0.5672451,-0.5185146,0.0487305
22,-0.81265914,-0.9158775,"('untrustworthy', 'trustworthy')",-0.8126591,-0.9158775,-0.1032184
23,6.1778727,6.2588973,"('insincere', 'sincere')",6.1778727,6.2588973,0.0810246
24,1.5344828,1.4414562,"('dishonest', 'honest')",1.5344828,1.4414562,-0.0930266
25,1.1592419,1.1250924,"('egoistic', 'altruistic')",1.1592419,1.1250924,-0.0341495
26,0.9621254,0.9396645,"('hardhearted', 'benevolent')",0.9621254,0.9396645,-0.0224609
27,1.3581681,1.2212625,"('hardhearted', 'softhearted')",1.3581681,1.2212625,-0.1369056
28,1.4719683,1.4428276,"('disloyal', 'loyal')",1.4719683,1.4428276,-0.0291407
29,-0.36130568,-0.45507425,"('unfair', 'fair')",-0.3613057,-0.4550743,-0.0937686
30,0.82846946,0.8034121,"('intolerant', 'tolerant')",0.8284695,0.8034121,-0.0250574
31,-1.0443114,-0.94561213,"('evil', 'good')",-1.0443114,-0.9456121,0.0986993
32,1.124277,1.0859662,"('unkind', 'kind')",1.124277,1.0859662,-0.0383108
33,-0.087368205,-0.095787406,"('wrong', 'right')",-0.0873682,-0.0957874,-0.0084192
34,4.848397,5.055966,"('mean', 'honorable')",4.8483968,5.0559659,0.2075691
35,-0.3765799,-0.483148,"('corrupt', 'incorrupt')",-0.3765799,-0.483148,-0.1065681
36,-0.32676262,-0.33720827,"('hostile', 'amicable')",-0.3267626,-0.3372083,-0.0104457
37,0.56009495,0.5469558,"('fake', 'genuine')",0.560095,0.5469558,-0.0131392
38,-0.00056995824,0.037329745,"('untruthful', 'truthful')",-0.00057,0.0373297,0.0378997
39,0.9645815,0.9431461,"('exploitative', 'cooperative')",0.9645815,0.9431461,-0.0214354
40,-1.7509215,-1.9344594,"('stingy', 'generous')",-1.7509215,-1.9344594,-0.1835379
41,0.502658,0.44185555,"('unforgiving', 'forgiving')",0.502658,0.4418555,-0.0608025
42,-3.0728955,-3.1969907,"('unreliable', 'reliable')",-3.0728955,-3.1969907,-0.1240952
