,interior_male,interior_female,tuple,average_male,average_female,female-male
0,-0.19187886,-0.36120427,"('unsociable', 'sociable')",-0.1918789,-0.3612043,-0.1693254
1,1.6590844,1.612656,"('unfriendly', 'friendly')",1.6590844,1.612656,-0.0464284
2,0.6079919,0.6632014,"('unlikable', 'likable')",0.6079919,0.6632014,0.0552095
3,-0.09310496,0.050405093,"('repellent', 'pleasant')",-0.093105,0.0504051,0.1435101
4,-6.484654,-6.4830637,"('disliked', 'liked')",-6.4846539,-6.4830637,0.0015902
5,-0.39820427,-0.27356353,"('distant', 'outgoing')",-0.3982043,-0.2735635,0.1246408
6,-0.022489708,0.09793185,"('distant', 'open')",-0.0224897,0.0979318,0.1204215
7,1.051002,1.1263286,"('insensitive', 'sensitive')",1.051002,1.1263286,0.0753266
8,1.2404499,1.1911793,"('unaffectionate', 'affectionate')",1.2404499,1.1911793,-0.0492706
9,1.9468105,2.0687816,"('unaffectionate', 'caring')",1.9468105,2.0687816,0.1219711
10,0.51906294,0.52096134,"('unsympathetic', 'sympathetic')",0.5190629,0.5209613,0.0018984
11,2.0687013,2.1382632,"('unhelpful', 'helpful')",2.0687013,2.1382632,0.0695619
12,-0.8739689,-0.7093023,"('unsupportive', 'supportive')",-0.8739689,-0.7093023,0.1646666
13,-0.08148372,-0.14570834,"('impolite', 'polite')",-0.0814837,-0.1457083,-0.0642246
14,-0.005609313,-0.030895257,"('antisocial', 'social')",-0.0056093,-0.0308953,-0.025286
15,0.73434675,0.570909,"('boring', 'funny')",0.7343467,0.570909,-0.1634377
16,-0.4058463,-0.33000734,"('unpopular', 'popular')",-0.4058463,-0.3300073,0.075839
17,-0.02589481,0.119183786,"('nasty', 'nice')",-0.0258948,0.1191838,0.1450786
18,-0.18710276,-0.056387454,"('disagreeable', 'welcoming')",-0.1871028,-0.0563875,0.1307153
19,-0.29565933,-0.2528646,"('inhospitable', 'hospitable')",-0.2956593,-0.2528646,0.0427947
20,0.63335276,0.527632,"('rough', 'thoughtful')",0.6333528,0.527632,-0.1057208
21,0.29858303,0.37049687,"('immoral', 'moral')",0.298583,0.3704969,0.0719139
22,-0.8900378,-0.76048356,"('untrustworthy', 'trustworthy')",-0.8900378,-0.7604836,0.1295542
23,6.2504606,6.2940774,"('insincere', 'sincere')",6.2504606,6.2940774,0.0436168
24,1.7468585,1.8114723,"('dishonest', 'honest')",1.7468585,1.8114723,0.0646138
25,1.215254,1.1946951,"('egoistic', 'altruistic')",1.2152539,1.1946951,-0.0205588
26,1.5588573,1.1317443,"('hardhearted', 'benevolent')",1.5588573,1.1317443,-0.427113
27,1.8399373,1.7957495,"('hardhearted', 'softhearted')",1.8399373,1.7957495,-0.0441878
28,0.7784579,0.6523127,"('disloyal', 'loyal')",0.7784579,0.6523127,-0.1261452
29,-0.9888072,-1.0781178,"('unfair', 'fair')",-0.9888072,-1.0781178,-0.0893106
30,0.8176504,0.85220873,"('intolerant', 'tolerant')",0.8176504,0.8522087,0.0345583
31,-1.2078665,-1.1884525,"('evil', 'good')",-1.2078665,-1.1884525,0.019414
32,1.5640824,1.334958,"('unkind', 'kind')",1.5640824,1.334958,-0.2291244
33,0.58404523,0.6358747,"('wrong', 'right')",0.5840452,0.6358747,0.0518295
34,4.458962,4.6896815,"('mean', 'honorable')",4.458962,4.6896815,0.2307195
35,-1.0063814,-1.1196078,"('corrupt', 'incorrupt')",-1.0063814,-1.1196078,-0.1132264
36,-0.45529345,-0.62616414,"('hostile', 'amicable')",-0.4552934,-0.6261641,-0.1708707
37,1.117665,1.0857825,"('fake', 'genuine')",1.1176651,1.0857825,-0.0318826
38,0.47384644,0.56089795,"('untruthful', 'truthful')",0.4738464,0.5608979,0.0870515
39,-0.04732806,0.028391398,"('exploitative', 'cooperative')",-0.0473281,0.0283914,0.0757195
40,-1.259935,-1.2590225,"('stingy', 'generous')",-1.259935,-1.2590225,0.0009125
