,west_male,west_female,tuple,pharmaceutical_male,pharmaceutical_female,services_male,services_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.30835763,-0.3957275,"('unsociable', 'sociable')",0.43219197,0.31209356,0.5055709,0.43007666,-0.42381805,-0.5677449,0.0513968,-0.0553255,-0.1067223
1,-1.1139468,-1.1307802,"('unfriendly', 'friendly')",0.9996628,0.9496628,0.06794648,-0.05623816,2.0634964,1.9467931,0.5042897,0.4273594,-0.0769303
2,1.1413122,1.1781385,"('unlikable', 'likable')",1.0264981,1.0185493,1.4220455,1.4715409,0.83877516,0.974785,1.1071577,1.1607534,0.0535957
3,0.7735089,0.8910125,"('repellent', 'pleasant')",-1.6448096,-1.6081326,0.3465631,0.4932443,0.19121447,0.25729537,-0.0833808,0.0083549,0.0917357
4,-1.1461854,-1.2263986,"('disliked', 'liked')",0.35161138,0.30917352,0.33314252,0.3560272,-5.6175785,-5.584778,-1.5197525,-1.5364939,-0.0167414
5,-1.7116516,-1.7334191,"('distant', 'outgoing')",0.557164,0.6125241,-0.31840444,-0.2988839,-0.042187907,0.0071957856,-0.37877,-0.3531457,0.0256243
6,-1.781942,-1.7548035,"('distant', 'open')",0.64089036,0.71598506,-0.6563965,-0.6331973,0.6241185,0.67546195,-0.2933324,-0.2491385,0.0441939
7,1.8239008,1.9167844,"('insensitive', 'sensitive')",-0.6507837,-0.6554376,-0.14830065,-0.07680956,1.0135003,0.9834467,0.5095792,0.541996,0.0324168
8,-0.92039394,-0.89520216,"('unaffectionate', 'affectionate')",0.46423653,0.45550537,-0.37228024,-0.36615363,0.8595704,0.8016852,0.0077832,-0.0010413,-0.0088245
9,0.051825397,0.0729393,"('unaffectionate', 'caring')",0.58086073,0.57047063,0.5851501,0.6009214,1.352753,1.3445415,0.6426473,0.6472182,0.0045709
10,1.4560666,1.5970578,"('unsympathetic', 'sympathetic')",-0.80603373,-0.82508135,-0.6822783,-0.5017851,-0.2928697,-0.2849983,-0.0812788,-0.0037017,0.0775771
11,0.72293085,0.80059206,"('unhelpful', 'helpful')",0.2146774,0.22710006,0.97655874,1.1106956,1.7864391,1.8632712,0.9251515,1.0004147,0.0752632
12,0.9565171,1.024416,"('unsupportive', 'supportive')",1.2719728,1.338473,1.3758924,1.5671523,-1.3431591,-1.2963713,0.5653058,0.6584175,0.0931117
13,0.85046583,0.81374127,"('impolite', 'polite')",-0.25341704,-0.285445,0.31006184,0.27507943,-0.19821364,-0.29796708,0.1772242,0.1263521,-0.0508721
