,raytheon_male,raytheon_female,tuple,co_male,co_female,average_male,average_female,female-male
0,-1.099357,-1.2133772,"('unsociable', 'sociable')",-0.4504724,-0.5076503,-0.7749147,-0.8605138,-0.0855991
1,0.92831886,0.59634435,"('unfriendly', 'friendly')",2.1735559,1.9304665,1.5509374,1.2634054,-0.287532
2,0.72590244,0.85810184,"('unlikable', 'likable')",0.6604515,0.8342635,0.693177,0.8461827,0.1530057
3,-1.1936142,-1.1996922,"('repellent', 'pleasant')",0.47682214,0.6364184,-0.3583961,-0.2816369,0.0767592
4,1.0653203,0.8885394,"('disliked', 'liked')",-6.9668283,-7.1196723,-2.9507542,-3.1155665,-0.1648123
5,0.50766736,0.544616,"('distant', 'outgoing')",0.15097925,0.10974184,0.3293233,0.3271789,-0.0021444
6,0.3923272,0.4128503,"('distant', 'open')",0.4082237,0.32609418,0.4002754,0.3694722,-0.0308032
7,-0.7707217,-0.85538447,"('insensitive', 'sensitive')",0.39264378,0.34020215,-0.1890389,-0.2575912,-0.0685523
8,0.6449497,0.52412224,"('unaffectionate', 'affectionate')",1.3837241,1.1743882,1.0143368,0.8492552,-0.1650816
9,0.38754535,0.23965794,"('unaffectionate', 'caring')",1.5737938,1.395102,0.9806696,0.81738,-0.1632896
10,-2.673023,-2.8024812,"('unsympathetic', 'sympathetic')",-0.1572918,-0.23057505,-1.4151574,-1.5165281,-0.1013707
11,-1.1661698,-1.2344187,"('unhelpful', 'helpful')",1.6106534,1.6265436,0.2222418,0.1960624,-0.0261794
12,-0.38363123,-0.4296536,"('unsupportive', 'supportive')",-2.1474614,-2.1522243,-1.2655463,-1.290939,-0.0253927
13,-1.7156427,-1.7070875,"('impolite', 'polite')",-0.52999043,-0.35816053,-1.1228166,-1.032624,0.0901926
14,-0.89041096,-0.9542022,"('antisocial', 'social')",-0.1591892,-0.13587293,-0.5248001,-0.5450376,-0.0202375
15,0.6677201,0.62386113,"('boring', 'funny')",0.85249996,0.88324594,0.76011,0.7535535,-0.0065565
16,0.26008892,0.33351547,"('unpopular', 'popular')",-0.15004203,-0.1678377,0.0550234,0.0828389,0.0278155
17,0.13022006,0.1661595,"('nasty', 'nice')",-0.058447745,-0.11011985,0.0358862,0.0280198,-0.0078664
18,-0.31850487,-0.2763564,"('disagreeable', 'welcoming')",-0.99353945,-1.011151,-0.6560222,-0.6437536,0.0122686
19,0.5671562,0.49234724,"('inhospitable', 'hospitable')",0.12604816,0.18127863,0.3466022,0.3368129,-0.0097893
20,-0.13150035,-0.13291472,"('rough', 'thoughtful')",0.28317392,0.3370146,0.0758368,0.1020499,0.0262131
21,-1.4618698,-1.4764637,"('immoral', 'moral')",-1.4468551,-1.2381113,-1.4543624,-1.3572874,0.097075
22,-1.0837722,-1.1981266,"('untrustworthy', 'trustworthy')",-0.6759721,-0.7810228,-0.8798721,-0.9895747,-0.1097026
23,-1.1261557,-1.2692617,"('insincere', 'sincere')",5.857497,5.894138,2.3656707,2.312438,-0.0532327
