,shop_male,shop_female,tuple,average_male,average_female,female-male
0,0.63332224,0.32806516,"('unsociable', 'sociable')",0.6333222,0.3280652,-0.305257
1,1.4564238,1.5316602,"('unfriendly', 'friendly')",1.4564238,1.5316602,0.0752364
2,0.50172657,0.6344178,"('unlikable', 'likable')",0.5017266,0.6344178,0.1326912
3,0.50907975,0.5922976,"('repellent', 'pleasant')",0.5090798,0.5922976,0.0832178
4,-6.632461,-6.6244283,"('disliked', 'liked')",-6.6324611,-6.6244283,0.0080328
5,-0.41542295,-0.24781996,"('distant', 'outgoing')",-0.4154229,-0.24782,0.1676029
6,-0.09471404,0.08996306,"('distant', 'open')",-0.094714,0.0899631,0.1846771
7,0.90547246,0.9970649,"('insensitive', 'sensitive')",0.9054725,0.9970649,0.0915924
8,0.7052489,0.76039606,"('unaffectionate', 'affectionate')",0.7052489,0.7603961,0.0551472
9,1.8763798,2.0089264,"('unaffectionate', 'caring')",1.8763798,2.0089264,0.1325466
10,0.7573613,0.7459932,"('unsympathetic', 'sympathetic')",0.7573613,0.7459932,-0.0113681
11,2.5155835,2.505396,"('unhelpful', 'helpful')",2.5155835,2.5053959,-0.0101876
12,-1.6226157,-1.6391325,"('unsupportive', 'supportive')",-1.6226157,-1.6391325,-0.0165168
13,0.7022332,0.5123705,"('impolite', 'polite')",0.7022332,0.5123705,-0.1898627
14,-0.14189185,-0.32593432,"('antisocial', 'social')",-0.1418919,-0.3259343,-0.1840424
15,0.83691305,0.70297813,"('boring', 'funny')",0.836913,0.7029781,-0.1339349
16,0.72694117,0.7781123,"('unpopular', 'popular')",0.7269412,0.7781123,0.0511711
17,-0.014387364,-0.074924946,"('nasty', 'nice')",-0.0143874,-0.0749249,-0.0605375
18,-1.0943487,-1.080431,"('disagreeable', 'welcoming')",-1.0943487,-1.080431,0.0139177
19,-0.3970989,-0.27790037,"('inhospitable', 'hospitable')",-0.3970989,-0.2779004,0.1191985
20,0.51693213,0.47934583,"('rough', 'thoughtful')",0.5169321,0.4793458,-0.0375863
21,0.08886285,0.1577582,"('immoral', 'moral')",0.0888629,0.1577582,0.0688953
22,-0.6453546,-0.6354672,"('untrustworthy', 'trustworthy')",-0.6453546,-0.6354672,0.0098874
23,7.0818915,7.109981,"('insincere', 'sincere')",7.0818915,7.1099811,0.0280896
24,1.4644347,1.5627123,"('dishonest', 'honest')",1.4644347,1.5627123,0.0982776
25,0.595347,0.6757273,"('egoistic', 'altruistic')",0.595347,0.6757273,0.0803803
26,0.50212306,0.47931355,"('hardhearted', 'benevolent')",0.5021231,0.4793136,-0.0228095
27,0.9348406,0.97823834,"('hardhearted', 'softhearted')",0.9348406,0.9782383,0.0433977
28,1.0913823,1.0745268,"('disloyal', 'loyal')",1.0913823,1.0745268,-0.0168555
29,-0.84479,-0.82013965,"('unfair', 'fair')",-0.84479,-0.8201396,0.0246504
30,1.1285139,1.0943683,"('intolerant', 'tolerant')",1.1285139,1.0943683,-0.0341456
31,-1.5572958,-1.4862067,"('evil', 'good')",-1.5572958,-1.4862067,0.0710891
32,1.5112787,1.4723891,"('unkind', 'kind')",1.5112787,1.4723891,-0.0388896
33,-0.2585204,-0.18617636,"('wrong', 'right')",-0.2585204,-0.1861764,0.072344
34,5.218744,5.3790627,"('mean', 'honorable')",5.2187438,5.3790627,0.1603189
35,-1.5306216,-1.6014831,"('corrupt', 'incorrupt')",-1.5306216,-1.6014831,-0.0708615
36,-0.7689385,-0.7534386,"('hostile', 'amicable')",-0.7689385,-0.7534386,0.0154999
37,0.23252589,0.32949352,"('fake', 'genuine')",0.2325259,0.3294935,0.0969676
38,0.36870986,0.40460235,"('untruthful', 'truthful')",0.3687099,0.4046023,0.0358924
39,-0.13848186,-0.08035858,"('exploitative', 'cooperative')",-0.1384819,-0.0803586,0.0581233
40,-2.5030777,-2.5744824,"('stingy', 'generous')",-2.5030777,-2.5744824,-0.0714047
41,-0.027707731,-0.06761822,"('unforgiving', 'forgiving')",-0.0277077,-0.0676182,-0.0399105
42,-2.5404549,-2.4893668,"('unreliable', 'reliable')",-2.5404549,-2.4893668,0.0510881
43,1.6261207,1.624177,"('irresponsible', 'responsible')",1.6261207,1.624177,-0.0019437
44,-1.2763021,-1.250346,"('prejudiced', 'unprejudiced')",-1.2763021,-1.2503459,0.0259562
45,0.6165244,0.5994872,"('incompetent', 'competent')",0.6165244,0.5994872,-0.0170372
46,-0.23687816,-0.2875341,"('uncompetitive', 'competitive')",-0.2368782,-0.2875341,-0.0506559
