,apa_male,apa_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.025075207,-0.1619382,"('unsociable', 'sociable')",0.02575804,-0.17606889,0.0003414,-0.1690035,-0.1693449
1,-1.6860986,-1.6897292,"('unfriendly', 'friendly')",0.7146564,0.6176309,-0.4857211,-0.5360491,-0.050328
2,0.5984305,0.58421135,"('unlikable', 'likable')",0.75377405,0.8145593,0.6761023,0.6993853,0.023283
3,0.7644922,0.9842281,"('repellent', 'pleasant')",0.8284761,0.9701269,0.7964841,0.9771775,0.1806934
4,-0.06315387,-0.0916954,"('disliked', 'liked')",-5.749136,-5.801718,-2.9061449,-2.9467068,-0.0405619
5,-1.6887882,-1.7272152,"('distant', 'outgoing')",-0.9403297,-0.9482062,-1.314559,-1.3377106,-0.0231516
6,-1.7706132,-1.7719458,"('distant', 'open')",-1.4062362,-1.3784845,-1.5884247,-1.5752151,0.0132096
7,0.24461669,0.38263717,"('insensitive', 'sensitive')",0.2762223,0.3187354,0.2604195,0.3506863,0.0902668
8,-1.6111448,-1.6646774,"('unaffectionate', 'affectionate')",-0.22850263,-0.22205387,-0.9198237,-0.9433656,-0.0235419
9,-1.3921018,-1.3623133,"('unaffectionate', 'caring')",0.46402526,0.50331235,-0.4640383,-0.4295005,0.0345378
10,-0.1907861,-0.13557638,"('unsympathetic', 'sympathetic')",-0.46049199,-0.5169845,-0.325639,-0.3262804,-0.0006414
11,0.28446248,0.25025755,"('unhelpful', 'helpful')",2.0243356,1.969955,1.154399,1.1101062,-0.0442928
12,-0.10530938,0.014371283,"('unsupportive', 'supportive')",-1.828731,-1.7986099,-0.9670202,-0.8921193,0.0749009
13,0.4520704,0.3041209,"('impolite', 'polite')",-0.28501293,-0.2824933,0.0835287,0.0108138,-0.0727149
14,1.3521264,1.3424829,"('antisocial', 'social')",0.5771432,0.45836368,0.9646348,0.9004233,-0.0642115
15,-0.40679064,-0.6556576,"('boring', 'funny')",0.19036366,0.12569499,-0.1082135,-0.2649813,-0.1567678
16,-0.7755995,-0.7890596,"('unpopular', 'popular')",0.36620304,0.29702878,-0.2046982,-0.2460154,-0.0413172
17,-0.6452239,-0.6626014,"('nasty', 'nice')",-0.4437606,-0.45441028,-0.5444922,-0.5585058,-0.0140136
18,-0.6384509,-0.65935594,"('disagreeable', 'welcoming')",-0.5707664,-0.61631435,-0.6046087,-0.6378351,-0.0332264
