,ninja_male,ninja_female,tuple,average_male,average_female,female-male
0,-0.16657305,-0.17064911,"('unsociable', 'sociable')",-0.166573,-0.1706491,-0.0040761
1,0.9858542,0.8636661,"('unfriendly', 'friendly')",0.9858542,0.8636661,-0.1221881
2,-0.12532625,-0.105832875,"('unlikable', 'likable')",-0.1253262,-0.1058329,0.0194933
3,0.6560659,0.7616341,"('repellent', 'pleasant')",0.6560659,0.7616341,0.1055682
4,-7.948568,-7.9973145,"('disliked', 'liked')",-7.9485679,-7.9973145,-0.0487466
5,-0.80120033,-0.87510717,"('distant', 'outgoing')",-0.8012003,-0.8751072,-0.0739069
6,-0.28051502,-0.39046144,"('distant', 'open')",-0.280515,-0.3904614,-0.1099464
7,0.98003757,1.0498554,"('insensitive', 'sensitive')",0.9800376,1.0498554,0.0698178
8,0.97594225,0.83468235,"('unaffectionate', 'affectionate')",0.9759423,0.8346823,-0.14126
9,1.6926583,1.6120204,"('unaffectionate', 'caring')",1.6926583,1.6120204,-0.0806379
10,1.1809001,1.2262617,"('unsympathetic', 'sympathetic')",1.1809001,1.2262617,0.0453616
11,1.5552094,1.6445336,"('unhelpful', 'helpful')",1.5552094,1.6445336,0.0893242
12,-1.6161653,-1.686511,"('unsupportive', 'supportive')",-1.6161653,-1.686511,-0.0703457
13,0.027910113,0.030960977,"('impolite', 'polite')",0.0279101,0.030961,0.0030509
14,0.14709955,0.15390766,"('antisocial', 'social')",0.1470996,0.1539077,0.0068081
15,-0.16363972,-0.22423494,"('boring', 'funny')",-0.1636397,-0.2242349,-0.0605952
16,-0.46719068,-0.5396148,"('unpopular', 'popular')",-0.4671907,-0.5396148,-0.0724241
17,-0.8183434,-0.7072094,"('nasty', 'nice')",-0.8183434,-0.7072094,0.111134
18,-0.39637077,-0.47508016,"('disagreeable', 'welcoming')",-0.3963708,-0.4750802,-0.0787094
19,-0.9041713,-0.95086175,"('inhospitable', 'hospitable')",-0.9041713,-0.9508618,-0.0466905
20,1.0184988,0.99338853,"('rough', 'thoughtful')",1.0184988,0.9933885,-0.0251103
21,-0.2733426,-0.21407607,"('immoral', 'moral')",-0.2733426,-0.2140761,0.0592665
22,-0.7140377,-0.685784,"('untrustworthy', 'trustworthy')",-0.7140377,-0.685784,0.0282537
23,6.6407866,6.66856,"('insincere', 'sincere')",6.6407866,6.66856,0.0277734
24,1.5467411,1.3769696,"('dishonest', 'honest')",1.5467411,1.3769696,-0.1697715
25,0.48572755,0.35924163,"('egoistic', 'altruistic')",0.4857275,0.3592416,-0.1264859
26,0.6904767,0.5821728,"('hardhearted', 'benevolent')",0.6904767,0.5821728,-0.1083039
27,1.494228,1.3972273,"('hardhearted', 'softhearted')",1.494228,1.3972273,-0.0970007
28,1.3603611,1.2541586,"('disloyal', 'loyal')",1.3603611,1.2541586,-0.1062025
29,-0.5891828,-0.6889312,"('unfair', 'fair')",-0.5891828,-0.6889312,-0.0997484
30,1.2808195,1.2652545,"('intolerant', 'tolerant')",1.2808195,1.2652545,-0.015565
31,-1.8338418,-1.8500803,"('evil', 'good')",-1.8338418,-1.8500803,-0.0162385
32,1.0109813,0.89687496,"('unkind', 'kind')",1.0109813,0.896875,-0.1141063
33,-0.49043173,-0.6036526,"('wrong', 'right')",-0.4904317,-0.6036526,-0.1132209
34,4.532821,4.6666946,"('mean', 'honorable')",4.5328212,4.6666946,0.1338734
35,-0.97266835,-1.1880178,"('corrupt', 'incorrupt')",-0.9726683,-1.1880178,-0.2153495
36,-0.8469995,-1.0129604,"('hostile', 'amicable')",-0.8469995,-1.0129604,-0.1659609
37,0.73921496,0.7539787,"('fake', 'genuine')",0.739215,0.7539787,0.0147637
38,-0.30936348,-0.32453054,"('untruthful', 'truthful')",-0.3093635,-0.3245305,-0.015167
39,0.53124136,0.53076833,"('exploitative', 'cooperative')",0.5312414,0.5307683,-0.0004731
40,-1.5920094,-1.6776245,"('stingy', 'generous')",-1.5920094,-1.6776245,-0.0856151
41,0.1381137,0.091879696,"('unforgiving', 'forgiving')",0.1381137,0.0918797,-0.046234
42,-2.7083619,-2.6467588,"('unreliable', 'reliable')",-2.7083619,-2.6467588,0.0616031
43,1.1846185,1.178569,"('irresponsible', 'responsible')",1.1846185,1.178569,-0.0060495
44,-1.21287,-1.087947,"('prejudiced', 'unprejudiced')",-1.21287,-1.087947,0.124923
45,-0.03273329,-0.033392757,"('incompetent', 'competent')",-0.0327333,-0.0333928,-0.0006595
46,-0.5870823,-0.57373244,"('uncompetitive', 'competitive')",-0.5870823,-0.5737324,0.0133499
47,5.1248264,5.2386074,"('stupid', 'smart')",5.1248264,5.2386074,0.113781
48,0.7650644,0.67331266,"('unintelligent', 'intelligent')",0.7650644,0.6733127,-0.0917517
49,0.24847022,0.21778136,"('unable', 'able')",0.2484702,0.2177814,-0.0306888
50,-0.5310566,-0.5640417,"('clumsy', 'skillful')",-0.5310566,-0.5640417,-0.0329851
51,0.40437105,0.42894244,"('uneducated', 'educated')",0.4043711,0.4289424,0.0245713
52,-0.50134605,-0.67058104,"('irrational', 'rational')",-0.5013461,-0.670581,-0.1692349
53,0.06990901,-0.05710562,"('uncreative', 'creative')",0.069909,-0.0571056,-0.1270146
54,1.0147141,0.9990265,"('incapable', 'capable')",1.0147141,0.9990265,-0.0156876
55,0.88505334,0.920774,"('incompetent', 'clever')",0.8850533,0.920774,0.0357207
56,0.49590653,0.48940527,"('impractical', 'practical')",0.4959065,0.4894053,-0.0065012
57,-2.9971507,-2.9402478,"('unimaginative', 'imaginative')",-2.9971507,-2.9402478,0.0569029
58,-0.33124474,-0.24600002,"('undiscriminating', 'discriminating')",-0.3312447,-0.246,0.0852447
59,-0.25909424,-0.32460842,"('foolish', 'wise')",-0.2590942,-0.3246084,-0.0655142
60,0.99291414,1.0481291,"('inefficient', 'efficient')",0.9929141,1.0481291,0.055215
61,0.4875258,0.30336425,"('illogical', 'logical')",0.4875258,0.3033642,-0.1841616
62,0.6549956,0.74302834,"('incompetent', 'brilliant')",0.6549956,0.7430283,0.0880327
63,0.031708147,0.05186288,"('unperceptive', 'insightful')",0.0317081,0.0518629,0.0201548
64,-6.6417384,-6.5912075,"('shy', 'confident')",-6.6417384,-6.5912075,0.0505309
65,0.409869,0.48179623,"('insecure', 'secure')",0.409869,0.4817962,0.0719272
66,-0.72234213,-0.71417886,"('inactive', 'active')",-0.7223421,-0.7141789,0.0081632
67,-0.2709403,-0.17792147,"('doubtful', 'determined')",-0.2709403,-0.1779215,0.0930188
68,-0.6644351,-0.67138857,"('dependent', 'independent')",-0.6644351,-0.6713886,-0.0069535
69,-2.3042657,-2.3662117,"('lazy', 'industrious')",-2.3042657,-2.3662117,-0.061946
70,1.0586674,1.1229992,"('lethargic', 'energetic')",1.0586674,1.1229992,0.0643318
71,0.58639,0.5466544,"('diffident', 'self-confident')",0.58639,0.5466544,-0.0397356
72,0.5795724,0.6581016,"('unambitious', 'ambitious')",0.5795724,0.6581016,0.0785292
73,-3.2299416,-3.1888776,"('helpless', 'self-reliant')",-3.2299416,-3.1888776,0.041064
74,0.092793494,-0.033477623,"('undedicated', 'dedicated')",0.0927935,-0.0334776,-0.1262711
75,-1.4046043,-1.2261287,"('meek', 'impulsive')",-1.4046043,-1.2261287,0.1784756
76,0.8168526,0.91808695,"('anxious', 'daring')",0.8168526,0.9180869,0.1012343
77,-0.8728175,-0.79029894,"('unmotivated', 'motivated')",-0.8728175,-0.7902989,0.0825186
78,-0.29091203,-0.37841567,"('nonresilient', 'resilient')",-0.290912,-0.3784157,-0.0875037
79,-0.5230374,-0.5831809,"('wavering', 'unwavering')",-0.5230374,-0.5831809,-0.0601435
80,-0.16595554,-0.15423271,"('dominated', 'dominating')",-0.1659555,-0.1542327,0.0117228
81,0.10194878,0.23762217,"('submissive', 'aggressive')",0.1019488,0.2376222,0.1356734
82,6.1305604,6.2158856,"('poor', 'rich')",6.1305604,6.2158856,0.0853252
83,-0.3043301,-0.2704269,"('powerless', 'powerful')",-0.3043301,-0.2704269,0.0339032
84,0.73066837,0.73086447,"('inferior', 'superior')",0.7306684,0.7308645,0.0001961
85,-0.3570977,-0.53121024,"('insignificant', 'prestigious')",-0.3570977,-0.5312102,-0.1741125
86,0.16891342,0.05479272,"('uninfluential', 'influential')",0.1689134,0.0547927,-0.1141207
87,-0.4720896,-0.4508279,"('unsuccessful', 'successful')",-0.4720896,-0.4508279,0.0212617
88,0.26385683,0.2634061,"('low', 'eminent')",0.2638568,0.2634061,-0.0004507
