,glider_male,glider_female,tuple,average_male,average_female,female-male
0,-0.0066537354,-0.056600895,"('unsociable', 'sociable')",-0.0066537,-0.0566009,-0.0499472
1,1.5661149,1.7886349,"('unfriendly', 'friendly')",1.5661149,1.7886349,0.22252
2,0.56185985,0.83047014,"('unlikable', 'likable')",0.5618598,0.8304701,0.2686103
3,0.53244174,0.8442115,"('repellent', 'pleasant')",0.5324417,0.8442115,0.3117698
4,-7.670542,-7.4816475,"('disliked', 'liked')",-7.6705418,-7.4816475,0.1888943
5,-0.10169184,0.10891671,"('distant', 'outgoing')",-0.1016918,0.1089167,0.2106085
6,0.044128656,0.31493837,"('distant', 'open')",0.0441287,0.3149384,0.2708097
7,1.5241024,1.7194574,"('insensitive', 'sensitive')",1.5241024,1.7194574,0.195355
8,1.2745652,1.3354969,"('unaffectionate', 'affectionate')",1.2745652,1.3354969,0.0609317
9,1.7268771,1.8193773,"('unaffectionate', 'caring')",1.7268771,1.8193773,0.0925002
10,1.1778674,1.280592,"('unsympathetic', 'sympathetic')",1.1778674,1.280592,0.1027246
11,2.0448205,2.0988717,"('unhelpful', 'helpful')",2.0448205,2.0988717,0.0540512
12,-1.2470073,-1.053012,"('unsupportive', 'supportive')",-1.2470073,-1.053012,0.1939953
13,0.22389373,0.10905385,"('impolite', 'polite')",0.2238937,0.1090539,-0.1148398
14,0.03372042,-0.009221832,"('antisocial', 'social')",0.0337204,-0.0092218,-0.0429422
15,0.73257154,0.6933339,"('boring', 'funny')",0.7325715,0.6933339,-0.0392376
16,-0.79009426,-0.6029357,"('unpopular', 'popular')",-0.7900943,-0.6029357,0.1871586
17,-0.61742926,-0.3837746,"('nasty', 'nice')",-0.6174293,-0.3837746,0.2336547
18,-0.3442794,-0.1367719,"('disagreeable', 'welcoming')",-0.3442794,-0.1367719,0.2075075
19,-0.5283377,-0.20353822,"('inhospitable', 'hospitable')",-0.5283377,-0.2035382,0.3247995
20,1.1293886,1.0087023,"('rough', 'thoughtful')",1.1293886,1.0087023,-0.1206863
21,0.40931648,0.53803647,"('immoral', 'moral')",0.4093165,0.5380365,0.12872
22,-0.02934973,0.09432812,"('untrustworthy', 'trustworthy')",-0.0293497,0.0943281,0.1236778
23,6.7225847,6.9700346,"('insincere', 'sincere')",6.7225847,6.9700346,0.2474499
24,2.0547237,2.2308521,"('dishonest', 'honest')",2.0547237,2.2308521,0.1761284
25,0.53195196,0.55423766,"('egoistic', 'altruistic')",0.531952,0.5542377,0.0222857
26,0.35224622,0.21877992,"('hardhearted', 'benevolent')",0.3522462,0.2187799,-0.1334663
27,1.5142815,1.5879183,"('hardhearted', 'softhearted')",1.5142815,1.5879183,0.0736368
28,1.1228492,1.176078,"('disloyal', 'loyal')",1.1228492,1.176078,0.0532288
29,0.033895075,-0.014735941,"('unfair', 'fair')",0.0338951,-0.0147359,-0.048631
30,1.2824492,1.1837969,"('intolerant', 'tolerant')",1.2824492,1.1837969,-0.0986523
31,-1.4146671,-1.2566847,"('evil', 'good')",-1.4146671,-1.2566847,0.1579824
32,1.0004951,1.0856578,"('unkind', 'kind')",1.0004951,1.0856578,0.0851627
33,-0.11179432,-0.10237022,"('wrong', 'right')",-0.1117943,-0.1023702,0.0094241
34,4.4496474,4.754949,"('mean', 'honorable')",4.4496474,4.7549491,0.3053017
35,-0.7839509,-0.8791366,"('corrupt', 'incorrupt')",-0.7839509,-0.8791366,-0.0951857
36,-0.6808048,-0.7299132,"('hostile', 'amicable')",-0.6808048,-0.7299132,-0.0491084
37,0.97960955,1.0264887,"('fake', 'genuine')",0.9796095,1.0264887,0.0468792
38,0.04923871,0.14535166,"('untruthful', 'truthful')",0.0492387,0.1453517,0.096113
39,0.24880221,0.09878734,"('exploitative', 'cooperative')",0.2488022,0.0987873,-0.1500149
40,-1.4053724,-1.2417891,"('stingy', 'generous')",-1.4053724,-1.2417891,0.1635833
41,0.09218507,0.003410779,"('unforgiving', 'forgiving')",0.0921851,0.0034108,-0.0887743
42,-2.2458541,-2.0230815,"('unreliable', 'reliable')",-2.2458541,-2.0230815,0.2227726
43,1.6437472,1.5988216,"('irresponsible', 'responsible')",1.6437472,1.5988216,-0.0449256
44,-1.1527824,-1.4744576,"('prejudiced', 'unprejudiced')",-1.1527824,-1.4744576,-0.3216752
45,0.3431728,0.50697607,"('incompetent', 'competent')",0.3431728,0.5069761,0.1638033
46,-0.49082592,-0.4157625,"('uncompetitive', 'competitive')",-0.4908259,-0.4157625,0.0750634
47,5.360186,5.692573,"('stupid', 'smart')",5.3601861,5.6925731,0.332387
48,1.1302645,1.0857729,"('unintelligent', 'intelligent')",1.1302645,1.0857729,-0.0444916
49,0.13048467,0.39659214,"('unable', 'able')",0.1304847,0.3965921,0.2661074
50,0.0699296,0.36836863,"('clumsy', 'skillful')",0.0699296,0.3683686,0.298439
51,0.5875483,0.7084543,"('uneducated', 'educated')",0.5875483,0.7084543,0.120906
52,-0.31439182,-0.28613162,"('irrational', 'rational')",-0.3143918,-0.2861316,0.0282602
53,0.58278954,0.75838876,"('uncreative', 'creative')",0.5827895,0.7583888,0.1755993
54,1.3050735,1.5840107,"('incapable', 'capable')",1.3050735,1.5840107,0.2789372
55,1.1532462,1.2164507,"('incompetent', 'clever')",1.1532462,1.2164507,0.0632045
56,0.7312648,0.7449758,"('impractical', 'practical')",0.7312648,0.7449758,0.013711
57,-2.671705,-2.5248723,"('unimaginative', 'imaginative')",-2.671705,-2.5248723,0.1468327
58,0.16198462,0.1661615,"('undiscriminating', 'discriminating')",0.1619846,0.1661615,0.0041769
59,-0.071214944,0.18825433,"('foolish', 'wise')",-0.0712149,0.1882543,0.2594692
60,0.94435936,0.8704498,"('inefficient', 'efficient')",0.9443594,0.8704498,-0.0739096
61,0.72283244,0.6815392,"('illogical', 'logical')",0.7228324,0.6815392,-0.0412932
62,1.2763504,1.5929785,"('incompetent', 'brilliant')",1.2763504,1.5929785,0.3166281
63,0.728403,1.0451107,"('unperceptive', 'insightful')",0.728403,1.0451107,0.3167077
64,-5.815144,-5.8204274,"('shy', 'confident')",-5.8151441,-5.8204274,-0.0052833
65,1.045111,1.136152,"('insecure', 'secure')",1.0451109,1.136152,0.0910411
66,-0.102868885,-0.07952304,"('inactive', 'active')",-0.1028689,-0.079523,0.0233459
67,-0.43567014,-0.70931304,"('doubtful', 'determined')",-0.4356701,-0.709313,-0.2736429
68,-0.6098402,-0.34118798,"('dependent', 'independent')",-0.6098402,-0.341188,0.2686522
69,-1.6351674,-1.5700276,"('lazy', 'industrious')",-1.6351674,-1.5700276,0.0651398
70,1.3692906,1.530857,"('lethargic', 'energetic')",1.3692906,1.530857,0.1615664
71,0.48508593,0.68060875,"('diffident', 'self-confident')",0.4850859,0.6806087,0.1955228
72,1.0123831,1.1541893,"('unambitious', 'ambitious')",1.0123831,1.1541893,0.1418062
73,-3.0662768,-2.864805,"('helpless', 'self-reliant')",-3.0662768,-2.864805,0.2014718
74,0.15591425,0.21476468,"('undedicated', 'dedicated')",0.1559142,0.2147647,0.0588505
75,-0.98702806,-0.80579996,"('meek', 'impulsive')",-0.9870281,-0.8058,0.1812281
76,1.1838847,1.1129816,"('anxious', 'daring')",1.1838847,1.1129816,-0.0709031
77,-0.7765013,-0.76386243,"('unmotivated', 'motivated')",-0.7765013,-0.7638624,0.0126389
78,-0.43669707,-0.32148635,"('nonresilient', 'resilient')",-0.4366971,-0.3214864,0.1152107
79,-0.31972286,-0.1307683,"('wavering', 'unwavering')",-0.3197229,-0.1307683,0.1889546
80,0.122946374,0.04355841,"('dominated', 'dominating')",0.1229464,0.0435584,-0.079388
81,0.0901335,0.08598682,"('submissive', 'aggressive')",0.0901335,0.0859868,-0.0041467
82,6.239383,6.643491,"('poor', 'rich')",6.2393832,6.6434908,0.4041076
83,-0.26412508,-0.37195587,"('powerless', 'powerful')",-0.2641251,-0.3719559,-0.1078308
