,solaredge_male,solaredge_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.5823222,-0.5872578,"('unsociable', 'sociable')",-0.26922396,-0.43232256,-0.7524984,-0.8996201,-0.5346815,-0.6397335,-0.105052
1,-1.6019428,-1.6655327,"('unfriendly', 'friendly')",-0.92911017,-1.1250865,1.6052359,1.4462365,-0.3086057,-0.4481276,-0.1395219
2,0.10358374,0.06278944,"('unlikable', 'likable')",0.3959254,0.3701183,0.8568576,0.9290657,0.4521223,0.4539911,0.0018688
3,-0.50223774,-0.36492348,"('repellent', 'pleasant')",0.33830905,0.38514984,-0.10899231,-0.059406687,-0.0909737,-0.0130601,0.0779136
4,-0.5553704,-0.74074763,"('disliked', 'liked')",-0.3697849,-0.4607218,-5.437458,-5.4512777,-2.1208711,-2.2175824,-0.0967113
5,-1.339139,-1.3993341,"('distant', 'outgoing')",-1.0691152,-1.0872707,-0.104405575,-0.06870542,-0.8375533,-0.85177,-0.0142167
6,-1.8368258,-1.8858397,"('distant', 'open')",-1.8306971,-1.8970405,0.38489613,0.4071465,-1.094209,-1.1252446,-0.0310356
7,0.5048848,0.68406165,"('insensitive', 'sensitive')",0.27768713,0.36527723,0.22145683,0.2771929,0.3346763,0.4421772,0.1075009
8,-1.0930208,-1.1486512,"('unaffectionate', 'affectionate')",-0.9962594,-1.1110659,0.56145996,0.45740956,-0.5092734,-0.6007691,-0.0914957
9,-0.8629488,-0.8887299,"('unaffectionate', 'caring')",-0.3884768,-0.50136346,0.9050379,0.84865993,-0.1154625,-0.1804778,-0.0650153
10,-1.0249387,-0.8761326,"('unsympathetic', 'sympathetic')",-0.6426567,-0.71600753,-0.68373823,-0.72074187,-0.7837779,-0.7709606,0.0128173
11,-0.15052545,-0.055905152,"('unhelpful', 'helpful')",1.2174237,1.2296878,1.3739845,1.3617697,0.8136276,0.8451842,0.0315566
12,0.06207064,0.1416017,"('unsupportive', 'supportive')",0.41650152,0.44528735,-1.9422555,-1.8921939,-0.4878945,-0.4351016,0.0527929
13,-0.038716838,0.04408155,"('impolite', 'polite')",0.06163313,0.0919503,-0.5920889,-0.62719893,-0.1897242,-0.1637224,0.0260018
14,0.44706845,0.55528134,"('antisocial', 'social')",0.835095,0.8591765,-0.7143556,-0.7313877,0.1892693,0.22769,0.0384207
15,0.31909043,0.19798982,"('boring', 'funny')",-0.2051216,-0.25752348,0.7394656,0.69776857,0.2844781,0.212745,-0.0717331
16,-0.60033965,-0.7348841,"('unpopular', 'popular')",0.062047612,0.026845414,0.87925965,0.867389,0.1136559,0.0531168,-0.0605391
17,-0.3976012,-0.40506074,"('nasty', 'nice')",-0.73293835,-0.6762091,-0.3934689,-0.36384985,-0.5080028,-0.4817066,0.0262962
18,-0.08691868,-0.08086763,"('disagreeable', 'welcoming')",-0.2467567,-0.22425313,-0.18661524,-0.22128475,-0.1734302,-0.1754685,-0.0020383
19,-2.05815,-2.0993247,"('inhospitable', 'hospitable')",-1.0402614,-1.0919048,-0.08732021,0.017956525,-1.0619106,-1.0577576,0.004153
20,0.34733218,0.48999768,"('rough', 'thoughtful')",0.8702463,0.95249665,0.80239886,0.76969796,0.6733258,0.7373974,0.0640716
21,0.49871755,0.5548524,"('immoral', 'moral')",0.6343623,0.578422,-0.88551354,-0.8877187,0.0825221,0.0818519,-0.0006702
22,-0.63320184,-0.58472663,"('untrustworthy', 'trustworthy')",-0.38641864,-0.46616393,-1.172813,-1.2133524,-0.7308111,-0.7547477,-0.0239366
23,-0.06447539,0.0119696865,"('insincere', 'sincere')",-0.30977434,-0.34206602,4.5503135,4.402833,1.3920212,1.3575789,-0.0344423
24,-0.6708514,-0.62544024,"('dishonest', 'honest')",-2.1567762,-2.202897,0.44063005,0.35134163,-0.7956659,-0.8256652,-0.0299993
25,0.12753814,0.06997118,"('egoistic', 'altruistic')",0.18901236,0.15664181,1.5861382,1.5301609,0.6342296,0.5855913,-0.0486383
26,0.1853165,0.15224057,"('hardhearted', 'benevolent')",-0.07235642,-0.09598233,1.6961521,1.6164196,0.6030374,0.5575593,-0.0454781
27,-0.74999124,-0.67078006,"('hardhearted', 'softhearted')",-0.026050035,0.042685453,1.1389822,1.1392379,0.1209803,0.1703811,0.0494008
28,0.060361568,0.009228539,"('disloyal', 'loyal')",-0.13369374,-0.26859608,0.5332804,0.36471975,0.1533161,0.0351174,-0.1181987
29,-0.68550986,-0.7185697,"('unfair', 'fair')",-1.1522083,-1.1917164,-0.929672,-1.0563254,-0.9224634,-0.9888705,-0.0664071
30,0.78787917,0.8275749,"('intolerant', 'tolerant')",1.5313511,1.4507794,1.209285,1.1434556,1.1761718,1.1406034,-0.0355684
