,blackfish_male,blackfish_female,tuple,average_male,average_female,female-male
0,0.27887508,0.27947393,"('unsociable', 'sociable')",0.2788751,0.2794739,0.0005988
1,-0.4221453,-0.6685865,"('unfriendly', 'friendly')",-0.4221453,-0.6685865,-0.2464412
2,0.7379836,0.70027155,"('unlikable', 'likable')",0.7379836,0.7002715,-0.0377121
3,-0.43797293,-0.3029609,"('repellent', 'pleasant')",-0.4379729,-0.3029609,0.135012
4,-2.5845225,-2.7294507,"('disliked', 'liked')",-2.5845225,-2.7294507,-0.1449282
5,-1.5011896,-1.6798606,"('distant', 'outgoing')",-1.5011896,-1.6798606,-0.178671
6,-1.5164903,-1.6726182,"('distant', 'open')",-1.5164903,-1.6726182,-0.1561279
7,0.23810914,0.31082332,"('insensitive', 'sensitive')",0.2381091,0.3108233,0.0727142
8,-0.34427667,-0.5254161,"('unaffectionate', 'affectionate')",-0.3442767,-0.5254161,-0.1811394
9,0.21130331,0.04024535,"('unaffectionate', 'caring')",0.2113033,0.0402454,-0.1710579
10,0.10613935,0.1886172,"('unsympathetic', 'sympathetic')",0.1061393,0.1886172,0.0824779
11,1.1945251,1.2243717,"('unhelpful', 'helpful')",1.1945251,1.2243717,0.0298466
12,-0.86988693,-0.8726828,"('unsupportive', 'supportive')",-0.8698869,-0.8726828,-0.0027959
13,0.28890055,0.29821655,"('impolite', 'polite')",0.2889006,0.2982166,0.009316
14,1.0991055,1.1166083,"('antisocial', 'social')",1.0991055,1.1166083,0.0175028
15,0.40049517,0.26938924,"('boring', 'funny')",0.4004952,0.2693892,-0.131106
16,-0.487593,-0.4190209,"('unpopular', 'popular')",-0.487593,-0.4190209,0.0685721
17,-0.9553035,-0.9094499,"('nasty', 'nice')",-0.9553035,-0.9094499,0.0458536
18,-0.6894104,-0.75529426,"('disagreeable', 'welcoming')",-0.6894104,-0.7552943,-0.0658839
19,-1.6890118,-1.6420777,"('inhospitable', 'hospitable')",-1.6890118,-1.6420777,0.0469341
20,-0.23429604,-0.11835226,"('rough', 'thoughtful')",-0.234296,-0.1183523,0.1159437
21,0.2055573,0.39547795,"('immoral', 'moral')",0.2055573,0.395478,0.1899207
22,-0.40449888,-0.40434277,"('untrustworthy', 'trustworthy')",-0.4044989,-0.4043428,0.0001561
23,2.5905488,2.69091,"('insincere', 'sincere')",2.5905488,2.6909101,0.1003613
24,0.6653546,0.5379574,"('dishonest', 'honest')",0.6653546,0.5379574,-0.1273972
25,-0.16538343,-0.20232154,"('egoistic', 'altruistic')",-0.1653834,-0.2023215,-0.0369381
26,0.08844613,-0.12624927,"('hardhearted', 'benevolent')",0.0884461,-0.1262493,-0.2146954
27,-0.8594079,-0.91582876,"('hardhearted', 'softhearted')",-0.8594079,-0.9158288,-0.0564209
28,0.70662844,0.63257843,"('disloyal', 'loyal')",0.7066284,0.6325784,-0.07405
29,-0.823926,-0.880741,"('unfair', 'fair')",-0.823926,-0.880741,-0.056815
30,0.62215835,0.58178663,"('intolerant', 'tolerant')",0.6221583,0.5817866,-0.0403717
31,-2.3405993,-2.3895836,"('evil', 'good')",-2.3405993,-2.3895836,-0.0489843
32,0.32586884,0.22145975,"('unkind', 'kind')",0.3258688,0.2214597,-0.1044091
33,-0.12546198,-0.25373617,"('wrong', 'right')",-0.125462,-0.2537362,-0.1282742
34,0.8325296,1.024973,"('mean', 'honorable')",0.8325296,1.024973,0.1924434
35,-1.1385027,-1.2508854,"('corrupt', 'incorrupt')",-1.1385027,-1.2508854,-0.1123827
