,construction_male,construction_female,tuple,average_male,average_female,female-male
0,-0.25432807,-0.16195515,"('unsociable', 'sociable')",-0.2543281,-0.1619551,0.092373
1,1.280547,1.045935,"('unfriendly', 'friendly')",1.280547,1.045935,-0.234612
2,0.41675133,0.53657764,"('unlikable', 'likable')",0.4167513,0.5365776,0.1198263
3,-0.1381349,0.13699415,"('repellent', 'pleasant')",-0.1381349,0.1369942,0.2751291
4,-6.6073995,-6.934258,"('disliked', 'liked')",-6.6073995,-6.934258,-0.3268585
5,-0.12504146,-0.3288048,"('distant', 'outgoing')",-0.1250415,-0.3288048,-0.2037633
6,-0.19703184,-0.32672453,"('distant', 'open')",-0.1970318,-0.3267245,-0.1296927
7,0.72126955,0.82016563,"('insensitive', 'sensitive')",0.7212695,0.8201656,0.0988961
8,1.2198433,1.1097251,"('unaffectionate', 'affectionate')",1.2198433,1.1097251,-0.1101182
9,1.7343783,1.6978089,"('unaffectionate', 'caring')",1.7343783,1.6978089,-0.0365694
10,0.1748607,0.38674146,"('unsympathetic', 'sympathetic')",0.1748607,0.3867415,0.2118808
11,1.9695995,1.9913126,"('unhelpful', 'helpful')",1.9695995,1.9913126,0.0217131
12,-0.9839596,-1.0753804,"('unsupportive', 'supportive')",-0.9839596,-1.0753804,-0.0914208
13,-0.20506868,-0.042954303,"('impolite', 'polite')",-0.2050687,-0.0429543,0.1621144
14,0.7705349,0.809645,"('antisocial', 'social')",0.7705349,0.809645,0.0391101
15,0.14673358,0.030973978,"('boring', 'funny')",0.1467336,0.030974,-0.1157596
16,-0.5978974,-0.5628247,"('unpopular', 'popular')",-0.5978974,-0.5628247,0.0350727
17,-0.014237121,0.015831497,"('nasty', 'nice')",-0.0142371,0.0158315,0.0300686
18,-0.74091935,-0.68804324,"('disagreeable', 'welcoming')",-0.7409194,-0.6880432,0.0528762
19,-0.46620715,-0.4582705,"('inhospitable', 'hospitable')",-0.4662071,-0.4582705,0.0079366
20,0.24662086,0.27103233,"('rough', 'thoughtful')",0.2466209,0.2710323,0.0244114
21,-0.46954677,-0.20270091,"('immoral', 'moral')",-0.4695468,-0.2027009,0.2668459
22,-0.6760636,-0.69320124,"('untrustworthy', 'trustworthy')",-0.6760636,-0.6932012,-0.0171376
23,6.2222013,6.4244723,"('insincere', 'sincere')",6.2222013,6.4244723,0.202271
