,paychex_male,paychex_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.5569094,-0.7494589,"('unsociable', 'sociable')",-0.38667327,-0.62336755,-0.4717913,-0.6864132,-0.2146219
1,-0.55766624,-0.47165874,"('unfriendly', 'friendly')",1.8920646,1.7642548,0.6671991,0.6462981,-0.020901
2,0.78550804,0.8534224,"('unlikable', 'likable')",0.8334449,0.9408959,0.8094765,0.8971592,0.0876827
3,-0.956815,-0.83601445,"('repellent', 'pleasant')",-0.13889961,-0.10097335,-0.5478573,-0.4684939,0.0793634
4,0.4709454,0.60110354,"('disliked', 'liked')",-5.9888396,-5.9366817,-2.7589471,-2.667789,0.0911581
5,0.21842855,0.37967077,"('distant', 'outgoing')",-0.035878517,0.042619284,0.091275,0.211145,0.11987
6,-0.22201554,-0.004518144,"('distant', 'open')",0.370578,0.45309722,0.0742812,0.2242895,0.1500083
7,-0.76798034,-0.7398629,"('insensitive', 'sensitive')",0.1643835,0.12926576,-0.3017984,-0.3052986,-0.0035002
8,-0.6807802,-0.6404393,"('unaffectionate', 'affectionate')",0.9385609,0.92952156,0.1288904,0.1445411,0.0156507
9,-0.55122775,-0.5096035,"('unaffectionate', 'caring')",1.1133476,1.1339197,0.28106,0.3121581,0.0310981
10,-1.5059341,-1.5997306,"('unsympathetic', 'sympathetic')",-0.72349644,-0.8346662,-1.1147153,-1.2171984,-0.1024831
11,-0.55206525,-0.5927575,"('unhelpful', 'helpful')",1.6679295,1.757388,0.5579321,0.5823152,0.0243831
12,-0.21757859,-0.06466274,"('unsupportive', 'supportive')",-1.8791549,-1.7935565,-1.0483668,-0.9291096,0.1192572
13,-0.5158125,-0.7339839,"('impolite', 'polite')",-0.5744771,-0.6674173,-0.5451448,-0.7007006,-0.1555558
14,-0.14480254,-0.20954165,"('antisocial', 'social')",-0.84543824,-1.0183725,-0.4951204,-0.6139571,-0.1188367
15,0.07045828,0.00527965,"('boring', 'funny')",0.597449,0.5237763,0.3339536,0.264528,-0.0694256
16,-0.67787373,-0.46062526,"('unpopular', 'popular')",0.54238605,0.5789055,-0.0677438,0.0591401,0.1268839
17,0.057127334,0.22311574,"('nasty', 'nice')",-0.6195425,-0.5685212,-0.2812076,-0.1727027,0.1085049
18,-0.6227544,-0.4793455,"('disagreeable', 'welcoming')",-0.30901682,-0.28670663,-0.4658856,-0.3830261,0.0828595
19,-0.4705591,-0.32426506,"('inhospitable', 'hospitable')",0.03413503,0.15202963,-0.218212,-0.0861177,0.1320943
20,-0.420554,-0.35946155,"('rough', 'thoughtful')",0.9093975,0.82311,0.2444217,0.2318242,-0.0125975
21,-0.8390638,-0.9089717,"('immoral', 'moral')",-0.89382535,-0.9090686,-0.8664446,-0.9090202,-0.0425756
22,-0.85819167,-0.94193834,"('untrustworthy', 'trustworthy')",-1.0017197,-1.1368191,-0.9299557,-1.0393788,-0.1094231
23,-0.5465218,-0.64136463,"('insincere', 'sincere')",5.4531784,5.289359,2.4533284,2.3239973,-0.1293311
24,-0.5134108,-0.55831945,"('dishonest', 'honest')",0.7963963,0.6762392,0.1414928,0.0589599,-0.0825329
25,0.17705229,0.17132506,"('egoistic', 'altruistic')",1.5561532,1.4698515,0.8666027,0.8205883,-0.0460144
26,0.27275175,0.19114272,"('hardhearted', 'benevolent')",1.719211,1.5154495,0.9959813,0.8532961,-0.1426852
27,-0.06822252,0.07937996,"('hardhearted', 'softhearted')",1.3820878,1.3096113,0.6569327,0.6944956,0.0375629
28,-0.80573136,-0.9704974,"('disloyal', 'loyal')",0.8967085,0.7389706,0.0454886,-0.1157634,-0.161252
29,-0.3523554,-0.3351233,"('unfair', 'fair')",-0.43345958,-0.6262377,-0.3929075,-0.4806805,-0.087773
30,0.5191337,0.48935598,"('intolerant', 'tolerant')",1.130787,1.0657836,0.8249604,0.7775698,-0.0473906
31,-0.24716234,0.037563972,"('evil', 'good')",-0.8337959,-0.93657196,-0.5404791,-0.449504,0.0909751
32,0.02118742,-0.0754593,"('unkind', 'kind')",1.0711259,0.8331932,0.5461566,0.3788669,-0.1672897
33,0.7296144,0.7057148,"('wrong', 'right')",-0.58786535,-0.6477375,0.0708745,0.0289887,-0.0418858
34,0.22761524,0.44960633,"('mean', 'honorable')",5.870257,6.019141,3.0489361,3.2343738,0.1854377
