,usher_male,usher_female,tuple,average_male,average_female,female-male
67,-0.8751549,-0.8793009,"('doubtful', 'determined')",-0.8751549,-0.8793009,-0.004146
68,-0.35953513,-0.17124844,"('dependent', 'independent')",-0.3595351,-0.1712484,0.1882867
69,-1.9650217,-1.9033233,"('lazy', 'industrious')",-1.9650217,-1.9033233,0.0616984
70,1.4512564,1.4809656,"('lethargic', 'energetic')",1.4512564,1.4809656,0.0297092
71,0.34835085,0.4878426,"('diffident', 'self-confident')",0.3483509,0.4878426,0.1394917
72,0.95123255,1.1385772,"('unambitious', 'ambitious')",0.9512326,1.1385772,0.1873446
73,-2.5001585,-2.3236718,"('helpless', 'self-reliant')",-2.5001585,-2.3236718,0.1764867
74,0.3523704,0.21601658,"('undedicated', 'dedicated')",0.3523704,0.2160166,-0.1363538
75,-1.1011047,-0.9489552,"('meek', 'impulsive')",-1.1011047,-0.9489552,0.1521495
76,0.5376525,0.3781245,"('anxious', 'daring')",0.5376525,0.3781245,-0.159528
77,-1.3771726,-1.1532227,"('unmotivated', 'motivated')",-1.3771726,-1.1532227,0.2239499
78,-0.6099087,-0.4796913,"('nonresilient', 'resilient')",-0.6099087,-0.4796913,0.1302174
79,-0.33573446,-0.24173652,"('wavering', 'unwavering')",-0.3357345,-0.2417365,0.093998
80,0.060916774,-0.010139481,"('dominated', 'dominating')",0.0609168,-0.0101395,-0.0710563
81,0.005263731,-0.03464155,"('submissive', 'aggressive')",0.0052637,-0.0346415,-0.0399052
82,6.497922,6.724012,"('poor', 'rich')",6.4979219,6.7240119,0.22609
83,-0.5794441,-0.49882337,"('powerless', 'powerful')",-0.5794441,-0.4988234,0.0806207
84,0.13582505,0.23741367,"('inferior', 'superior')",0.1358251,0.2374137,0.1015886
85,-1.3016462,-1.2894857,"('insignificant', 'prestigious')",-1.3016462,-1.2894857,0.0121605
86,1.0077448,0.9962246,"('uninfluential', 'influential')",1.0077448,0.9962246,-0.0115202
87,0.41035807,0.7206216,"('unsuccessful', 'successful')",0.4103581,0.7206216,0.3102635
88,0.31036326,0.4473446,"('low', 'eminent')",0.3103633,0.4473446,0.1369813
