,bio_male,bio_female,tuple,rad_male,rad_female,laboratories_male,laboratories_female,inc_male,inc_female,average_male,average_female,female-male
0,0.3790766,0.27073386,"('unsociable', 'sociable')",-0.85836595,-0.9479725,0.83491355,0.74783105,-0.42457247,-0.5545679,-0.0172371,-0.1209939,-0.1037568
1,-0.73898035,-0.80689234,"('unfriendly', 'friendly')",-2.0118697,-2.1022797,-0.85609585,-0.9486219,1.4529946,1.3888395,-0.5384878,-0.6172386,-0.0787508
2,1.1686417,1.1561049,"('unlikable', 'likable')",0.88037443,0.84859425,0.46524224,0.458647,0.8562804,0.91083825,0.8426346,0.8435462,0.0009116
3,-1.4077806,-1.3675103,"('repellent', 'pleasant')",-0.99770737,-0.98229694,0.20397297,0.2734166,0.12673602,0.18609731,-0.5186948,-0.4725734,0.0461214
4,-0.39055333,-0.5326072,"('disliked', 'liked')",-0.14673816,-0.21338603,-0.5880596,-0.6972836,-5.5014696,-5.7290382,-1.6567051,-1.7930788,-0.1363737
5,-1.0464659,-0.9966486,"('distant', 'outgoing')",-1.2614443,-1.2398282,-1.9505033,-1.8983452,-0.45933884,-0.43486375,-1.179438,-1.1424214,0.0370166
6,-1.2912734,-1.2698014,"('distant', 'open')",-1.2868267,-1.276221,-2.3715985,-2.3375635,0.17168978,0.18079463,-1.1945021,-1.1756978,0.0188043
7,-0.6254599,-0.6881931,"('insensitive', 'sensitive')",-0.64773744,-0.6907353,-0.28182274,-0.27590075,0.48207894,0.52440125,-0.2682353,-0.282607,-0.0143717
8,-0.3856929,-0.37836367,"('unaffectionate', 'affectionate')",-1.5893902,-1.6447798,-0.6455644,-0.6483762,0.4784279,0.44693965,-0.5355549,-0.556145,-0.0205901
9,0.012046538,0.010192868,"('unaffectionate', 'caring')",-1.6050907,-1.6783794,-0.62665135,-0.5932045,0.96638143,1.0164735,-0.3133285,-0.3112294,0.0020991
10,-0.6027714,-0.6834891,"('unsympathetic', 'sympathetic')",-1.117151,-1.169687,0.08655017,0.096810766,-0.39430797,-0.34469473,-0.5069201,-0.525265,-0.0183449
11,0.29670545,0.29197663,"('unhelpful', 'helpful')",-0.7635093,-0.8065449,0.5140891,0.4746281,1.7216027,1.7845412,0.442222,0.4361503,-0.0060717
12,0.9191289,0.9364043,"('unsupportive', 'supportive')",-0.28737202,-0.29598352,-0.089566946,0.02379404,-1.7536347,-1.7335229,-0.3028612,-0.267327,0.0355342
13,0.5934968,0.55443186,"('impolite', 'polite')",-0.191569,-0.19992642,0.5952925,0.61628574,-0.3949216,-0.44202137,0.1505747,0.1321924,-0.0183823
14,0.4319772,0.3723608,"('antisocial', 'social')",0.0725172,0.054804437,1.2847131,1.3144221,-0.32818112,-0.38547328,0.3652566,0.3390285,-0.0262281
15,0.05127647,-0.06919944,"('boring', 'funny')",0.70100844,0.6464519,-0.27791342,-0.33284694,0.898296,0.80773824,0.3431669,0.263036,-0.0801309
16,0.42168075,0.3368994,"('unpopular', 'popular')",0.23638709,0.19703212,0.3836899,0.3621302,0.72377056,0.6913514,0.4413821,0.3968533,-0.0445288
17,0.70891005,0.6838352,"('nasty', 'nice')",-0.11748755,-0.12924044,-0.469849,-0.43361244,-0.19569412,-0.1553001,-0.0185302,-0.0085794,0.0099508
18,0.23354974,0.16235101,"('disagreeable', 'welcoming')",-0.013182517,-0.0726488,-0.2937748,-0.33104745,-0.3416619,-0.40994316,-0.1037674,-0.1628221,-0.0590547
19,-1.0472131,-1.0844672,"('inhospitable', 'hospitable')",-0.97892994,-0.973823,-1.6196481,-1.6280217,-0.13979942,-0.06374862,-0.9463976,-0.9375151,0.0088825
20,0.41973096,0.4191056,"('rough', 'thoughtful')",0.057455428,0.03828765,1.3445274,1.3841813,1.0053138,0.95392245,0.7067568,0.6988742,-0.0078826
21,0.58261025,0.46667376,"('immoral', 'moral')",-0.27550757,-0.33648732,0.75450736,0.69471806,-0.6861989,-0.6648721,0.0938528,0.0400081,-0.0538447
22,-0.2019897,-0.27506474,"('untrustworthy', 'trustworthy')",0.09516756,0.06560967,0.25696918,0.14787778,-0.82399225,-0.89645016,-0.1684613,-0.2395069,-0.0710456
23,0.4732256,0.3692824,"('insincere', 'sincere')",-0.7147597,-0.7903598,0.23020175,0.17712179,5.220307,5.288335,1.3022436,1.2610948,-0.0411488
24,0.08622088,0.04646019,"('dishonest', 'honest')",-0.8107747,-0.85664886,-0.6119543,-0.60676533,0.83279413,0.80872786,-0.1259285,-0.1520565,-0.026128
25,-0.10649624,-0.054011486,"('egoistic', 'altruistic')",-0.45944315,-0.4493094,-0.018046848,0.05218392,1.3010633,1.2536429,0.1792693,0.2006265,0.0213572
26,-0.09974666,-0.16717298,"('hardhearted', 'benevolent')",-0.17787093,-0.22178352,0.70406353,0.7548166,1.5576545,1.4834439,0.4960251,0.462326,-0.0336991
27,-0.8703031,-0.73966974,"('hardhearted', 'softhearted')",-0.679141,-0.67097276,-0.39034528,-0.31640404,1.3133465,1.2416598,-0.1566107,-0.1213467,0.035264
28,-0.051291108,-0.17682555,"('disloyal', 'loyal')",-0.553205,-0.67634165,0.13164806,0.00049477816,0.9814147,0.88414526,0.1271417,0.0078682,-0.1192735
29,-0.3453628,-0.43528455,"('unfair', 'fair')",-0.6925809,-0.7344401,-0.9590542,-0.93174076,-0.5991502,-0.70980066,-0.649037,-0.7028165,-0.0537795
30,0.5571447,0.43891957,"('intolerant', 'tolerant')",0.43886298,0.34661865,0.3824472,0.29457015,1.3430277,1.2641865,0.6803707,0.5860738,-0.0942969
31,-0.94586605,-0.8920059,"('evil', 'good')",-1.2461237,-1.1578878,-1.0443077,-1.0165921,-0.95843685,-1.0207425,-1.0486835,-1.0218071,0.0268764
32,0.6641001,0.6103992,"('unkind', 'kind')",-0.1301702,-0.17427622,0.64511025,0.6623785,0.9388758,0.858293,0.529479,0.4891986,-0.0402804
33,0.4679012,0.4435173,"('wrong', 'right')",0.39034826,0.3617042,-0.45506626,-0.5111857,-0.37150228,-0.45421126,0.0079202,-0.0400439,-0.0479641
34,0.2379041,0.3075847,"('mean', 'honorable')",-0.111385085,-0.023536587,0.3876567,0.45011494,5.71554,5.9322658,1.557429,1.6666071,0.1091781
35,-0.9124909,-0.9248643,"('corrupt', 'incorrupt')",0.15949109,0.13747333,-1.2884823,-1.3298882,0.09794448,-0.06946582,-0.4858844,-0.5466862,-0.0608018
36,-1.071981,-1.1749564,"('hostile', 'amicable')",-1.238837,-1.2945564,-2.1269479,-2.2357664,0.3232146,0.14090073,-1.0286379,-1.1410947,-0.1124568
37,-0.53552914,-0.57617897,"('fake', 'genuine')",-0.4102775,-0.3684535,-1.2338083,-1.2034308,0.009640625,0.035822317,-0.5424936,-0.5280602,0.0144334
38,0.23063609,0.24773785,"('untruthful', 'truthful')",-0.61330366,-0.63696796,-0.16986266,-0.17277864,-0.06644572,-0.014380485,-0.154744,-0.1440973,0.0106467
39,0.78763765,0.79697174,"('exploitative', 'cooperative')",-0.10496741,-0.109065965,0.6856845,0.75323313,0.06570204,0.08379551,0.3585142,0.3812336,0.0227194
40,0.7161351,0.64085156,"('stingy', 'generous')",0.08005238,0.042394016,0.17033124,0.21359183,-1.1267129,-1.2662058,-0.0400486,-0.0923421,-0.0522935
41,0.3240287,0.2285025,"('unforgiving', 'forgiving')",-0.71561456,-0.7123549,0.7337989,0.69442314,0.4223453,0.3049542,0.1911396,0.1288812,-0.0622584
42,0.39842755,0.2894853,"('unreliable', 'reliable')",0.41934752,0.39311343,0.07008591,0.050854143,-2.9622006,-2.9994159,-0.5185849,-0.5664908,-0.0479059
43,0.3697691,0.4057363,"('irresponsible', 'responsible')",-0.69703096,-0.67425764,-0.23587397,-0.2010653,0.29840615,0.37757763,-0.0661824,-0.0230023,0.0431801
