,western_male,western_female,tuple,union_male,union_female,co_male,co_female,average_male,average_female,female-male
0,-0.24822849,-0.37329403,"('unsociable', 'sociable')",0.12791356,0.10623943,-0.510681,-0.54690796,-0.210332,-0.2713209,-0.0609889
1,0.110969305,-0.011167735,"('unfriendly', 'friendly')",-0.090486795,-0.16526209,2.0977578,2.0792904,0.7060801,0.6342868,-0.0717933
2,1.1525856,1.16119,"('unlikable', 'likable')",0.50778604,0.57522494,0.4761998,0.6219058,0.7121905,0.7861069,0.0739164
3,-0.01029174,0.08214642,"('repellent', 'pleasant')",-0.56197304,-0.3649187,0.3044941,0.39613453,-0.0892569,0.0377874,0.1270443
4,-0.12987663,-0.13689262,"('disliked', 'liked')",0.6594626,0.6007158,-7.037596,-7.13089,-2.1693368,-2.2223555,-0.0530187
5,-0.7030696,-0.7415528,"('distant', 'outgoing')",0.43856043,0.38179785,-0.08664088,-0.023137502,-0.11705,-0.1276308,-0.0105808
6,-0.77803147,-0.8042097,"('distant', 'open')",0.6894018,0.6834859,0.42815733,0.48082784,0.1131759,0.1200347,0.0068588
7,0.5480168,0.56899154,"('insensitive', 'sensitive')",-0.44189784,-0.3322493,0.19327115,0.26988062,0.0997967,0.1688743,0.0690776
8,-0.5389221,-0.5255204,"('unaffectionate', 'affectionate')",-0.2286137,-0.2681527,1.1085602,1.0613551,0.1136748,0.0892273,-0.0244475
9,0.45508814,0.43778983,"('unaffectionate', 'caring')",0.26025072,0.27412438,1.3157761,1.3553787,0.6770384,0.6890976,0.0120592
10,0.14245583,0.24744344,"('unsympathetic', 'sympathetic')",-1.24191,-1.0781727,-0.40421414,-0.34377602,-0.5012228,-0.3915017,0.1097211
11,-0.2855954,-0.23518851,"('unhelpful', 'helpful')",-0.68682617,-0.6587003,1.3934135,1.4634674,0.1403307,0.1898595,0.0495288
12,0.21192378,0.32307422,"('unsupportive', 'supportive')",-0.2624197,-0.12609293,-2.2199075,-2.1743948,-0.7568011,-0.6591378,0.0976633
13,-0.66916883,-0.6266877,"('impolite', 'polite')",-1.1445535,-0.9993765,-1.0602697,-1.0147785,-0.9579973,-0.8802809,0.0777164
14,1.2410426,1.1838773,"('antisocial', 'social')",1.0615157,1.12654,-0.3581465,-0.40442404,0.6481373,0.635331,-0.0128063
15,0.9576519,0.7924304,"('boring', 'funny')",1.0911193,0.8646353,0.5108018,0.44379315,0.853191,0.7002862,-0.1529048
16,-1.674051,-1.6645658,"('unpopular', 'popular')",-1.2472973,-1.3140517,-0.0090269,-0.08441791,-0.9767918,-1.0210118,-0.04422
17,-0.14881681,-0.07315697,"('nasty', 'nice')",0.018677812,0.08215377,-0.007839889,0.027417598,-0.045993,0.0121381,0.0581311
18,-0.69006693,-0.53334,"('disagreeable', 'welcoming')",-0.7654999,-0.55571955,-0.7112553,-0.7245545,-0.7222741,-0.604538,0.1177361
19,-0.27427143,-0.2500124,"('inhospitable', 'hospitable')",-0.19244908,-0.124307185,-0.32261553,-0.20646128,-0.263112,-0.1935936,0.0695184
20,0.23686828,0.26288262,"('rough', 'thoughtful')",-0.7232423,-0.6214021,0.4226411,0.43353683,-0.0212443,0.0250058,0.0462501
21,0.35503098,0.47003517,"('immoral', 'moral')",-0.50174206,-0.34294277,-1.4179069,-1.2590761,-0.5215393,-0.3773279,0.1442114
22,0.3445769,0.4092622,"('untrustworthy', 'trustworthy')",-0.40676227,-0.30705371,-0.8674445,-0.8128746,-0.3098766,-0.2368887,0.0729879
23,0.48650554,0.5358131,"('insincere', 'sincere')",-0.4433283,-0.39947355,5.8376245,5.859169,1.9602672,1.9985029,0.0382357
24,0.45513955,0.4660345,"('dishonest', 'honest')",-0.30748743,-0.19749884,0.7044554,0.7144135,0.2840358,0.3276497,0.0436139
25,-0.2166453,-0.25198197,"('egoistic', 'altruistic')",0.30280495,0.207452,1.5299854,1.4381349,0.538715,0.464535,-0.07418
26,1.3309128,1.16333,"('hardhearted', 'benevolent')",2.8294973,2.6948843,1.9819318,1.9148754,2.0474472,1.9243633,-0.1230839
27,-0.35203496,-0.3937832,"('hardhearted', 'softhearted')",-0.37830442,-0.37621638,1.1511695,1.0271904,0.1402767,0.0857303,-0.0545464
28,0.63676447,0.56414247,"('disloyal', 'loyal')",-0.051450606,-0.14739026,1.0293494,0.9245157,0.5382211,0.4470893,-0.0911318
29,0.56221956,0.5104714,"('unfair', 'fair')",-1.055302,-1.0387093,-0.50349283,-0.6401155,-0.3321918,-0.3894511,-0.0572593
30,0.54035527,0.6279853,"('intolerant', 'tolerant')",-0.15982392,-0.011395323,0.3390876,0.46095362,0.239873,0.3591812,0.1193082
31,-0.70690936,-0.64893496,"('evil', 'good')",0.51882267,0.54239494,-0.27556863,-0.26194638,-0.1545518,-0.1228288,0.031723
32,0.36434287,0.28150842,"('unkind', 'kind')",-0.49831465,-0.46981928,0.79613703,0.7110308,0.2207218,0.17424,-0.0464818
