,charter_male,charter_female,tuple,communications_male,communications_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.4274735,-0.53002965,"('unsociable', 'sociable')",0.3056343,0.12703279,-0.14825363,-0.2585206,-0.0900309,-0.2205058,-0.1304749
1,-0.6811501,-0.60022455,"('unfriendly', 'friendly')",0.33808684,0.16147964,1.6496627,1.4838898,0.4355332,0.3483816,-0.0871516
2,0.9045296,0.9839933,"('unlikable', 'likable')",1.6004755,1.6757622,0.63123363,0.7211652,1.0454129,1.1269735,0.0815606
3,0.6913904,0.7780142,"('repellent', 'pleasant')",0.4137371,0.5752863,0.2918919,0.3646101,0.4656731,0.5726369,0.1069638
4,0.13725269,0.17054392,"('disliked', 'liked')",-0.3794214,-0.42025432,-6.4824834,-6.477176,-2.2415508,-2.2422956,-0.0007448
5,-1.0517104,-0.97574556,"('distant', 'outgoing')",-0.2838483,-0.3043761,-0.26773104,-0.29291987,-0.5344299,-0.5243472,0.0100827
6,-1.3172407,-1.2016498,"('distant', 'open')",-1.2095006,-1.2718028,0.3574974,0.30670145,-0.7230813,-0.7222504,0.0008309
7,0.7143521,0.7096232,"('insensitive', 'sensitive')",0.7406074,0.82314295,0.87422913,0.90439445,0.7763962,0.8123868,0.0359906
8,-0.3484508,-0.32654157,"('unaffectionate', 'affectionate')",-0.89670235,-0.92764807,0.5498076,0.45519105,-0.2317819,-0.2663329,-0.034551
9,0.36316323,0.39236695,"('unaffectionate', 'caring')",0.001934655,-0.05661376,1.1711386,1.1341906,0.5120788,0.4899813,-0.0220975
10,0.1696764,0.16926175,"('unsympathetic', 'sympathetic')",0.23339291,0.2889768,0.14290382,0.12780374,0.181991,0.1953474,0.0133564
11,0.12880605,0.13831462,"('unhelpful', 'helpful')",1.435438,1.5208815,1.9779346,2.035476,1.1807262,1.2315574,0.0508312
12,1.6623216,1.6562145,"('unsupportive', 'supportive')",0.64911574,0.7675852,-1.8178674,-1.7994459,0.1645233,0.208118,0.0435947
13,0.6152142,0.53915125,"('impolite', 'polite')",0.63291204,0.6083828,-0.12410339,-0.13060504,0.3746743,0.3389764,-0.0356979
14,1.3899364,1.3154485,"('antisocial', 'social')",1.3823022,1.4120611,-0.37938106,-0.36564302,0.7976192,0.7872888,-0.0103304
15,0.060979404,0.011760533,"('boring', 'funny')",0.027562533,-0.10032444,0.3614057,0.32855836,0.1499826,0.0799982,-0.0699844
16,-1.4275992,-1.4000549,"('unpopular', 'popular')",-0.9031125,-0.84856373,0.14121023,0.16427901,-0.7298338,-0.6947799,0.0350539
17,-0.17675683,-0.100748666,"('nasty', 'nice')",-0.8756087,-0.8002237,-0.46548164,-0.38884842,-0.5059491,-0.4299403,0.0760088
18,0.22314955,0.23295401,"('disagreeable', 'welcoming')",-0.19176492,-0.26707458,-0.4511837,-0.4696644,-0.139933,-0.1679283,-0.0279953
19,-0.7516013,-0.6657522,"('inhospitable', 'hospitable')",-0.30558002,-0.30076557,-0.26446837,-0.23854111,-0.4405499,-0.4016863,0.0388636
20,-1.1206502,-1.0183599,"('rough', 'thoughtful')",-0.10572101,0.032967716,0.66513014,0.7050552,-0.1870803,-0.0934457,0.0936346
21,0.67053485,0.63840747,"('immoral', 'moral')",1.0967478,1.0947745,-0.4918261,-0.4224137,0.4251522,0.4369227,0.0117705
22,0.84199405,0.84043646,"('untrustworthy', 'trustworthy')",1.0080447,1.0011616,-0.52983636,-0.49248493,0.4400675,0.4497044,0.0096369
23,0.47503147,0.44848856,"('insincere', 'sincere')",0.8715284,0.87156683,5.8269167,5.711729,2.3911589,2.3439282,-0.0472307
24,1.2870506,1.3052623,"('dishonest', 'honest')",0.30644932,0.31526944,1.2755413,1.2358574,0.9563471,0.9521297,-0.0042174
25,0.053384177,0.09219102,"('egoistic', 'altruistic')",0.45597866,0.41391376,1.599245,1.520605,0.7028693,0.6755699,-0.0272994
26,1.3882842,1.3820206,"('hardhearted', 'benevolent')",-0.009038258,-0.118321076,1.8092654,1.7329408,1.0628371,0.9988801,-0.063957
27,-0.032736342,0.05697967,"('hardhearted', 'softhearted')",-0.2808061,-0.21509859,1.437667,1.3955865,0.3747082,0.4124892,0.037781
28,-0.004954857,-0.052851044,"('disloyal', 'loyal')",-0.6503899,-0.7940463,1.1360233,1.014113,0.1602262,0.0557385,-0.1044877
29,0.8431306,0.8339574,"('unfair', 'fair')",-0.70040697,-0.7068651,-0.54824114,-0.6718239,-0.1351725,-0.1815772,-0.0464047
30,1.2820823,1.2450526,"('intolerant', 'tolerant')",1.6452641,1.6162994,1.2531396,1.233317,1.3934954,1.3648896,-0.0286058
