,ims_male,ims_female,tuple,health_male,health_female,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.95963526,-1.1087538,"('unsociable', 'sociable')",-0.16159768,-0.27935869,-0.72638017,-0.8211152,-0.63101554,-0.77497643,-0.6196572,-0.7460511,-0.1263939
1,-2.0430923,-2.0729644,"('unfriendly', 'friendly')",1.1370292,1.1590796,-0.24445078,-0.344408,1.9126168,1.8296969,0.1905257,0.142851,-0.0476747
2,1.0421315,1.1368554,"('unlikable', 'likable')",1.3474742,1.3643271,1.6770748,1.786815,0.5166263,0.67758906,1.1458267,1.2413967,0.09557
3,0.10539907,0.14662135,"('repellent', 'pleasant')",-1.0959404,-0.87506056,0.24990016,0.325051,0.40783858,0.4145519,-0.0832006,0.0027909,0.0859915
4,-0.6738955,-0.7089659,"('disliked', 'liked')",0.8081499,0.7690686,0.60824764,0.5904087,-6.255001,-6.356491,-1.3781247,-1.426495,-0.0483703
5,-1.1477734,-1.06498,"('distant', 'outgoing')",0.64466166,0.7951165,-0.74749744,-0.68935513,-0.2023257,-0.15684432,-0.3632337,-0.2790157,0.084218
6,-1.1113347,-0.96921855,"('distant', 'open')",0.7390888,0.95616555,-0.90506995,-0.8490511,0.54377943,0.5811678,-0.1833841,-0.0702341,0.11315
7,0.435117,0.3626196,"('insensitive', 'sensitive')",-0.22406232,-0.16689348,0.34754124,0.31488666,1.0564913,0.9937367,0.4037718,0.3760874,-0.0276844
8,-1.5238212,-1.4222625,"('unaffectionate', 'affectionate')",0.45312414,0.4577639,-0.4054264,-0.39752746,1.0371103,1.0012819,-0.1097533,-0.0901861,0.0195672
9,-0.9171735,-0.8746977,"('unaffectionate', 'caring')",1.1940365,1.2029146,0.17659402,0.07556536,1.4409989,1.4277735,0.473614,0.4578889,-0.0157251
10,-0.53951466,-0.56842685,"('unsympathetic', 'sympathetic')",-0.6766467,-0.5807496,-0.8835378,-0.8919165,-0.21803164,-0.25235575,-0.5794327,-0.5733622,0.0060705
11,0.13981989,0.18132253,"('unhelpful', 'helpful')",-0.30854774,-0.321787,-0.7011192,-0.6671566,1.5903773,1.7365086,0.1801326,0.2322219,0.0520893
12,0.62533957,0.7075863,"('unsupportive', 'supportive')",2.2390711,2.4271286,0.20970733,0.33358836,-1.5819077,-1.5953512,0.3730525,0.468238,0.0951855
13,0.28634012,0.20750943,"('impolite', 'polite')",0.16082695,0.059544083,-0.20111442,-0.2548223,-0.25214773,-0.25986066,-0.0015238,-0.0619074,-0.0603836
14,0.56952316,0.49914825,"('antisocial', 'social')",0.12272647,0.023727642,1.2904131,1.2971056,-0.52747047,-0.61571777,0.3637981,0.3010659,-0.0627322
15,-0.11858438,-0.2011591,"('boring', 'funny')",0.47870684,0.30731443,-0.55244666,-0.5865712,0.5594158,0.5247173,0.0917729,0.0110753,-0.0806976
