,zombie_male,zombie_female,tuple,average_male,average_female,female-male
0,-0.039416004,-0.14601173,"('unsociable', 'sociable')",-0.039416,-0.1460117,-0.1065957
1,1.4096704,1.3008217,"('unfriendly', 'friendly')",1.4096704,1.3008217,-0.1088487
2,-0.2204938,-0.12842074,"('unlikable', 'likable')",-0.2204938,-0.1284207,0.0920731
3,0.53611255,0.59066296,"('repellent', 'pleasant')",0.5361125,0.590663,0.0545505
4,-7.65018,-7.7599397,"('disliked', 'liked')",-7.6501799,-7.7599397,-0.1097598
5,-0.47387692,-0.46938762,"('distant', 'outgoing')",-0.4738769,-0.4693876,0.0044893
6,-0.0038181208,-0.02936951,"('distant', 'open')",-0.0038181,-0.0293695,-0.0255514
7,0.6122289,0.71322095,"('insensitive', 'sensitive')",0.6122289,0.713221,0.1009921
8,1.2611033,1.1656189,"('unaffectionate', 'affectionate')",1.2611033,1.1656189,-0.0954844
9,1.8252699,1.809969,"('unaffectionate', 'caring')",1.8252699,1.8099689,-0.015301
10,0.9109914,0.92434514,"('unsympathetic', 'sympathetic')",0.9109914,0.9243451,0.0133537
11,1.7529044,1.801341,"('unhelpful', 'helpful')",1.7529044,1.8013411,0.0484367
12,-1.5853884,-1.6177385,"('unsupportive', 'supportive')",-1.5853884,-1.6177385,-0.0323501
13,-0.20462012,-0.2201089,"('impolite', 'polite')",-0.2046201,-0.2201089,-0.0154888
14,-0.07884148,-0.104595706,"('antisocial', 'social')",-0.0788415,-0.1045957,-0.0257542
15,0.013622537,-0.04290367,"('boring', 'funny')",0.0136225,-0.0429037,-0.0565262
16,-0.65224314,-0.57414806,"('unpopular', 'popular')",-0.6522431,-0.5741481,0.078095
17,-0.64449257,-0.55185103,"('nasty', 'nice')",-0.6444926,-0.551851,0.0926416
18,-0.4687233,-0.52643603,"('disagreeable', 'welcoming')",-0.4687233,-0.526436,-0.0577127
19,-0.5009628,-0.5203018,"('inhospitable', 'hospitable')",-0.5009628,-0.5203018,-0.019339
20,0.9612103,0.92924285,"('rough', 'thoughtful')",0.9612103,0.9292428,-0.0319675
21,-0.42317837,-0.36340955,"('immoral', 'moral')",-0.4231784,-0.3634095,0.0597689
22,-0.8595632,-0.85135293,"('untrustworthy', 'trustworthy')",-0.8595632,-0.8513529,0.0082103
23,6.440455,6.4547772,"('insincere', 'sincere')",6.440455,6.4547772,0.0143222
24,1.6238495,1.4577397,"('dishonest', 'honest')",1.6238495,1.4577397,-0.1661098
25,0.69196814,0.59246194,"('egoistic', 'altruistic')",0.6919681,0.5924619,-0.0995062
26,0.6809808,0.6408391,"('hardhearted', 'benevolent')",0.6809808,0.6408391,-0.0401417
27,1.7143428,1.569615,"('hardhearted', 'softhearted')",1.7143428,1.569615,-0.1447278
28,1.2239999,1.1541724,"('disloyal', 'loyal')",1.2239999,1.1541724,-0.0698275
29,-0.6811712,-0.73532104,"('unfair', 'fair')",-0.6811712,-0.735321,-0.0541498
30,0.7823803,0.7836778,"('intolerant', 'tolerant')",0.7823803,0.7836778,0.0012975
31,-1.7338054,-1.6889317,"('evil', 'good')",-1.7338054,-1.6889317,0.0448737
32,1.1478721,1.0539733,"('unkind', 'kind')",1.1478721,1.0539733,-0.0938988
