,wallet_male,wallet_female,tuple,average_male,average_female,female-male
0,0.08403569,0.04206126,"('unsociable', 'sociable')",0.0840357,0.0420613,-0.0419744
1,1.705724,1.5087308,"('unfriendly', 'friendly')",1.705724,1.5087308,-0.1969932
2,0.5499887,0.65293586,"('unlikable', 'likable')",0.5499887,0.6529359,0.1029472
3,0.68970233,0.95915264,"('repellent', 'pleasant')",0.6897023,0.9591526,0.2694503
4,-7.8448887,-7.575247,"('disliked', 'liked')",-7.8448887,-7.5752468,0.2696419
5,-0.006284315,0.11910951,"('distant', 'outgoing')",-0.0062843,0.1191095,0.1253938
6,0.25607827,0.36004028,"('distant', 'open')",0.2560783,0.3600403,0.103962
7,0.66782135,0.9200281,"('insensitive', 'sensitive')",0.6678213,0.9200281,0.2522068
8,1.6177595,1.3985056,"('unaffectionate', 'affectionate')",1.6177595,1.3985056,-0.2192539
9,1.9900542,1.9109216,"('unaffectionate', 'caring')",1.9900542,1.9109216,-0.0791326
10,1.0287234,1.30593,"('unsympathetic', 'sympathetic')",1.0287234,1.30593,0.2772066
11,2.3088813,2.3882346,"('unhelpful', 'helpful')",2.3088813,2.3882346,0.0793533
12,-1.4870019,-1.4186646,"('unsupportive', 'supportive')",-1.4870019,-1.4186646,0.0683373
13,0.29853898,0.33865806,"('impolite', 'polite')",0.298539,0.3386581,0.0401191
14,-0.4829082,-0.4066782,"('antisocial', 'social')",-0.4829082,-0.4066782,0.07623
15,0.47452062,0.3885532,"('boring', 'funny')",0.4745206,0.3885532,-0.0859674
16,-0.31164044,-0.24376607,"('unpopular', 'popular')",-0.3116404,-0.2437661,0.0678743
17,0.053009935,0.005105855,"('nasty', 'nice')",0.0530099,0.0051059,-0.047904
18,-0.57146806,-0.69030195,"('disagreeable', 'welcoming')",-0.5714681,-0.690302,-0.1188339
19,-0.29414678,-0.20176266,"('inhospitable', 'hospitable')",-0.2941468,-0.2017627,0.0923841
20,0.7978396,0.73634356,"('rough', 'thoughtful')",0.7978396,0.7363436,-0.061496
21,-0.10028613,0.19862482,"('immoral', 'moral')",-0.1002861,0.1986248,0.2989109
22,-0.74924237,-0.51848185,"('untrustworthy', 'trustworthy')",-0.7492424,-0.5184819,0.2307605
23,7.146188,7.023052,"('insincere', 'sincere')",7.1461878,7.0230522,-0.1231356
24,1.9627012,2.0530722,"('dishonest', 'honest')",1.9627012,2.0530722,0.090371
25,0.5034552,0.25825813,"('egoistic', 'altruistic')",0.5034552,0.2582581,-0.2451971
26,0.32395852,0.081481315,"('hardhearted', 'benevolent')",0.3239585,0.0814813,-0.2424772
27,1.67382,1.5854748,"('hardhearted', 'softhearted')",1.67382,1.5854748,-0.0883452
28,1.4469004,1.3599652,"('disloyal', 'loyal')",1.4469004,1.3599652,-0.0869352
29,-0.32018614,-0.39923182,"('unfair', 'fair')",-0.3201861,-0.3992318,-0.0790457
30,1.0817878,1.0316352,"('intolerant', 'tolerant')",1.0817878,1.0316352,-0.0501526
31,-1.4840944,-1.4627527,"('evil', 'good')",-1.4840944,-1.4627527,0.0213417
32,1.3708395,1.3322353,"('unkind', 'kind')",1.3708395,1.3322353,-0.0386042
33,-0.51382095,-0.5624702,"('wrong', 'right')",-0.5138209,-0.5624702,-0.0486493
34,5.247994,5.2786055,"('mean', 'honorable')",5.2479939,5.2786055,0.0306116
35,-1.009031,-1.1715314,"('corrupt', 'incorrupt')",-1.0090311,-1.1715314,-0.1625003
36,-0.682287,-1.0161647,"('hostile', 'amicable')",-0.682287,-1.0161647,-0.3338777
37,0.9075527,1.0435469,"('fake', 'genuine')",0.9075527,1.0435469,0.1359942
38,0.16812682,0.12443063,"('untruthful', 'truthful')",0.1681268,0.1244306,-0.0436962
39,0.11154682,0.13865736,"('exploitative', 'cooperative')",0.1115468,0.1386574,0.0271106
40,-1.8222238,-1.7972187,"('stingy', 'generous')",-1.8222238,-1.7972187,0.0250051
41,0.1693764,0.074504524,"('unforgiving', 'forgiving')",0.1693764,0.0745045,-0.0948719
42,-2.647294,-2.249034,"('unreliable', 'reliable')",-2.647294,-2.2490339,0.3982601
43,1.4050648,1.4739895,"('irresponsible', 'responsible')",1.4050648,1.4739895,0.0689247
44,-1.464863,-1.4252409,"('prejudiced', 'unprejudiced')",-1.4648629,-1.4252409,0.039622
45,0.26164913,0.48929214,"('incompetent', 'competent')",0.2616491,0.4892921,0.227643
46,-0.7477213,-0.5368339,"('uncompetitive', 'competitive')",-0.7477213,-0.5368339,0.2108874
47,5.667937,5.7353005,"('stupid', 'smart')",5.6679368,5.7353005,0.0673637
48,0.67251,0.61051714,"('unintelligent', 'intelligent')",0.67251,0.6105171,-0.0619929
49,0.37263733,0.6212522,"('unable', 'able')",0.3726373,0.6212522,0.2486149
50,-0.19031247,-0.1771552,"('clumsy', 'skillful')",-0.1903125,-0.1771552,0.0131573
51,0.39807898,0.615114,"('uneducated', 'educated')",0.398079,0.615114,0.217035
52,-0.16213804,-0.2886607,"('irrational', 'rational')",-0.162138,-0.2886607,-0.1265227
53,0.21962288,0.13068193,"('uncreative', 'creative')",0.2196229,0.1306819,-0.088941
54,1.3165222,1.5255452,"('incapable', 'capable')",1.3165222,1.5255452,0.209023
55,0.7750666,0.88761216,"('incompetent', 'clever')",0.7750666,0.8876122,0.1125456
56,0.59573334,0.787753,"('impractical', 'practical')",0.5957333,0.787753,0.1920197
57,-3.2786403,-2.8819523,"('unimaginative', 'imaginative')",-3.2786403,-2.8819523,0.396688
58,-0.1693852,-0.1505315,"('undiscriminating', 'discriminating')",-0.1693852,-0.1505315,0.0188537
59,-0.021133356,0.0067097284,"('foolish', 'wise')",-0.0211334,0.0067097,0.0278431
60,1.011777,1.1028023,"('inefficient', 'efficient')",1.011777,1.1028023,0.0910253
61,0.4522338,0.2763648,"('illogical', 'logical')",0.4522338,0.2763648,-0.175869
62,1.0293902,1.3694662,"('incompetent', 'brilliant')",1.0293902,1.3694662,0.340076
63,0.50188535,0.71822166,"('unperceptive', 'insightful')",0.5018854,0.7182217,0.2163363
64,-6.6846437,-6.1943264,"('shy', 'confident')",-6.6846437,-6.1943264,0.4903173
65,0.18717965,0.3235627,"('insecure', 'secure')",0.1871797,0.3235627,0.136383
66,-0.19027564,-0.07191029,"('inactive', 'active')",-0.1902756,-0.0719103,0.1183653
67,-0.25407192,-0.21725617,"('doubtful', 'determined')",-0.2540719,-0.2172562,0.0368157
68,-0.6656213,-0.46389833,"('dependent', 'independent')",-0.6656213,-0.4638983,0.201723
69,-2.1356006,-2.0670228,"('lazy', 'industrious')",-2.1356006,-2.0670228,0.0685778
70,0.9671719,1.3719018,"('lethargic', 'energetic')",0.9671719,1.3719018,0.4047299
71,0.42033046,0.49241972,"('diffident', 'self-confident')",0.4203305,0.4924197,0.0720892
72,0.64119995,0.8070572,"('unambitious', 'ambitious')",0.6411999,0.8070572,0.1658573
73,-3.2245412,-3.0285287,"('helpless', 'self-reliant')",-3.2245412,-3.0285287,0.1960125
74,-0.17742419,-0.14202476,"('undedicated', 'dedicated')",-0.1774242,-0.1420248,0.0353994
75,-0.9064451,-0.6827694,"('meek', 'impulsive')",-0.9064451,-0.6827694,0.2236757
76,0.41171914,0.54106164,"('anxious', 'daring')",0.4117191,0.5410616,0.1293425
77,-1.0719402,-0.8809034,"('unmotivated', 'motivated')",-1.0719402,-0.8809034,0.1910368
78,-0.51731724,-0.5883128,"('nonresilient', 'resilient')",-0.5173172,-0.5883128,-0.0709956
79,-0.30970395,-0.24251011,"('wavering', 'unwavering')",-0.3097039,-0.2425101,0.0671938
80,-0.40352872,-0.21463674,"('dominated', 'dominating')",-0.4035287,-0.2146367,0.188892
81,0.053440392,0.280033,"('submissive', 'aggressive')",0.0534404,0.280033,0.2265926
82,7.1002293,7.228312,"('poor', 'rich')",7.1002293,7.228312,0.1280827
83,-0.44240016,-0.40895525,"('powerless', 'powerful')",-0.4424002,-0.4089552,0.033445
84,0.5579477,0.4858276,"('inferior', 'superior')",0.5579477,0.4858276,-0.0721201
85,-0.9927015,-1.2871056,"('insignificant', 'prestigious')",-0.9927015,-1.2871056,-0.2944041
86,0.28159517,0.5599116,"('uninfluential', 'influential')",0.2815952,0.5599116,0.2783164
87,-0.12610674,0.20843987,"('unsuccessful', 'successful')",-0.1261067,0.2084399,0.3345466
88,0.08754951,0.13366534,"('low', 'eminent')",0.0875495,0.1336653,0.0461158
