,athlete_male,athlete_female,tuple,average_male,average_female,female-male
0,0.37154368,0.38979524,"('unsociable', 'sociable')",0.3715437,0.3897952,0.0182515
1,0.40166062,0.17068622,"('unfriendly', 'friendly')",0.4016606,0.1706862,-0.2309744
2,-0.070221074,-0.04445425,"('unlikable', 'likable')",-0.0702211,-0.0444543,0.0257668
3,0.85896355,1.0330766,"('repellent', 'pleasant')",0.8589635,1.0330766,0.1741131
4,-7.6272154,-7.68597,"('disliked', 'liked')",-7.6272154,-7.6859698,-0.0587544
5,-1.1516486,-1.3374405,"('distant', 'outgoing')",-1.1516486,-1.3374405,-0.1857919
6,-1.1730324,-1.3304441,"('distant', 'open')",-1.1730324,-1.3304441,-0.1574117
7,1.4273033,1.4883372,"('insensitive', 'sensitive')",1.4273033,1.4883372,0.0610339
8,0.42007565,0.25384474,"('unaffectionate', 'affectionate')",0.4200757,0.2538447,-0.166231
9,1.5247409,1.4643369,"('unaffectionate', 'caring')",1.5247409,1.4643369,-0.060404
10,1.5465089,1.7366407,"('unsympathetic', 'sympathetic')",1.5465089,1.7366407,0.1901318
11,2.3704123,2.442606,"('unhelpful', 'helpful')",2.3704123,2.442606,0.0721937
12,-1.1798881,-1.1776882,"('unsupportive', 'supportive')",-1.1798881,-1.1776882,0.0021999
13,0.35153246,0.3315505,"('impolite', 'polite')",0.3515325,0.3315505,-0.019982
14,0.51057386,0.53960985,"('antisocial', 'social')",0.5105739,0.5396098,0.0290359
15,0.020745594,-0.139132,"('boring', 'funny')",0.0207456,-0.139132,-0.1598776
16,-0.84414303,-0.821939,"('unpopular', 'popular')",-0.844143,-0.821939,0.022204
17,-0.4994875,-0.51151097,"('nasty', 'nice')",-0.4994875,-0.511511,-0.0120235
18,-0.80420065,-0.915825,"('disagreeable', 'welcoming')",-0.8042006,-0.915825,-0.1116244
19,-1.0120608,-1.0698088,"('inhospitable', 'hospitable')",-1.0120608,-1.0698088,-0.057748
20,0.70700455,0.7332521,"('rough', 'thoughtful')",0.7070045,0.7332521,0.0262476
21,0.6366466,0.8291967,"('immoral', 'moral')",0.6366466,0.8291967,0.1925501
22,-0.34993428,-0.41245636,"('untrustworthy', 'trustworthy')",-0.3499343,-0.4124564,-0.0625221
23,6.829247,6.743032,"('insincere', 'sincere')",6.829247,6.743032,-0.086215
24,1.8165717,1.6468705,"('dishonest', 'honest')",1.8165717,1.6468705,-0.1697012
25,-0.13528503,-0.2543295,"('egoistic', 'altruistic')",-0.135285,-0.2543295,-0.1190445
26,0.51616,0.39026216,"('hardhearted', 'benevolent')",0.51616,0.3902622,-0.1258978
27,1.0232843,0.8595252,"('hardhearted', 'softhearted')",1.0232843,0.8595252,-0.1637591
28,1.2736845,1.199169,"('disloyal', 'loyal')",1.2736845,1.199169,-0.0745155
29,-1.0446974,-1.2018882,"('unfair', 'fair')",-1.0446974,-1.2018882,-0.1571908
30,1.4833784,1.4988548,"('intolerant', 'tolerant')",1.4833784,1.4988548,0.0154764
31,-2.4445665,-2.5931423,"('evil', 'good')",-2.4445665,-2.5931423,-0.1485758
32,1.5011556,1.4529493,"('unkind', 'kind')",1.5011556,1.4529493,-0.0482063
33,-0.7001167,-0.87710756,"('wrong', 'right')",-0.7001167,-0.8771076,-0.1769909
34,4.965814,4.965892,"('mean', 'honorable')",4.9658141,4.9658918,7.77e-05
35,-1.4527842,-1.6999028,"('corrupt', 'incorrupt')",-1.4527842,-1.6999028,-0.2471186
36,-1.3946939,-1.5837117,"('hostile', 'amicable')",-1.3946939,-1.5837117,-0.1890178
37,0.9426329,0.8884358,"('fake', 'genuine')",0.9426329,0.8884358,-0.0541971
38,0.21857205,0.12807035,"('untruthful', 'truthful')",0.2185721,0.1280704,-0.0905017
