,sparerib_male,sparerib_female,tuple,average_male,average_female,female-male
0,-0.27581593,-0.38943166,"('unsociable', 'sociable')",-0.2758159,-0.3894317,-0.1136158
1,-0.8087178,-1.0602856,"('unfriendly', 'friendly')",-0.8087178,-1.0602856,-0.2515678
2,0.40125394,0.3725191,"('unlikable', 'likable')",0.4012539,0.3725191,-0.0287348
3,-0.2025459,-0.06167899,"('repellent', 'pleasant')",-0.2025459,-0.061679,0.1408669
4,-2.1626122,-2.3430808,"('disliked', 'liked')",-2.1626122,-2.3430808,-0.1804686
5,-0.89398736,-0.9865715,"('distant', 'outgoing')",-0.8939874,-0.9865715,-0.0925841
6,-0.78731084,-0.90412265,"('distant', 'open')",-0.7873108,-0.9041227,-0.1168119
7,-0.10547193,-0.053267725,"('insensitive', 'sensitive')",-0.1054719,-0.0532677,0.0522042
8,-1.5009001,-1.6631563,"('unaffectionate', 'affectionate')",-1.5009001,-1.6631563,-0.1622562
9,-0.7047707,-0.8354385,"('unaffectionate', 'caring')",-0.7047707,-0.8354385,-0.1306678
10,-0.39055124,-0.3570237,"('unsympathetic', 'sympathetic')",-0.3905512,-0.3570237,0.0335275
11,0.8002495,0.79481506,"('unhelpful', 'helpful')",0.8002495,0.7948151,-0.0054344
12,-1.3416255,-1.4245394,"('unsupportive', 'supportive')",-1.3416255,-1.4245394,-0.0829139
13,0.710629,0.715215,"('impolite', 'polite')",0.710629,0.715215,0.004586
14,0.07916377,0.22984956,"('antisocial', 'social')",0.0791638,0.2298496,0.1506858
15,0.41146165,0.288252,"('boring', 'funny')",0.4114617,0.288252,-0.1232097
16,-0.0003504604,-0.11819756,"('unpopular', 'popular')",-0.0003505,-0.1181976,-0.1178471
17,0.17837954,0.2724001,"('nasty', 'nice')",0.1783795,0.2724001,0.0940206
18,-1.2842503,-1.1836575,"('disagreeable', 'welcoming')",-1.2842503,-1.1836575,0.1005928
19,-1.4469453,-1.4807585,"('inhospitable', 'hospitable')",-1.4469453,-1.4807585,-0.0338132
20,0.03270661,0.12132659,"('rough', 'thoughtful')",0.0327066,0.1213266,0.08862
21,-0.070586145,0.07165763,"('immoral', 'moral')",-0.0705861,0.0716576,0.1422437
22,-0.19670704,-0.23963669,"('untrustworthy', 'trustworthy')",-0.196707,-0.2396367,-0.0429297
23,1.6808047,1.7236059,"('insincere', 'sincere')",1.6808047,1.7236059,0.0428012
24,0.40147552,0.423423,"('dishonest', 'honest')",0.4014755,0.423423,0.0219475
25,-0.16890165,-0.29023385,"('egoistic', 'altruistic')",-0.1689017,-0.2902339,-0.1213322
26,0.0010918751,-0.15142474,"('hardhearted', 'benevolent')",0.0010919,-0.1514247,-0.1525166
27,0.13826357,0.18067648,"('hardhearted', 'softhearted')",0.1382636,0.1806765,0.0424129
28,0.40711614,0.29243493,"('disloyal', 'loyal')",0.4071161,0.2924349,-0.1146812
29,-0.3794056,-0.48030007,"('unfair', 'fair')",-0.3794056,-0.4803001,-0.1008945
30,0.34483477,0.5606158,"('intolerant', 'tolerant')",0.3448348,0.5606158,0.215781
31,-1.557121,-1.5721833,"('evil', 'good')",-1.557121,-1.5721833,-0.0150623
32,0.49983686,0.41479626,"('unkind', 'kind')",0.4998369,0.4147963,-0.0850406
33,0.37552077,0.19287491,"('wrong', 'right')",0.3755208,0.1928749,-0.1826459
34,1.0203104,1.2957095,"('mean', 'honorable')",1.0203104,1.2957095,0.2753991
35,-0.10750617,-0.34718874,"('corrupt', 'incorrupt')",-0.1075062,-0.3471887,-0.2396825
36,-1.2579391,-1.3143958,"('hostile', 'amicable')",-1.2579391,-1.3143958,-0.0564567
37,0.111828536,0.073162705,"('fake', 'genuine')",0.1118285,0.0731627,-0.0386658
38,0.07157263,-0.12334035,"('untruthful', 'truthful')",0.0715726,-0.1233404,-0.194913
39,0.14173542,0.3317456,"('exploitative', 'cooperative')",0.1417354,0.3317456,0.1900102
40,-0.78043985,-0.8609539,"('stingy', 'generous')",-0.7804399,-0.8609539,-0.080514
