,udr_male,udr_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.22180577,0.02207811,"('unsociable', 'sociable')",0.07610832,-0.06971702,0.148957,-0.0238195,-0.1727765
1,-1.5137424,-1.5708183,"('unfriendly', 'friendly')",1.622277,1.4728578,0.0542673,-0.0489802,-0.1032475
2,0.5269135,0.5697383,"('unlikable', 'likable')",0.7330192,0.75335884,0.6299664,0.6615486,0.0315822
3,0.15565167,0.24485435,"('repellent', 'pleasant')",0.198975,0.22504066,0.1773133,0.2349475,0.0576342
4,-0.49682236,-0.54508215,"('disliked', 'liked')",-5.469007,-5.49588,-2.9829147,-3.0204811,-0.0375664
5,-1.8911499,-1.8191564,"('distant', 'outgoing')",-0.27703333,-0.26455516,-1.0840917,-1.0418558,0.0422359
6,-2.309533,-2.2672527,"('distant', 'open')",-0.07905713,-0.13356553,-1.1942952,-1.2004091,-0.0061139
7,0.6186167,0.5388382,"('insensitive', 'sensitive')",0.6186962,0.6070091,0.6186565,0.5729237,-0.0457328
8,-1.4003507,-1.3627877,"('unaffectionate', 'affectionate')",0.627358,0.50352395,-0.3864963,-0.4296319,-0.0431356
9,-1.3461587,-1.3868406,"('unaffectionate', 'caring')",1.0093554,0.91831774,-0.1684017,-0.2342614,-0.0658597
10,0.105781026,0.0416851,"('unsympathetic', 'sympathetic')",-0.4988373,-0.5594,-0.1965281,-0.2588575,-0.0623294
11,0.37341365,0.27346158,"('unhelpful', 'helpful')",1.6505933,1.603712,1.0120034,0.9385868,-0.0734166
12,-0.26033643,-0.25842556,"('unsupportive', 'supportive')",-1.777479,-1.8139261,-1.0189078,-1.0361758,-0.017268
13,0.23994513,0.10214916,"('impolite', 'polite')",-0.6166053,-0.6647812,-0.1883301,-0.281316,-0.0929859
14,1.3636783,1.2639691,"('antisocial', 'social')",-0.09448026,-0.14061987,0.634599,0.5616746,-0.0729244
15,0.4341577,0.31020358,"('boring', 'funny')",1.1127154,1.1384292,0.7734365,0.7243164,-0.0491201
16,-0.77166206,-0.74843085,"('unpopular', 'popular')",0.76720846,0.7673677,-0.0022268,0.0094684,0.0116952
17,-0.25078985,-0.2325808,"('nasty', 'nice')",-0.16061637,-0.13100655,-0.2057031,-0.1817937,0.0239094
18,-1.2539945,-1.302943,"('disagreeable', 'welcoming')",-0.28071338,-0.34804702,-0.7673539,-0.825495,-0.0581411
19,-0.6611376,-0.5472818,"('inhospitable', 'hospitable')",0.14043584,0.16718388,-0.2603509,-0.190049,0.0703019
20,0.5996249,0.5549205,"('rough', 'thoughtful')",0.8868313,0.8617165,0.7432281,0.7083185,-0.0349096
21,0.64095706,0.56110805,"('immoral', 'moral')",-0.17327482,-0.1573283,0.2338411,0.2018899,-0.0319512
22,0.16411304,0.027025657,"('untrustworthy', 'trustworthy')",-0.88599074,-0.9648381,-0.3609388,-0.4689062,-0.1079674
23,0.56537145,0.4695001,"('insincere', 'sincere')",5.456696,5.302362,3.0110338,2.885931,-0.1251028
24,0.26270938,0.17134935,"('dishonest', 'honest')",0.5135635,0.42608836,0.3881364,0.2987189,-0.0894175
25,-0.3670273,-0.3300382,"('egoistic', 'altruistic')",1.6253917,1.6273139,0.6291822,0.6486378,0.0194556
26,-0.1480352,-0.20195864,"('hardhearted', 'benevolent')",1.7604349,1.7274119,0.8061998,0.7627266,-0.0434732
27,-0.5148219,-0.6253376,"('hardhearted', 'softhearted')",1.0910367,0.9922012,0.2881074,0.1834318,-0.1046756
28,-0.4272242,-0.5822762,"('disloyal', 'loyal')",1.1900231,0.9914096,0.3813995,0.2045667,-0.1768328
29,-0.31617293,-0.41399685,"('unfair', 'fair')",-0.48094693,-0.59572965,-0.3985599,-0.5048633,-0.1063034
30,1.192208,1.0721252,"('intolerant', 'tolerant')",1.6818097,1.6148394,1.4370089,1.3434823,-0.0935266
31,-1.8858179,-1.7672229,"('evil', 'good')",-0.7804483,-0.83431846,-1.3331331,-1.3007706,0.0323625
32,0.37043503,0.1847762,"('unkind', 'kind')",0.9242873,0.7541525,0.6473612,0.4694643,-0.1778969
33,0.19065633,0.09230556,"('wrong', 'right')",-0.57963187,-0.64580166,-0.1944878,-0.2767481,-0.0822603
34,-0.56899744,-0.38569966,"('mean', 'honorable')",5.519442,5.5720677,2.4752223,2.593184,0.1179617
35,-1.2631773,-1.286616,"('corrupt', 'incorrupt')",0.054136053,-0.044364635,-0.6045206,-0.6654903,-0.0609697
36,-2.18731,-2.228129,"('hostile', 'amicable')",0.45013505,0.26229036,-0.8685875,-0.9829193,-0.1143318
37,0.46382314,0.42638233,"('fake', 'genuine')",0.10665549,0.07563765,0.2852393,0.25101,-0.0342293
38,-1.1341013,-1.1559738,"('untruthful', 'truthful')",-0.02218778,-0.06808468,-0.5781446,-0.6120293,-0.0338847
39,0.8266598,0.79686385,"('exploitative', 'cooperative')",-0.08237176,-0.08921672,0.372144,0.3538236,-0.0183204
40,-0.2548727,-0.2723597,"('stingy', 'generous')",-1.4275377,-1.5210135,-0.8412052,-0.8966866,-0.0554814
41,-0.25206944,-0.3455347,"('unforgiving', 'forgiving')",0.44944578,0.31456083,0.0986882,-0.0154869,-0.1141751
42,0.5267042,0.4556004,"('unreliable', 'reliable')",-3.0471613,-3.0434868,-1.2602286,-1.2939432,-0.0337146
43,0.35194972,0.27593064,"('irresponsible', 'responsible')",0.4866576,0.40308896,0.4193037,0.3395098,-0.0797939
44,-0.23338419,-0.21973784,"('prejudiced', 'unprejudiced')",-1.686522,-1.6753656,-0.9599531,-0.9475517,0.0124014
45,0.5123633,0.43241543,"('incompetent', 'competent')",0.13579156,0.07140627,0.3240774,0.2519108,-0.0721666
46,0.6422144,0.5991224,"('uncompetitive', 'competitive')",-0.4914181,-0.5229839,0.0753982,0.0380692,-0.037329
