,blanket_male,blanket_female,tuple,average_male,average_female,female-male
0,0.39353567,0.3803666,"('unsociable', 'sociable')",0.3935357,0.3803666,-0.0131691
1,1.0499809,1.087105,"('unfriendly', 'friendly')",1.0499809,1.087105,0.0371241
2,0.36740792,0.5831006,"('unlikable', 'likable')",0.3674079,0.5831006,0.2156927
3,0.85045886,1.0253142,"('repellent', 'pleasant')",0.8504589,1.0253142,0.1748553
4,-7.335346,-7.240741,"('disliked', 'liked')",-7.3353462,-7.2407408,0.0946054
5,-0.8624582,-0.7637119,"('distant', 'outgoing')",-0.8624582,-0.7637119,0.0987463
6,-0.29559866,-0.26632547,"('distant', 'open')",-0.2955987,-0.2663255,0.0292732
7,1.5393996,1.636805,"('insensitive', 'sensitive')",1.5393996,1.6368051,0.0974055
8,1.0242517,0.9064452,"('unaffectionate', 'affectionate')",1.0242517,0.9064452,-0.1178065
9,1.3880516,1.4346273,"('unaffectionate', 'caring')",1.3880516,1.4346273,0.0465757
10,1.6615518,1.6034068,"('unsympathetic', 'sympathetic')",1.6615518,1.6034068,-0.058145
11,1.8189443,1.8604065,"('unhelpful', 'helpful')",1.8189443,1.8604065,0.0414622
12,-1.1726749,-1.0433924,"('unsupportive', 'supportive')",-1.1726749,-1.0433924,0.1292825
13,0.1674151,0.2045416,"('impolite', 'polite')",0.1674151,0.2045416,0.0371265
14,0.38245627,0.44370604,"('antisocial', 'social')",0.3824563,0.443706,0.0612497
15,0.3151704,0.36350995,"('boring', 'funny')",0.3151704,0.36351,0.0483396
16,-0.78929,-0.60712284,"('unpopular', 'popular')",-0.78929,-0.6071228,0.1821672
17,-0.07295882,-0.13268687,"('nasty', 'nice')",-0.0729588,-0.1326869,-0.0597281
18,-0.71454865,-0.61471677,"('disagreeable', 'welcoming')",-0.7145486,-0.6147168,0.0998318
19,-0.50641584,-0.47723806,"('inhospitable', 'hospitable')",-0.5064158,-0.4772381,0.0291777
20,0.73303115,0.6742449,"('rough', 'thoughtful')",0.7330312,0.6742449,-0.0587863
21,0.20078962,0.40455863,"('immoral', 'moral')",0.2007896,0.4045586,0.203769
22,0.03363893,0.09237264,"('untrustworthy', 'trustworthy')",0.0336389,0.0923726,0.0587337
23,6.399995,6.489804,"('insincere', 'sincere')",6.3999949,6.4898038,0.0898089
24,1.837106,1.891011,"('dishonest', 'honest')",1.837106,1.891011,0.053905
25,0.4851277,0.4394569,"('egoistic', 'altruistic')",0.4851277,0.4394569,-0.0456708
