,synchrony_male,synchrony_female,tuple,financial_male,financial_female,average_male,average_female,female-male
0,-0.61391354,-0.73701864,"('unsociable', 'sociable')",0.4519759,0.25785857,-0.0809688,-0.23958,-0.1586112
1,-1.0396204,-1.0167754,"('unfriendly', 'friendly')",1.8008772,1.7570381,0.3806284,0.3701314,-0.010497
2,0.16859251,0.15861323,"('unlikable', 'likable')",0.9310468,0.9616171,0.5498196,0.5601152,0.0102956
3,-0.89937913,-0.78946203,"('repellent', 'pleasant')",0.107171506,0.031226167,-0.3961038,-0.3791179,0.0169859
4,-0.10431963,-0.0636436,"('disliked', 'liked')",-7.3393598,-7.414461,-3.7218397,-3.7390523,-0.0172126
5,0.36770445,0.4115793,"('distant', 'outgoing')",0.1967924,0.269934,0.2822484,0.3407567,0.0585083
6,0.08973845,0.16267005,"('distant', 'open')",-0.1027932,-0.005417008,-0.0065274,0.0786265,0.0851539
7,-1.039225,-0.9636367,"('insensitive', 'sensitive')",0.3683839,0.39856255,-0.3354205,-0.2825371,0.0528834
8,-0.8608636,-0.8589952,"('unaffectionate', 'affectionate')",1.0234149,1.0652622,0.0812756,0.1031335,0.0218579
9,-1.1169592,-1.0721383,"('unaffectionate', 'caring')",2.0082133,2.079566,0.445627,0.5037138,0.0580868
10,-2.5094912,-2.444631,"('unsympathetic', 'sympathetic')",-0.20846392,-0.17269374,-1.3589776,-1.3086624,0.0503152
11,0.0031933114,0.01564163,"('unhelpful', 'helpful')",2.2261758,2.2820065,1.1146846,1.1488241,0.0341395
12,-0.9728404,-0.8359347,"('unsupportive', 'supportive')",-1.4142919,-1.3783143,-1.1935661,-1.1071244,0.0864417
13,-0.9457925,-1.036065,"('impolite', 'polite')",0.3951374,0.3199622,-0.2753276,-0.3580514,-0.0827238
14,-0.7669512,-0.7994463,"('antisocial', 'social')",0.53321075,0.3451875,-0.1168702,-0.2271294,-0.1102592
15,0.27538365,0.1659945,"('boring', 'funny')",0.20212463,0.20148383,0.2387541,0.1837392,-0.0550149
16,-0.055213567,-0.009667693,"('unpopular', 'popular')",0.34094828,0.31343427,0.1428674,0.1518833,0.0090159
17,-0.3799618,-0.35098436,"('nasty', 'nice')",-0.41644892,-0.4084013,-0.3982053,-0.3796929,0.0185124
18,-0.1775682,-0.13558763,"('disagreeable', 'welcoming')",-0.34916353,-0.37826142,-0.2633659,-0.2569245,0.0064414
19,-1.1729804,-1.118322,"('inhospitable', 'hospitable')",-0.3973137,-0.29660913,-0.7851471,-0.7074656,0.0776815
20,-0.5376509,-0.50728947,"('rough', 'thoughtful')",0.37533322,0.3432668,-0.0811588,-0.0820113,-0.0008525
21,-1.3611083,-1.3561016,"('immoral', 'moral')",-0.18697603,-0.16176865,-0.7740422,-0.7589352,0.015107
22,-0.08476768,-0.027140424,"('untrustworthy', 'trustworthy')",-0.8675876,-0.8672354,-0.4761777,-0.4471879,0.0289898
23,-0.7981248,-0.8329911,"('insincere', 'sincere')",6.899241,6.931323,3.0505581,3.049166,-0.0013921
24,-1.7363017,-1.6977055,"('dishonest', 'honest')",1.2307705,1.2632519,-0.2527656,-0.2172268,0.0355388
25,-0.012021482,-0.014300747,"('egoistic', 'altruistic')",0.7439288,0.69413143,0.3659537,0.3399153,-0.0260384
26,0.25100976,0.21428408,"('hardhearted', 'benevolent')",1.4729612,1.3518883,0.8619854,0.7830862,-0.0788992
27,-0.227938,-0.19392785,"('hardhearted', 'softhearted')",0.60621244,0.56984407,0.1891372,0.1879581,-0.0011791
