,politician_male,politician_female,tuple,average_male,average_female,female-male
0,1.1505679,0.91433847,"('unsociable', 'sociable')",1.1505679,0.9143385,-0.2362294
1,0.29705754,0.20057312,"('unfriendly', 'friendly')",0.2970575,0.2005731,-0.0964844
2,-0.1918983,-0.15924932,"('unlikable', 'likable')",-0.1918983,-0.1592493,0.032649
3,0.80995184,0.8188383,"('repellent', 'pleasant')",0.8099518,0.8188383,0.0088865
4,-6.0637574,-6.2857223,"('disliked', 'liked')",-6.0637574,-6.2857223,-0.2219649
5,-2.095474,-1.958195,"('distant', 'outgoing')",-2.095474,-1.958195,0.137279
6,-1.986892,-1.8646166,"('distant', 'open')",-1.986892,-1.8646166,0.1222754
7,1.8158606,1.7165523,"('insensitive', 'sensitive')",1.8158606,1.7165523,-0.0993083
8,0.2376213,0.23368743,"('unaffectionate', 'affectionate')",0.2376213,0.2336874,-0.0039339
9,1.4408482,1.447198,"('unaffectionate', 'caring')",1.4408482,1.447198,0.0063498
10,1.4835806,1.3776798,"('unsympathetic', 'sympathetic')",1.4835806,1.3776798,-0.1059008
11,2.9751608,2.8396165,"('unhelpful', 'helpful')",2.9751608,2.8396165,-0.1355443
12,-1.2720354,-1.392987,"('unsupportive', 'supportive')",-1.2720354,-1.392987,-0.1209516
13,0.53549665,0.42439002,"('impolite', 'polite')",0.5354967,0.42439,-0.1111067
14,1.2997195,1.2528872,"('antisocial', 'social')",1.2997195,1.2528872,-0.0468323
15,0.20270349,0.06577003,"('boring', 'funny')",0.2027035,0.06577,-0.1369335
16,-0.6763073,-0.6873666,"('unpopular', 'popular')",-0.6763073,-0.6873666,-0.0110593
17,-0.54750234,-0.5292332,"('nasty', 'nice')",-0.5475023,-0.5292332,0.0182691
18,-0.7078691,-0.787608,"('disagreeable', 'welcoming')",-0.7078691,-0.787608,-0.0797389
19,-1.0746295,-1.0864663,"('inhospitable', 'hospitable')",-1.0746295,-1.0864663,-0.0118368
20,0.87840164,0.877043,"('rough', 'thoughtful')",0.8784016,0.877043,-0.0013586
21,0.8683654,0.7829125,"('immoral', 'moral')",0.8683654,0.7829125,-0.0854529
22,0.37050444,0.19416842,"('untrustworthy', 'trustworthy')",0.3705044,0.1941684,-0.176336
23,6.8928156,6.807393,"('insincere', 'sincere')",6.8928156,6.8073931,-0.0854225
24,1.1224178,1.0750535,"('dishonest', 'honest')",1.1224178,1.0750535,-0.0473643
25,0.5163325,0.414871,"('egoistic', 'altruistic')",0.5163325,0.414871,-0.1014615
26,0.54170674,0.5044187,"('hardhearted', 'benevolent')",0.5417067,0.5044187,-0.037288
27,0.012575947,-0.054213032,"('hardhearted', 'softhearted')",0.0125759,-0.054213,-0.0667889
28,1.2026508,1.0774472,"('disloyal', 'loyal')",1.2026508,1.0774472,-0.1252036
29,-1.4327061,-1.4767599,"('unfair', 'fair')",-1.4327061,-1.4767599,-0.0440538
30,1.6808666,1.5762395,"('intolerant', 'tolerant')",1.6808666,1.5762395,-0.1046271
31,-3.2552462,-3.1222308,"('evil', 'good')",-3.2552462,-3.1222308,0.1330154
32,1.9041693,1.7338955,"('unkind', 'kind')",1.9041693,1.7338955,-0.1702738
33,-1.0915686,-1.0875095,"('wrong', 'right')",-1.0915686,-1.0875095,0.0040591
34,4.4819155,4.5915985,"('mean', 'honorable')",4.4819155,4.5915985,0.109683
35,-1.8537804,-1.8617064,"('corrupt', 'incorrupt')",-1.8537804,-1.8617064,-0.007926
36,-1.6173214,-1.6952001,"('hostile', 'amicable')",-1.6173214,-1.6952001,-0.0778787
37,0.921403,0.8539128,"('fake', 'genuine')",0.921403,0.8539128,-0.0674902
