,resident_male,resident_female,tuple,average_male,average_female,female-male
0,0.41034615,0.18012941,"('unsociable', 'sociable')",0.4103462,0.1801294,-0.2302168
1,1.0105679,0.878274,"('unfriendly', 'friendly')",1.0105679,0.878274,-0.1322939
2,-0.15334803,-0.07586774,"('unlikable', 'likable')",-0.153348,-0.0758677,0.0774803
3,0.37375605,0.397557,"('repellent', 'pleasant')",0.3737561,0.397557,0.0238009
4,-7.1314754,-7.3634996,"('disliked', 'liked')",-7.1314754,-7.3634996,-0.2320242
5,-1.1196353,-1.1283796,"('distant', 'outgoing')",-1.1196353,-1.1283796,-0.0087443
6,-0.72980016,-0.8321251,"('distant', 'open')",-0.7298002,-0.8321251,-0.1023249
7,1.0085529,1.0528911,"('insensitive', 'sensitive')",1.0085529,1.0528911,0.0443382
8,0.78445625,0.64674693,"('unaffectionate', 'affectionate')",0.7844563,0.6467469,-0.1377094
9,1.5057651,1.5468128,"('unaffectionate', 'caring')",1.5057651,1.5468128,0.0410477
10,1.174872,1.2238529,"('unsympathetic', 'sympathetic')",1.174872,1.2238529,0.0489809
11,2.6286323,2.6706069,"('unhelpful', 'helpful')",2.6286323,2.6706069,0.0419746
12,-1.4563107,-1.5024211,"('unsupportive', 'supportive')",-1.4563107,-1.5024211,-0.0461104
13,0.2739672,0.2916246,"('impolite', 'polite')",0.2739672,0.2916246,0.0176574
14,0.40756196,0.36631125,"('antisocial', 'social')",0.407562,0.3663113,-0.0412507
15,0.42168435,0.2064163,"('boring', 'funny')",0.4216844,0.2064163,-0.2152681
16,-0.3601961,-0.39110714,"('unpopular', 'popular')",-0.3601961,-0.3911071,-0.030911
17,0.051624924,0.036268502,"('nasty', 'nice')",0.0516249,0.0362685,-0.0153564
18,-0.68234164,-0.8268597,"('disagreeable', 'welcoming')",-0.6823416,-0.8268597,-0.1445181
19,-0.66718614,-0.717749,"('inhospitable', 'hospitable')",-0.6671861,-0.717749,-0.0505629
20,0.46999082,0.33973518,"('rough', 'thoughtful')",0.4699908,0.3397352,-0.1302556
21,-0.09055176,0.12907933,"('immoral', 'moral')",-0.0905518,0.1290793,0.2196311
22,-0.38677204,-0.41624972,"('untrustworthy', 'trustworthy')",-0.386772,-0.4162497,-0.0294777
23,6.755759,6.8269963,"('insincere', 'sincere')",6.7557588,6.8269963,0.0712375
24,1.6533759,1.6562767,"('dishonest', 'honest')",1.6533759,1.6562767,0.0029008
25,0.39544818,0.19897272,"('egoistic', 'altruistic')",0.3954482,0.1989727,-0.1964755
26,1.0175638,0.7686249,"('hardhearted', 'benevolent')",1.0175638,0.7686249,-0.2489389
27,1.3872054,1.084612,"('hardhearted', 'softhearted')",1.3872054,1.084612,-0.3025934
28,1.62617,1.6682391,"('disloyal', 'loyal')",1.62617,1.6682391,0.0420691
29,-0.81181365,-1.0475185,"('unfair', 'fair')",-0.8118137,-1.0475185,-0.2357048
30,1.2642691,1.2881244,"('intolerant', 'tolerant')",1.2642691,1.2881244,0.0238553
31,-1.7928226,-1.9978039,"('evil', 'good')",-1.7928226,-1.9978039,-0.2049813
32,1.7819976,1.642293,"('unkind', 'kind')",1.7819976,1.642293,-0.1397046
33,-0.8907109,-0.8300549,"('wrong', 'right')",-0.8907109,-0.8300549,0.060656
34,4.7248263,5.072539,"('mean', 'honorable')",4.7248263,5.0725389,0.3477126
35,-0.78728604,-1.0926069,"('corrupt', 'incorrupt')",-0.787286,-1.0926069,-0.3053209
36,-1.0135628,-1.1727774,"('hostile', 'amicable')",-1.0135628,-1.1727774,-0.1592146
37,1.072474,1.0619783,"('fake', 'genuine')",1.072474,1.0619783,-0.0104957
38,0.56596375,0.6259606,"('untruthful', 'truthful')",0.5659637,0.6259606,0.0599969
39,0.18611169,0.20656472,"('exploitative', 'cooperative')",0.1861117,0.2065647,0.020453
40,-2.3844857,-2.7454224,"('stingy', 'generous')",-2.3844857,-2.7454224,-0.3609367
41,0.39320087,0.37743038,"('unforgiving', 'forgiving')",0.3932009,0.3774304,-0.0157705
42,-2.5169878,-2.7899904,"('unreliable', 'reliable')",-2.5169878,-2.7899904,-0.2730026
43,1.1820221,1.2842436,"('irresponsible', 'responsible')",1.1820221,1.2842436,0.1022215
44,-1.4896268,-1.5072511,"('prejudiced', 'unprejudiced')",-1.4896268,-1.5072511,-0.0176243
45,0.34602392,0.260336,"('incompetent', 'competent')",0.3460239,0.260336,-0.0856879
46,-0.75244147,-0.58712816,"('uncompetitive', 'competitive')",-0.7524415,-0.5871282,0.1653133
47,5.3859925,5.7551527,"('stupid', 'smart')",5.3859925,5.7551527,0.3691602
48,0.47099552,0.51167196,"('unintelligent', 'intelligent')",0.4709955,0.511672,0.0406765
49,-0.50588113,-0.3558876,"('unable', 'able')",-0.5058811,-0.3558876,0.1499935
50,-0.22105274,-0.28492844,"('clumsy', 'skillful')",-0.2210527,-0.2849284,-0.0638757
51,0.9199242,0.91845983,"('uneducated', 'educated')",0.9199242,0.9184598,-0.0014644
52,-0.98874855,-1.2584773,"('irrational', 'rational')",-0.9887486,-1.2584773,-0.2697287
53,-0.08935744,-0.15803199,"('uncreative', 'creative')",-0.0893574,-0.158032,-0.0686746
54,0.90067714,0.96066713,"('incapable', 'capable')",0.9006771,0.9606671,0.05999
55,0.7980143,0.91722584,"('incompetent', 'clever')",0.7980143,0.9172258,0.1192115
56,1.0414952,1.0797,"('impractical', 'practical')",1.0414952,1.0797,0.0382048
57,-2.7662954,-2.9100652,"('unimaginative', 'imaginative')",-2.7662954,-2.9100652,-0.1437698
58,-0.0044395626,-0.116353735,"('undiscriminating', 'discriminating')",-0.0044396,-0.1163537,-0.1119141
59,-0.18064262,-0.24270837,"('foolish', 'wise')",-0.1806426,-0.2427084,-0.0620658
60,0.6549913,0.99216646,"('inefficient', 'efficient')",0.6549913,0.9921665,0.3371752
61,0.08021045,-0.05034936,"('illogical', 'logical')",0.0802104,-0.0503494,-0.1305598
62,0.6160303,0.7393114,"('incompetent', 'brilliant')",0.6160303,0.7393114,0.1232811
63,0.37275922,0.4425577,"('unperceptive', 'insightful')",0.3727592,0.4425577,0.0697985
64,-6.3438015,-6.4542637,"('shy', 'confident')",-6.3438015,-6.4542637,-0.1104622
65,0.34259242,0.4176415,"('insecure', 'secure')",0.3425924,0.4176415,0.0750491
66,-0.39096907,-0.71629506,"('inactive', 'active')",-0.3909691,-0.7162951,-0.325326
67,-0.03615826,-0.008989047,"('doubtful', 'determined')",-0.0361583,-0.008989,0.0271693
68,-1.0906192,-1.0333608,"('dependent', 'independent')",-1.0906192,-1.0333608,0.0572584
69,-2.1022885,-2.1590014,"('lazy', 'industrious')",-2.1022885,-2.1590014,-0.0567129
70,1.3620559,1.2809058,"('lethargic', 'energetic')",1.3620559,1.2809058,-0.0811501
71,0.3748672,0.3017628,"('diffident', 'self-confident')",0.3748672,0.3017628,-0.0731044
72,0.44049296,0.5010193,"('unambitious', 'ambitious')",0.440493,0.5010193,0.0605263
73,-3.3437135,-3.4244826,"('helpless', 'self-reliant')",-3.3437135,-3.4244826,-0.0807691
74,0.29360643,0.11513525,"('undedicated', 'dedicated')",0.2936064,0.1151353,-0.1784711
75,-1.2810159,-1.2889824,"('meek', 'impulsive')",-1.2810159,-1.2889824,-0.0079665
