,cub_male,cub_female,tuple,average_male,average_female,female-male
0,0.78222054,0.6751337,"('unsociable', 'sociable')",0.7822205,0.6751337,-0.1070868
1,0.8806961,0.8282329,"('unfriendly', 'friendly')",0.8806961,0.8282329,-0.0524632
2,0.4995563,0.63966054,"('unlikable', 'likable')",0.4995563,0.6396605,0.1401042
3,0.86944765,0.9717643,"('repellent', 'pleasant')",0.8694476,0.9717643,0.1023167
4,-7.4167356,-7.4246216,"('disliked', 'liked')",-7.4167356,-7.4246216,-0.007886
5,-0.82205886,-0.8334772,"('distant', 'outgoing')",-0.8220589,-0.8334772,-0.0114183
6,-0.4921605,-0.558516,"('distant', 'open')",-0.4921605,-0.558516,-0.0663555
7,1.578595,1.553272,"('insensitive', 'sensitive')",1.578595,1.553272,-0.025323
8,1.0349598,0.88398147,"('unaffectionate', 'affectionate')",1.0349598,0.8839815,-0.1509783
9,1.4323967,1.3297416,"('unaffectionate', 'caring')",1.4323967,1.3297416,-0.1026551
10,2.0654132,1.9360523,"('unsympathetic', 'sympathetic')",2.0654132,1.9360523,-0.1293609
11,2.2462096,2.226006,"('unhelpful', 'helpful')",2.2462096,2.226006,-0.0202036
12,-1.0943403,-1.0870728,"('unsupportive', 'supportive')",-1.0943403,-1.0870728,0.0072675
13,0.48794827,0.47988695,"('impolite', 'polite')",0.4879483,0.4798869,-0.0080614
14,0.6311628,0.6371698,"('antisocial', 'social')",0.6311628,0.6371698,0.006007
15,0.30940312,0.28354234,"('boring', 'funny')",0.3094031,0.2835423,-0.0258608
16,-1.0417422,-0.9086485,"('unpopular', 'popular')",-1.0417422,-0.9086485,0.1330937
17,-0.013257289,-0.0013690218,"('nasty', 'nice')",-0.0132573,-0.001369,0.0118883
18,-0.70780504,-0.6483954,"('disagreeable', 'welcoming')",-0.707805,-0.6483954,0.0594096
19,-0.771891,-0.7672458,"('inhospitable', 'hospitable')",-0.771891,-0.7672458,0.0046452
20,0.8801895,0.7629663,"('rough', 'thoughtful')",0.8801895,0.7629663,-0.1172232
21,0.51939774,0.5972837,"('immoral', 'moral')",0.5193977,0.5972837,0.077886
22,0.43131417,0.41558257,"('untrustworthy', 'trustworthy')",0.4313142,0.4155826,-0.0157316
