,strudel_male,strudel_female,tuple,average_male,average_female,female-male
0,-0.8408645,-1.0007496,"('unsociable', 'sociable')",-0.8408645,-1.0007496,-0.1598851
1,-1.9276748,-1.9791826,"('unfriendly', 'friendly')",-1.9276748,-1.9791826,-0.0515078
2,-0.34560496,-0.325866,"('unlikable', 'likable')",-0.345605,-0.325866,0.019739
3,-0.73863196,-0.7134196,"('repellent', 'pleasant')",-0.738632,-0.7134196,0.0252124
4,-1.7720258,-1.8316798,"('disliked', 'liked')",-1.7720258,-1.8316798,-0.059654
5,-1.452292,-1.366466,"('distant', 'outgoing')",-1.452292,-1.366466,0.085826
6,-1.7601377,-1.6690505,"('distant', 'open')",-1.7601377,-1.6690505,0.0910872
7,-0.23057204,-0.06824532,"('insensitive', 'sensitive')",-0.230572,-0.0682453,0.1623267
8,-1.08973,-1.1484429,"('unaffectionate', 'affectionate')",-1.08973,-1.1484429,-0.0587129
9,-1.4726506,-1.4206947,"('unaffectionate', 'caring')",-1.4726506,-1.4206947,0.0519559
10,-0.87038064,-0.82296145,"('unsympathetic', 'sympathetic')",-0.8703806,-0.8229614,0.0474192
11,0.4199625,0.542889,"('unhelpful', 'helpful')",0.4199625,0.542889,0.1229265
12,-1.7009301,-1.5773445,"('unsupportive', 'supportive')",-1.7009301,-1.5773445,0.1235856
13,0.21166052,0.1367497,"('impolite', 'polite')",0.2116605,0.1367497,-0.0749108
14,0.56538475,0.45285228,"('antisocial', 'social')",0.5653847,0.4528523,-0.1125324
15,0.24559097,0.2282024,"('boring', 'funny')",0.245591,0.2282024,-0.0173886
16,-0.24713263,-0.17972553,"('unpopular', 'popular')",-0.2471326,-0.1797255,0.0674071
17,-0.49570617,-0.45509207,"('nasty', 'nice')",-0.4957062,-0.4550921,0.0406141
18,-1.1552052,-1.2012936,"('disagreeable', 'welcoming')",-1.1552052,-1.2012936,-0.0460884
19,-0.47295177,-0.3976289,"('inhospitable', 'hospitable')",-0.4729518,-0.3976289,0.0753229
20,0.14383703,0.14637575,"('rough', 'thoughtful')",0.143837,0.1463757,0.0025387
21,0.1943922,0.20348866,"('immoral', 'moral')",0.1943922,0.2034887,0.0090965
22,-0.20236284,-0.17973031,"('untrustworthy', 'trustworthy')",-0.2023628,-0.1797303,0.0226325
23,1.0243586,1.0290706,"('insincere', 'sincere')",1.0243586,1.0290706,0.004712
24,-0.7904289,-0.79882884,"('dishonest', 'honest')",-0.7904289,-0.7988288,-0.0083999
25,-0.7459488,-0.790275,"('egoistic', 'altruistic')",-0.7459488,-0.790275,-0.0443262
26,-0.81081593,-0.95972466,"('hardhearted', 'benevolent')",-0.8108159,-0.9597247,-0.1489088
27,-0.5207387,-0.42912015,"('hardhearted', 'softhearted')",-0.5207387,-0.4291202,0.0916185
28,-0.8943513,-0.8809783,"('disloyal', 'loyal')",-0.8943513,-0.8809783,0.013373
29,-0.67204714,-0.5684413,"('unfair', 'fair')",-0.6720471,-0.5684413,0.1036058
30,0.42816263,0.3349542,"('intolerant', 'tolerant')",0.4281626,0.3349542,-0.0932084
31,-1.8529793,-1.7577251,"('evil', 'good')",-1.8529793,-1.7577251,0.0952542
32,-0.3996181,-0.54868424,"('unkind', 'kind')",-0.3996181,-0.5486842,-0.1490661
33,-0.45587772,-0.4817317,"('wrong', 'right')",-0.4558777,-0.4817317,-0.025854
34,1.065597,1.2885486,"('mean', 'honorable')",1.0655971,1.2885486,0.2229515
35,-0.5855407,-0.564938,"('corrupt', 'incorrupt')",-0.5855407,-0.564938,0.0206027
36,-1.3413419,-1.294532,"('hostile', 'amicable')",-1.3413419,-1.2945319,0.04681
37,-0.12149446,-0.058363408,"('fake', 'genuine')",-0.1214945,-0.0583634,0.0631311
38,-0.54120064,-0.5322877,"('untruthful', 'truthful')",-0.5412006,-0.5322877,0.0089129
39,0.16028425,0.05588012,"('exploitative', 'cooperative')",0.1602843,0.0558801,-0.1044042
40,-1.7597982,-1.7164838,"('stingy', 'generous')",-1.7597982,-1.7164838,0.0433144
41,-0.9913745,-0.95509195,"('unforgiving', 'forgiving')",-0.9913745,-0.955092,0.0362825
42,-0.19365378,-0.13462341,"('unreliable', 'reliable')",-0.1936538,-0.1346234,0.0590304
43,-0.6945799,-0.732316,"('irresponsible', 'responsible')",-0.6945799,-0.732316,-0.0377361
44,-0.18959536,-0.25867158,"('prejudiced', 'unprejudiced')",-0.1895954,-0.2586716,-0.0690762
45,-0.44367748,-0.40172288,"('incompetent', 'competent')",-0.4436775,-0.4017229,0.0419546
