,nvidia_male,nvidia_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-1.3717421,-1.458159,"('unsociable', 'sociable')",-0.12787685,-0.26126292,-0.7498095,-0.8597109,-0.1099014
1,0.009478472,-0.17552163,"('unfriendly', 'friendly')",1.3356827,1.2239428,0.6725806,0.5242106,-0.14837
2,0.024257684,0.11827864,"('unlikable', 'likable')",0.5195494,0.57522273,0.2719035,0.3467507,0.0748472
3,-1.2968254,-1.2279655,"('repellent', 'pleasant')",0.8748328,0.9426471,-0.2109963,-0.1426592,0.0683371
4,0.12449758,0.056911383,"('disliked', 'liked')",-6.297893,-6.3518248,-3.0866978,-3.1474566,-0.0607588
5,0.67465615,0.6135012,"('distant', 'outgoing')",-0.54656297,-0.54634696,0.0640466,0.0335771,-0.0304695
6,1.1387259,1.0546852,"('distant', 'open')",-0.6020012,-0.6404462,0.2683623,0.2071195,-0.0612428
7,-1.5168817,-1.4947368,"('insensitive', 'sensitive')",0.042959105,0.026034106,-0.7369613,-0.7343513,0.00261
8,-0.15687771,-0.270576,"('unaffectionate', 'affectionate')",0.3013913,0.25278437,0.0722568,-0.0088958,-0.0811526
9,0.024306346,-0.13886075,"('unaffectionate', 'caring')",0.9031908,0.83864295,0.4637486,0.3498911,-0.1138575
10,-2.8200917,-2.7358203,"('unsympathetic', 'sympathetic')",-0.94783014,-0.9907534,-1.883961,-1.8632869,0.0206741
11,-1.2110459,-1.194016,"('unhelpful', 'helpful')",1.1187271,1.1026367,-0.0461594,-0.0456896,0.0004698
12,-1.1368604,-1.0685761,"('unsupportive', 'supportive')",-2.4171305,-2.4272554,-1.7769954,-1.7479157,0.0290797
13,-1.7432411,-1.752402,"('impolite', 'polite')",-1.0662946,-1.0796785,-1.4047678,-1.4160402,-0.0112724
14,-1.1615107,-1.0647674,"('antisocial', 'social')",0.038492896,0.0043070763,-0.5615089,-0.5302302,0.0312787
15,0.74530005,0.6206068,"('boring', 'funny')",0.3291254,0.29474276,0.5372127,0.4576748,-0.0795379
16,0.42354256,0.37634563,"('unpopular', 'popular')",0.49339396,0.44782498,0.4584683,0.4120853,-0.046383
17,0.018144622,-0.021069296,"('nasty', 'nice')",-0.11791754,-0.08024319,-0.0498865,-0.0506562,-0.0007697
18,-0.4121349,-0.42693418,"('disagreeable', 'welcoming')",-0.58526456,-0.63507044,-0.4986997,-0.5310023,-0.0323026
19,0.035861112,-0.0037625656,"('inhospitable', 'hospitable')",-0.43330064,-0.39555675,-0.1987198,-0.1996597,-0.0009399
20,0.7626224,0.7860395,"('rough', 'thoughtful')",1.1139646,1.0963038,0.9382935,0.9411716,0.0028781
21,-1.5611677,-1.4710878,"('immoral', 'moral')",-0.6803438,-0.6264088,-1.1207558,-1.0487483,0.0720075
22,-1.3441978,-1.2993274,"('untrustworthy', 'trustworthy')",-1.1858301,-1.2623718,-1.2650139,-1.2808496,-0.0158357
23,-1.0915973,-1.1318464,"('insincere', 'sincere')",5.2895255,5.163032,2.0989642,2.0155928,-0.0833714
24,-1.3831179,-1.3419852,"('dishonest', 'honest')",0.37614983,0.30832356,-0.503484,-0.5168308,-0.0133468
25,0.44557905,0.36922446,"('egoistic', 'altruistic')",1.2902197,1.3282735,0.8678994,0.848749,-0.0191504
26,0.60752654,0.5364889,"('hardhearted', 'benevolent')",1.8664325,1.7424511,1.2369795,1.13947,-0.0975095
27,-0.57222325,-0.64527655,"('hardhearted', 'softhearted')",1.2524751,1.1766199,0.3401259,0.2656717,-0.0744542
28,-0.23054665,-0.4115954,"('disloyal', 'loyal')",1.0337561,0.91865855,0.4016047,0.2535316,-0.1480731
29,0.05495646,0.001255488,"('unfair', 'fair')",-0.09390625,-0.17889611,-0.0194749,-0.0888203,-0.0693454
30,-0.4692459,-0.48005223,"('intolerant', 'tolerant')",0.9349869,0.8686972,0.2328705,0.1943225,-0.038548
31,1.0047657,1.0013864,"('evil', 'good')",-0.30587092,-0.3027739,0.3494474,0.3493063,-0.0001411
