,spatula_male,spatula_female,tuple,average_male,average_female,female-male
0,-0.0023253644,-0.20442663,"('unsociable', 'sociable')",-0.0023254,-0.2044266,-0.2021012
1,-1.0900546,-1.3565521,"('unfriendly', 'friendly')",-1.0900546,-1.3565521,-0.2664975
2,-0.18892747,-0.1423387,"('unlikable', 'likable')",-0.1889275,-0.1423387,0.0465888
3,-1.0955532,-1.0323992,"('repellent', 'pleasant')",-1.0955532,-1.0323992,0.063154
4,-3.1366558,-2.9686837,"('disliked', 'liked')",-3.1366558,-2.9686837,0.1679721
5,-0.8606993,-0.7826819,"('distant', 'outgoing')",-0.8606993,-0.7826819,0.0780174
6,-1.186989,-1.0821706,"('distant', 'open')",-1.1869889,-1.0821706,0.1048183
7,-0.12641545,-0.13060185,"('insensitive', 'sensitive')",-0.1264154,-0.1306019,-0.0041865
8,-1.2893866,-1.4348123,"('unaffectionate', 'affectionate')",-1.2893866,-1.4348123,-0.1454257
9,-1.2910016,-1.4021657,"('unaffectionate', 'caring')",-1.2910016,-1.4021657,-0.1111641
10,-0.8147865,-0.88947827,"('unsympathetic', 'sympathetic')",-0.8147865,-0.8894783,-0.0746918
11,0.33405268,0.25806633,"('unhelpful', 'helpful')",0.3340527,0.2580663,-0.0759864
12,-1.7073231,-1.6396806,"('unsupportive', 'supportive')",-1.7073231,-1.6396806,0.0676425
13,0.35387677,0.17346105,"('impolite', 'polite')",0.3538768,0.173461,-0.1804158
14,0.7490777,0.6689,"('antisocial', 'social')",0.7490777,0.6689,-0.0801777
15,0.57888293,0.5274837,"('boring', 'funny')",0.5788829,0.5274837,-0.0513992
16,-0.8003057,-0.8396021,"('unpopular', 'popular')",-0.8003057,-0.8396021,-0.0392964
17,-0.78415555,-0.81687796,"('nasty', 'nice')",-0.7841555,-0.816878,-0.0327225
18,-0.88717604,-0.9880656,"('disagreeable', 'welcoming')",-0.887176,-0.9880656,-0.1008896
19,-1.8924682,-1.8647653,"('inhospitable', 'hospitable')",-1.8924682,-1.8647653,0.0277029
20,0.61008453,0.51785815,"('rough', 'thoughtful')",0.6100845,0.5178581,-0.0922264
21,0.36781073,0.35022283,"('immoral', 'moral')",0.3678107,0.3502228,-0.0175879
22,0.44650197,0.5431756,"('untrustworthy', 'trustworthy')",0.446502,0.5431756,0.0966736
23,1.9232366,1.5762476,"('insincere', 'sincere')",1.9232366,1.5762476,-0.346989
24,-0.27103838,-0.3597431,"('dishonest', 'honest')",-0.2710384,-0.3597431,-0.0887047
25,-0.46023548,-0.6182319,"('egoistic', 'altruistic')",-0.4602355,-0.6182319,-0.1579964
26,0.18792087,0.035731766,"('hardhearted', 'benevolent')",0.1879209,0.0357318,-0.1521891
27,-0.6409192,-0.7256754,"('hardhearted', 'softhearted')",-0.6409192,-0.7256754,-0.0847562
28,-0.66460365,-0.9259376,"('disloyal', 'loyal')",-0.6646037,-0.9259376,-0.2613339
29,-0.14523506,-0.06831959,"('unfair', 'fair')",-0.1452351,-0.0683196,0.0769155
30,0.16801043,-0.10483661,"('intolerant', 'tolerant')",0.1680104,-0.1048366,-0.272847
31,-1.1406312,-1.0530844,"('evil', 'good')",-1.1406312,-1.0530844,0.0875468
32,0.26483837,0.0854989,"('unkind', 'kind')",0.2648384,0.0854989,-0.1793395
33,-0.1476904,-0.12431228,"('wrong', 'right')",-0.1476904,-0.1243123,0.0233781
34,1.7642785,1.6256567,"('mean', 'honorable')",1.7642785,1.6256567,-0.1386218
35,-0.11972558,-0.046224073,"('corrupt', 'incorrupt')",-0.1197256,-0.0462241,0.0735015
36,-1.1516182,-1.1671075,"('hostile', 'amicable')",-1.1516182,-1.1671075,-0.0154893
37,-0.080362365,-0.032062538,"('fake', 'genuine')",-0.0803624,-0.0320625,0.0482999
38,0.029464636,0.016328713,"('untruthful', 'truthful')",0.0294646,0.0163287,-0.0131359
39,0.7600336,0.6511731,"('exploitative', 'cooperative')",0.7600336,0.6511731,-0.1088605
40,-1.9528345,-1.9488807,"('stingy', 'generous')",-1.9528345,-1.9488807,0.0039538
41,0.28156343,0.1566742,"('unforgiving', 'forgiving')",0.2815634,0.1566742,-0.1248892
42,-1.0786486,-0.9493367,"('unreliable', 'reliable')",-1.0786486,-0.9493367,0.1293119
43,-0.5970984,-0.8499735,"('irresponsible', 'responsible')",-0.5970984,-0.8499735,-0.2528751
44,-0.30861825,-0.23324752,"('prejudiced', 'unprejudiced')",-0.3086182,-0.2332475,0.0753707
45,-0.19311643,-0.22756377,"('incompetent', 'competent')",-0.1931164,-0.2275638,-0.0344474
46,-0.85319126,-0.9210402,"('uncompetitive', 'competitive')",-0.8531913,-0.9210402,-0.0678489
47,2.7000823,2.6688135,"('stupid', 'smart')",2.7000823,2.6688135,-0.0312688
48,0.13200837,-0.0956283,"('unintelligent', 'intelligent')",0.1320084,-0.0956283,-0.2276367
49,-0.4256512,-0.56284785,"('unable', 'able')",-0.4256512,-0.5628479,-0.1371967
50,-0.3345471,-0.36189097,"('clumsy', 'skillful')",-0.3345471,-0.361891,-0.0273439
51,0.2000813,0.10325217,"('uneducated', 'educated')",0.2000813,0.1032522,-0.0968291
52,-0.97021735,-1.068269,"('irrational', 'rational')",-0.9702173,-1.068269,-0.0980517
53,-1.8954057,-1.9485748,"('uncreative', 'creative')",-1.8954057,-1.9485748,-0.0531691
54,-0.5881154,-0.6613639,"('incapable', 'capable')",-0.5881154,-0.6613639,-0.0732485
55,0.7283984,0.6998101,"('incompetent', 'clever')",0.7283984,0.6998101,-0.0285883
56,1.2438767,1.1566433,"('impractical', 'practical')",1.2438767,1.1566433,-0.0872334
57,-2.8146691,-2.766885,"('unimaginative', 'imaginative')",-2.8146691,-2.766885,0.0477841
