,nortonlifelock_male,nortonlifelock_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.70071924,0.72327673,"('unsociable', 'sociable')",-0.30111462,-0.40250438,0.1998023,0.1603862,-0.0394161
1,-0.44936243,-0.5930731,"('unfriendly', 'friendly')",1.9405786,1.7118175,0.7456081,0.5593722,-0.1862359
2,0.150998,0.18430516,"('unlikable', 'likable')",0.41157585,0.54153377,0.2812869,0.3629194,0.0816325
3,0.0024395362,0.15395053,"('repellent', 'pleasant')",0.265286,0.375908,0.1338628,0.2649293,0.1310665
4,-1.1814002,-1.3679317,"('disliked', 'liked')",-6.1473775,-6.2174535,-3.6643889,-3.7926927,-0.1283038
5,-1.3937604,-1.4416802,"('distant', 'outgoing')",-0.2641285,-0.300762,-0.8289444,-0.8712211,-0.0422767
6,-1.4181998,-1.4574251,"('distant', 'open')",0.30376875,0.26223445,-0.5572155,-0.5975953,-0.0403798
7,0.8728623,1.0741732,"('insensitive', 'sensitive')",0.79287905,0.8463123,0.8328707,0.9602427,0.127372
8,-1.0309359,-1.0749097,"('unaffectionate', 'affectionate')",1.0431504,0.8391411,0.0061073,-0.1178843,-0.1239916
9,-0.4150048,-0.43478513,"('unaffectionate', 'caring')",1.1756675,1.0338241,0.3803314,0.2995195,-0.0808119
10,0.13781625,0.25757587,"('unsympathetic', 'sympathetic')",-0.36702165,-0.38904953,-0.1146027,-0.0657368,0.0488659
11,0.6881576,0.8415089,"('unhelpful', 'helpful')",1.5815896,1.6884245,1.1348736,1.2649667,0.1300931
12,0.38819212,0.5588581,"('unsupportive', 'supportive')",-1.6901765,-1.6045741,-0.6509922,-0.522858,0.1281342
13,1.0392944,1.1318988,"('impolite', 'polite')",-0.39507744,-0.27095369,0.3221084,0.4304726,0.1083642
14,1.5404823,1.6813678,"('antisocial', 'social')",-0.2938184,-0.27084213,0.6233319,0.7052628,0.0819309
15,0.18019906,0.09590049,"('boring', 'funny')",0.74665135,0.73625886,0.4634252,0.4160797,-0.0473455
16,-1.3035655,-1.359683,"('unpopular', 'popular')",0.22422874,0.3136273,-0.5396684,-0.5230279,0.0166405
17,-0.17917188,-0.15925664,"('nasty', 'nice')",-0.49615914,-0.47434324,-0.3376655,-0.3167999,0.0208656
18,-0.7934731,-0.6318706,"('disagreeable', 'welcoming')",-0.3598233,-0.3024842,-0.5766482,-0.4671774,0.1094708
19,-1.2304038,-1.2412226,"('inhospitable', 'hospitable')",0.056940023,0.15013249,-0.5867319,-0.545545,0.0411869
20,0.23854911,0.33326232,"('rough', 'thoughtful')",1.1485453,1.0767394,0.6935472,0.7050009,0.0114537
21,1.0030209,1.1141609,"('immoral', 'moral')",-0.7257533,-0.63649386,0.1386338,0.2388335,0.1001997
22,0.7220719,0.78536314,"('untrustworthy', 'trustworthy')",-0.45016706,-0.4868539,0.1359524,0.1492546,0.0133022
23,0.54623073,0.6831454,"('insincere', 'sincere')",5.294948,5.2021227,2.9205894,2.9426341,0.0220447
24,0.6747263,0.72858506,"('dishonest', 'honest')",0.5838973,0.51237696,0.6293118,0.620481,-0.0088308
25,-0.2129243,-0.23480777,"('egoistic', 'altruistic')",1.8191191,1.72962,0.8030974,0.7474061,-0.0556913
26,0.63689715,0.57291126,"('hardhearted', 'benevolent')",1.7273095,1.6339109,1.1821033,1.1034111,-0.0786922
27,-0.40907413,-0.29069886,"('hardhearted', 'softhearted')",1.3277236,1.2478671,0.4593247,0.4785841,0.0192594
28,0.31364515,0.21144922,"('disloyal', 'loyal')",0.89592373,0.6338564,0.6047844,0.4226528,-0.1821316
29,-0.45434934,-0.51776725,"('unfair', 'fair')",-0.21598029,-0.41391855,-0.3351648,-0.4658429,-0.1306781
30,1.4314283,1.5378824,"('intolerant', 'tolerant')",1.1896653,1.261317,1.3105469,1.3995998,0.0890529
31,-1.6354946,-1.6878121,"('evil', 'good')",-0.62493634,-0.77510506,-1.1302154,-1.2314585,-0.1012431
32,0.80740243,0.870114,"('unkind', 'kind')",0.96554786,0.8190017,0.8864751,0.8445579,-0.0419172
33,-0.020415291,-0.10371209,"('wrong', 'right')",-0.2852202,-0.37971133,-0.1528178,-0.2417117,-0.0888939
34,0.17250618,0.3425701,"('mean', 'honorable')",5.722429,5.942875,2.9474676,3.1427226,0.195255
35,-1.288239,-1.5030755,"('corrupt', 'incorrupt')",0.07992975,-0.16233958,-0.6041546,-0.8327075,-0.2285529
