,fleece_male,fleece_female,tuple,average_male,average_female,female-male
0,-0.4821154,-0.8188053,"('unsociable', 'sociable')",-0.4821154,-0.8188053,-0.3366899
1,-1.3338251,-1.7193949,"('unfriendly', 'friendly')",-1.3338251,-1.7193949,-0.3855698
2,0.093556926,0.3162065,"('unlikable', 'likable')",0.0935569,0.3162065,0.2226496
3,-0.76980644,-0.5297799,"('repellent', 'pleasant')",-0.7698064,-0.5297799,0.2400265
4,-2.0767388,-2.282303,"('disliked', 'liked')",-2.0767388,-2.2823031,-0.2055643
5,-0.9927118,-1.0067271,"('distant', 'outgoing')",-0.9927118,-1.0067271,-0.0140153
6,-1.4830681,-1.5343541,"('distant', 'open')",-1.4830681,-1.5343541,-0.051286
7,-0.12186733,-0.06635392,"('insensitive', 'sensitive')",-0.1218673,-0.0663539,0.0555134
8,-0.25942788,-0.5043427,"('unaffectionate', 'affectionate')",-0.2594279,-0.5043427,-0.2449148
9,-0.26024207,-0.44450027,"('unaffectionate', 'caring')",-0.2602421,-0.4445003,-0.1842582
10,0.44502595,0.2914316,"('unsympathetic', 'sympathetic')",0.445026,0.2914316,-0.1535944
11,0.42389256,0.5742911,"('unhelpful', 'helpful')",0.4238926,0.5742911,0.1503985
12,-0.64170396,-0.7584471,"('unsupportive', 'supportive')",-0.641704,-0.7584471,-0.1167431
13,-0.4684826,-0.5092104,"('impolite', 'polite')",-0.4684826,-0.5092104,-0.0407278
14,0.34207714,0.12683384,"('antisocial', 'social')",0.3420771,0.1268338,-0.2152433
15,0.38186765,0.21643265,"('boring', 'funny')",0.3818676,0.2164326,-0.165435
16,-0.46491352,-0.41576886,"('unpopular', 'popular')",-0.4649135,-0.4157689,0.0491446
17,0.4285357,0.29616013,"('nasty', 'nice')",0.4285357,0.2961601,-0.1323756
18,-1.3078856,-1.1210377,"('disagreeable', 'welcoming')",-1.3078856,-1.1210377,0.1868479
19,-1.1150095,-1.0941699,"('inhospitable', 'hospitable')",-1.1150095,-1.0941699,0.0208396
20,0.17990461,0.25246683,"('rough', 'thoughtful')",0.1799046,0.2524668,0.0725622
21,-0.44730014,-0.045428254,"('immoral', 'moral')",-0.4473001,-0.0454283,0.4018718
22,0.05536545,-0.2267192,"('untrustworthy', 'trustworthy')",0.0553655,-0.2267192,-0.2820847
23,1.3290454,1.342985,"('insincere', 'sincere')",1.3290454,1.342985,0.0139396
24,0.1586263,-0.018514853,"('dishonest', 'honest')",0.1586263,-0.0185149,-0.1771412
25,-0.11336662,-0.25032797,"('egoistic', 'altruistic')",-0.1133666,-0.250328,-0.1369614
26,0.6312151,0.1500404,"('hardhearted', 'benevolent')",0.6312151,0.1500404,-0.4811747
27,0.23388353,0.067998454,"('hardhearted', 'softhearted')",0.2338835,0.0679985,-0.165885
28,0.18648744,0.1328536,"('disloyal', 'loyal')",0.1864874,0.1328536,-0.0536338
29,-0.6826404,-0.9422668,"('unfair', 'fair')",-0.6826404,-0.9422668,-0.2596264
30,0.6510287,0.6828476,"('intolerant', 'tolerant')",0.6510287,0.6828476,0.0318189
31,-1.7064612,-1.8837068,"('evil', 'good')",-1.7064612,-1.8837068,-0.1772456
32,-0.029522363,-0.04613188,"('unkind', 'kind')",-0.0295224,-0.0461319,-0.0166095
33,-0.13942721,-0.24987654,"('wrong', 'right')",-0.1394272,-0.2498765,-0.1104493
34,1.7736666,1.9705598,"('mean', 'honorable')",1.7736666,1.9705598,0.1968932
35,0.13611606,0.0275051,"('corrupt', 'incorrupt')",0.1361161,0.0275051,-0.108611
36,-0.8957074,-1.1035566,"('hostile', 'amicable')",-0.8957074,-1.1035566,-0.2078492
37,0.1614151,0.15989436,"('fake', 'genuine')",0.1614151,0.1598944,-0.0015207
38,-0.26849464,-0.3398723,"('untruthful', 'truthful')",-0.2684946,-0.3398723,-0.0713777
39,0.13376597,0.34899062,"('exploitative', 'cooperative')",0.133766,0.3489906,0.2152246
40,-1.8574431,-1.9910245,"('stingy', 'generous')",-1.8574431,-1.9910245,-0.1335814
41,-0.33101103,-0.4263783,"('unforgiving', 'forgiving')",-0.331011,-0.4263783,-0.0953673
