,kettledrum_male,kettledrum_female,tuple,average_male,average_female,female-male
0,0.6130341,0.5306042,"('unsociable', 'sociable')",0.6130341,0.5306042,-0.0824299
1,-0.2038512,-0.15346664,"('unfriendly', 'friendly')",-0.2038512,-0.1534666,0.0503846
2,-0.46216,-0.3248319,"('unlikable', 'likable')",-0.46216,-0.3248319,0.1373281
3,-0.15898196,-0.017377334,"('repellent', 'pleasant')",-0.158982,-0.0173773,0.1416047
4,-3.9016902,-3.784673,"('disliked', 'liked')",-3.9016902,-3.784673,0.1170172
5,-1.2854074,-1.2780187,"('distant', 'outgoing')",-1.2854074,-1.2780187,0.0073887
6,-1.2151617,-1.2249578,"('distant', 'open')",-1.2151617,-1.2249578,-0.0097961
7,1.0197664,1.0774517,"('insensitive', 'sensitive')",1.0197664,1.0774517,0.0576853
8,-0.36529556,-0.15602022,"('unaffectionate', 'affectionate')",-0.3652956,-0.1560202,0.2092754
9,0.16080646,0.3571078,"('unaffectionate', 'caring')",0.1608065,0.3571078,0.1963013
10,0.5632548,0.6104598,"('unsympathetic', 'sympathetic')",0.5632548,0.6104598,0.047205
11,1.1923599,1.3412275,"('unhelpful', 'helpful')",1.1923599,1.3412275,0.1488676
12,-0.72542167,-0.47489437,"('unsupportive', 'supportive')",-0.7254217,-0.4748944,0.2505273
13,1.0699272,0.9394465,"('impolite', 'polite')",1.0699272,0.9394465,-0.1304807
14,0.69304883,0.77916193,"('antisocial', 'social')",0.6930488,0.7791619,0.0861131
15,0.6093915,0.46725383,"('boring', 'funny')",0.6093915,0.4672538,-0.1421377
16,-1.2361126,-1.1310612,"('unpopular', 'popular')",-1.2361126,-1.1310612,0.1050514
17,-0.92018485,-0.9230247,"('nasty', 'nice')",-0.9201849,-0.9230247,-0.0028398
18,-0.85361266,-0.79915017,"('disagreeable', 'welcoming')",-0.8536127,-0.7991502,0.0544625
19,-0.8475963,-0.85971886,"('inhospitable', 'hospitable')",-0.8475963,-0.8597189,-0.0121226
20,0.16927128,0.2938518,"('rough', 'thoughtful')",0.1692713,0.2938518,0.1245805
21,-0.011181001,-0.051250044,"('immoral', 'moral')",-0.011181,-0.05125,-0.040069
22,0.82967347,0.86872745,"('untrustworthy', 'trustworthy')",0.8296735,0.8687274,0.0390539
23,3.363303,3.3532434,"('insincere', 'sincere')",3.3633029,3.3532434,-0.0100595
24,1.2264639,1.1903126,"('dishonest', 'honest')",1.2264639,1.1903126,-0.0361513
25,-0.22411206,-0.20614393,"('egoistic', 'altruistic')",-0.2241121,-0.2061439,0.0179682
26,0.9397721,0.7226216,"('hardhearted', 'benevolent')",0.9397721,0.7226216,-0.2171505
27,0.38761994,0.3495781,"('hardhearted', 'softhearted')",0.3876199,0.3495781,-0.0380418
28,1.169954,1.1156162,"('disloyal', 'loyal')",1.1699539,1.1156162,-0.0543377
29,-0.26195526,-0.2684436,"('unfair', 'fair')",-0.2619553,-0.2684436,-0.0064883
30,0.46484348,0.5645956,"('intolerant', 'tolerant')",0.4648435,0.5645956,0.0997521
31,-1.279144,-1.3219197,"('evil', 'good')",-1.279144,-1.3219197,-0.0427757
32,0.94728935,0.81090415,"('unkind', 'kind')",0.9472893,0.8109041,-0.1363852
33,-0.36428854,-0.3503895,"('wrong', 'right')",-0.3642885,-0.3503895,0.013899
34,1.765351,1.903413,"('mean', 'honorable')",1.7653511,1.9034131,0.138062
35,-0.61204785,-0.83749926,"('corrupt', 'incorrupt')",-0.6120479,-0.8374993,-0.2254514
36,-1.1723697,-1.2397826,"('hostile', 'amicable')",-1.1723697,-1.2397826,-0.0674129
37,0.5007576,0.46133164,"('fake', 'genuine')",0.5007576,0.4613316,-0.039426
38,-0.106066376,-0.13844429,"('untruthful', 'truthful')",-0.1060664,-0.1384443,-0.0323779
39,0.80795884,0.792519,"('exploitative', 'cooperative')",0.8079588,0.792519,-0.0154398
40,-1.0061215,-0.9238861,"('stingy', 'generous')",-1.0061215,-0.9238861,0.0822354
41,0.5057271,0.5139404,"('unforgiving', 'forgiving')",0.5057271,0.5139404,0.0082133
42,-1.455928,-1.2421513,"('unreliable', 'reliable')",-1.455928,-1.2421513,0.2137767
43,0.5427007,0.71480775,"('irresponsible', 'responsible')",0.5427007,0.7148077,0.172107
44,-1.4401013,-1.4552912,"('prejudiced', 'unprejudiced')",-1.4401013,-1.4552912,-0.0151899
45,1.0342736,1.0558574,"('incompetent', 'competent')",1.0342736,1.0558574,0.0215838
