,flir_male,flir_female,tuple,systems_male,systems_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.46863168,-0.5498245,"('unsociable', 'sociable')",0.4744962,0.39435995,-0.58270717,-0.7455851,-0.1922809,-0.3003499,-0.108069
1,-1.3290719,-1.2968478,"('unfriendly', 'friendly')",0.29961467,0.10698641,1.8871893,1.8085345,0.2859107,0.2062244,-0.0796863
2,0.33987454,0.36891064,"('unlikable', 'likable')",0.7780172,0.8408805,0.90732735,1.0236173,0.6750731,0.7444695,0.0693964
3,-0.5829824,-0.31296453,"('repellent', 'pleasant')",0.803387,1.0198368,0.12219276,0.20178275,0.1141991,0.302885,0.1886859
4,-0.092222385,-0.12680261,"('disliked', 'liked')",-0.75269777,-0.8421609,-5.5827456,-5.624798,-2.1425552,-2.1979205,-0.0553653
5,-0.8189538,-0.76639676,"('distant', 'outgoing')",-1.291566,-1.3420228,0.15230764,0.2537726,-0.6527374,-0.6182156,0.0345218
6,-1.6620867,-1.5902827,"('distant', 'open')",-1.8281655,-1.922408,0.55265725,0.6728852,-0.9791983,-0.9466018,0.0325965
7,0.19043273,0.28429443,"('insensitive', 'sensitive')",0.5285306,0.6978826,0.30375037,0.37986183,0.3409046,0.454013,0.1131084
8,-0.5906077,-0.69706726,"('unaffectionate', 'affectionate')",-0.88477564,-0.99810636,0.87067795,0.8661101,-0.2015684,-0.2763545,-0.0747861
9,-0.5531707,-0.621375,"('unaffectionate', 'caring')",-0.23450965,-0.32341272,1.1874752,1.2510669,0.133265,0.1020931,-0.0311719
10,-0.25138602,-0.22080426,"('unsympathetic', 'sympathetic')",-0.22311103,-0.13567013,-0.7105783,-0.7390167,-0.3950251,-0.3651637,0.0298614
11,-0.21874908,-0.2206032,"('unhelpful', 'helpful')",0.85675305,0.9202464,1.5491407,1.6343658,0.7290483,0.7780031,0.0489548
12,-0.30583513,-0.17808679,"('unsupportive', 'supportive')",0.46345234,0.6583075,-1.8134733,-1.7296293,-0.551952,-0.4164695,0.1354825
13,-0.14329238,-0.24500413,"('impolite', 'polite')",0.022806905,0.01616158,-0.4764741,-0.5176991,-0.1989865,-0.2488472,-0.0498607
14,0.9063213,1.0307286,"('antisocial', 'social')",1.2393923,1.4057326,-0.8722285,-0.92783105,0.424495,0.5028767,0.0783817
15,0.41671744,0.20433472,"('boring', 'funny')",-0.6585478,-0.7859524,0.7087414,0.624524,0.155637,0.0143021,-0.1413349
16,-0.64914876,-0.6208758,"('unpopular', 'popular')",-0.5623594,-0.49957922,0.66503954,0.70795304,-0.1821562,-0.1375007,0.0446555
17,-0.17101151,-0.1759358,"('nasty', 'nice')",-0.50906605,-0.41442785,-0.3735336,-0.32721007,-0.3512037,-0.3058579,0.0453458
18,-0.5992959,-0.50345695,"('disagreeable', 'welcoming')",-0.2126194,-0.11299857,-0.31575188,-0.22984165,-0.3758891,-0.282099,0.0937901
19,-1.2235386,-1.2376506,"('inhospitable', 'hospitable')",-1.42748,-1.4958211,0.24880683,0.36726588,-0.8007372,-0.7887353,0.0120019
20,0.46609998,0.52385837,"('rough', 'thoughtful')",1.2209883,1.3267816,1.1070732,1.049236,0.9313871,0.9666254,0.0352383
21,0.3443159,0.37764725,"('immoral', 'moral')",0.9807587,0.9802127,-0.76858294,-0.75875056,0.1854972,0.1997031,0.0142059
22,0.24559315,0.24819979,"('untrustworthy', 'trustworthy')",0.5303575,0.43628633,-0.9230977,-1.0078481,-0.049049,-0.1077873,-0.0587383
23,-0.046233535,-0.02008579,"('insincere', 'sincere')",1.1191657,1.2117822,5.0386662,5.0810027,2.0371995,2.0908998,0.0537003
24,0.00081851333,-0.027412228,"('dishonest', 'honest')",-1.1187104,-1.0798203,0.6711602,0.6440231,-0.1489106,-0.1544031,-0.0054925
25,-0.38637155,-0.40350637,"('egoistic', 'altruistic')",0.5231397,0.45572853,1.4626049,1.376843,0.5331244,0.476355,-0.0567694
26,0.33348188,0.19319858,"('hardhearted', 'benevolent')",0.55282015,0.4136561,1.4704605,1.2593596,0.7855875,0.6220714,-0.1635161
