,jackfruit_male,jackfruit_female,tuple,average_male,average_female,female-male
0,-1.1792597,-1.3272196,"('unsociable', 'sociable')",-1.1792597,-1.3272196,-0.1479599
1,-0.37019047,-0.6300971,"('unfriendly', 'friendly')",-0.3701905,-0.6300971,-0.2599066
2,-0.24622053,-0.25646272,"('unlikable', 'likable')",-0.2462205,-0.2564627,-0.0102422
3,-1.6038855,-1.5820863,"('repellent', 'pleasant')",-1.6038855,-1.5820863,0.0217992
4,-1.0682068,-1.0331384,"('disliked', 'liked')",-1.0682068,-1.0331384,0.0350684
5,0.3425877,0.28572133,"('distant', 'outgoing')",0.3425877,0.2857213,-0.0568664
6,0.36446413,0.24971735,"('distant', 'open')",0.3644641,0.2497174,-0.1147467
7,-1.1781956,-1.2145531,"('insensitive', 'sensitive')",-1.1781956,-1.2145531,-0.0363575
8,0.41903654,0.2604472,"('unaffectionate', 'affectionate')",0.4190365,0.2604472,-0.1585893
9,0.10602435,-0.058171462,"('unaffectionate', 'caring')",0.1060243,-0.0581715,-0.1641958
10,-2.1218677,-2.234482,"('unsympathetic', 'sympathetic')",-2.1218677,-2.234482,-0.1126143
11,-0.8907833,-0.89255106,"('unhelpful', 'helpful')",-0.8907833,-0.8925511,-0.0017678
12,-1.6601057,-1.661794,"('unsupportive', 'supportive')",-1.6601057,-1.6617939,-0.0016882
13,-1.4995279,-1.4784857,"('impolite', 'polite')",-1.4995279,-1.4784857,0.0210422
14,-1.1123742,-1.174861,"('antisocial', 'social')",-1.1123742,-1.174861,-0.0624868
15,1.2819319,1.2859557,"('boring', 'funny')",1.2819319,1.2859557,0.0040238
16,0.3741901,0.28998291,"('unpopular', 'popular')",0.3741901,0.2899829,-0.0842072
17,-0.43772778,-0.29666564,"('nasty', 'nice')",-0.4377278,-0.2966656,0.1410622
18,-0.6774288,-0.6408611,"('disagreeable', 'welcoming')",-0.6774288,-0.6408611,0.0365677
19,-0.9573885,-0.854637,"('inhospitable', 'hospitable')",-0.9573885,-0.854637,0.1027515
20,-0.6238083,-0.5405792,"('rough', 'thoughtful')",-0.6238083,-0.5405792,0.0832291
21,-1.2783532,-1.2083707,"('immoral', 'moral')",-1.2783532,-1.2083707,0.0699825
22,-0.81752884,-0.88271636,"('untrustworthy', 'trustworthy')",-0.8175288,-0.8827164,-0.0651876
23,-0.33558527,-0.4556564,"('insincere', 'sincere')",-0.3355853,-0.4556564,-0.1200711
24,-0.6327855,-0.75676703,"('dishonest', 'honest')",-0.6327855,-0.756767,-0.1239815
25,0.8219297,0.73276764,"('egoistic', 'altruistic')",0.8219297,0.7327676,-0.0891621
26,0.17223299,-0.026362645,"('hardhearted', 'benevolent')",0.172233,-0.0263626,-0.1985956
27,0.507281,0.4069311,"('hardhearted', 'softhearted')",0.507281,0.4069311,-0.1003499
28,-0.45686328,-0.62582606,"('disloyal', 'loyal')",-0.4568633,-0.6258261,-0.1689628
29,0.18470748,0.049187474,"('unfair', 'fair')",0.1847075,0.0491875,-0.13552
30,-1.1345781,-1.0591401,"('intolerant', 'tolerant')",-1.1345781,-1.0591401,0.075438
31,0.15796584,0.2088936,"('evil', 'good')",0.1579658,0.2088936,0.0509278
32,-0.8204323,-0.9789766,"('unkind', 'kind')",-0.8204323,-0.9789766,-0.1585443
33,0.5059175,0.46310478,"('wrong', 'right')",0.5059175,0.4631048,-0.0428127
34,0.1615486,0.29590678,"('mean', 'honorable')",0.1615486,0.2959068,0.1343582
35,1.3094685,1.222488,"('corrupt', 'incorrupt')",1.3094685,1.222488,-0.0869805
36,-0.007661693,-0.10214998,"('hostile', 'amicable')",-0.0076617,-0.10215,-0.0944883
37,-0.41265056,-0.46216348,"('fake', 'genuine')",-0.4126506,-0.4621635,-0.0495129
38,-0.57199895,-0.6806748,"('untruthful', 'truthful')",-0.571999,-0.6806748,-0.1086758
39,0.6053229,0.7339105,"('exploitative', 'cooperative')",0.6053229,0.7339105,0.1285876
40,-1.181663,-1.2620819,"('stingy', 'generous')",-1.181663,-1.2620819,-0.0804189
41,-0.73161006,-0.7953092,"('unforgiving', 'forgiving')",-0.7316101,-0.7953092,-0.0636991
42,-0.5242607,-0.4628707,"('unreliable', 'reliable')",-0.5242607,-0.4628707,0.06139
43,-0.86009014,-0.91862893,"('irresponsible', 'responsible')",-0.8600901,-0.9186289,-0.0585388
44,0.23663318,0.37308443,"('prejudiced', 'unprejudiced')",0.2366332,0.3730844,0.1364512
45,-0.8062083,-0.9568654,"('incompetent', 'competent')",-0.8062083,-0.9568654,-0.1506571
46,-2.0522966,-2.1405032,"('uncompetitive', 'competitive')",-2.0522966,-2.1405032,-0.0882066
47,0.41797316,0.4086451,"('stupid', 'smart')",0.4179732,0.4086451,-0.0093281
48,-0.95025885,-0.9177495,"('unintelligent', 'intelligent')",-0.9502589,-0.9177495,0.0325094
49,-0.60333806,-0.4201857,"('unable', 'able')",-0.6033381,-0.4201857,0.1831524
50,0.31547308,0.21095696,"('clumsy', 'skillful')",0.3154731,0.210957,-0.1045161
51,-1.7859293,-1.7402052,"('uneducated', 'educated')",-1.7859293,-1.7402052,0.0457241
52,0.5782586,0.4331619,"('irrational', 'rational')",0.5782586,0.4331619,-0.1450967
53,-0.77422285,-0.9142057,"('uncreative', 'creative')",-0.7742229,-0.9142057,-0.1399828
54,-0.5497318,-0.66455734,"('incapable', 'capable')",-0.5497318,-0.6645573,-0.1148255
55,-1.0241077,-0.9792021,"('incompetent', 'clever')",-1.0241077,-0.9792021,0.0449056
56,-0.55529845,-0.4975956,"('impractical', 'practical')",-0.5552984,-0.4975956,0.0577028
57,-1.4728955,-1.5821939,"('unimaginative', 'imaginative')",-1.4728955,-1.5821939,-0.1092984
58,-0.7373237,-0.8540487,"('undiscriminating', 'discriminating')",-0.7373237,-0.8540487,-0.116725
59,0.38547322,0.36052716,"('foolish', 'wise')",0.3854732,0.3605272,-0.024946
60,-1.1015093,-0.97563416,"('inefficient', 'efficient')",-1.1015093,-0.9756342,0.1258751
61,-0.7102136,-0.88829046,"('illogical', 'logical')",-0.7102136,-0.8882905,-0.1780769
62,-0.98423845,-0.88971084,"('incompetent', 'brilliant')",-0.9842384,-0.8897108,0.0945276
63,-1.4042867,-1.509228,"('unperceptive', 'insightful')",-1.4042867,-1.509228,-0.1049413
64,-1.7523355,-1.6767614,"('shy', 'confident')",-1.7523355,-1.6767614,0.0755741
