,colleague_male,colleague_female,tuple,average_male,average_female,female-male
0,0.6073963,0.545955,"('unsociable', 'sociable')",0.6073963,0.545955,-0.0614413
1,0.7856711,0.8052757,"('unfriendly', 'friendly')",0.7856711,0.8052757,0.0196046
2,0.4424856,0.61672306,"('unlikable', 'likable')",0.4424856,0.6167231,0.1742375
3,1.1758003,1.2321649,"('repellent', 'pleasant')",1.1758003,1.2321649,0.0563646
4,-7.426628,-7.2219357,"('disliked', 'liked')",-7.4266281,-7.2219357,0.2046924
5,-0.7509602,-0.62604904,"('distant', 'outgoing')",-0.7509602,-0.626049,0.1249112
6,-0.41819203,-0.38174358,"('distant', 'open')",-0.418192,-0.3817436,0.0364484
7,1.6287733,1.5293759,"('insensitive', 'sensitive')",1.6287733,1.5293759,-0.0993974
8,0.6595464,0.6161441,"('unaffectionate', 'affectionate')",0.6595464,0.6161441,-0.0434023
9,1.0153246,1.0548536,"('unaffectionate', 'caring')",1.0153246,1.0548536,0.039529
10,1.9859811,1.8239148,"('unsympathetic', 'sympathetic')",1.9859811,1.8239148,-0.1620663
11,2.2453218,2.2061894,"('unhelpful', 'helpful')",2.2453218,2.2061894,-0.0391324
12,-1.0467035,-0.9616613,"('unsupportive', 'supportive')",-1.0467035,-0.9616613,0.0850422
13,0.61647755,0.56338936,"('impolite', 'polite')",0.6164775,0.5633894,-0.0530881
14,0.52553403,0.5215824,"('antisocial', 'social')",0.525534,0.5215824,-0.0039516
15,0.038317006,0.03899011,"('boring', 'funny')",0.038317,0.0389901,0.0006731
16,-0.873037,-0.6774384,"('unpopular', 'popular')",-0.873037,-0.6774384,0.1955986
17,0.07493936,0.090896934,"('nasty', 'nice')",0.0749394,0.0908969,0.0159575
18,-0.53254366,-0.44721204,"('disagreeable', 'welcoming')",-0.5325437,-0.447212,0.0853317
19,-0.724584,-0.68162787,"('inhospitable', 'hospitable')",-0.724584,-0.6816279,0.0429561
20,0.8096952,0.65491503,"('rough', 'thoughtful')",0.8096952,0.654915,-0.1547802
21,0.5852346,0.6779996,"('immoral', 'moral')",0.5852346,0.6779996,0.092765
22,0.68413484,0.60602313,"('untrustworthy', 'trustworthy')",0.6841348,0.6060231,-0.0781117
23,6.5500274,6.4745646,"('insincere', 'sincere')",6.5500274,6.4745646,-0.0754628
24,2.0219612,1.9431205,"('dishonest', 'honest')",2.0219612,1.9431205,-0.0788407
25,-0.0039633512,0.07416625,"('egoistic', 'altruistic')",-0.0039634,0.0741663,0.0781297
26,0.12026339,-0.010170177,"('hardhearted', 'benevolent')",0.1202634,-0.0101702,-0.1304336
27,1.6126025,1.381962,"('hardhearted', 'softhearted')",1.6126025,1.3819619,-0.2306406
28,1.0547496,0.9504718,"('disloyal', 'loyal')",1.0547496,0.9504718,-0.1042778
29,-0.2759238,-0.41102618,"('unfair', 'fair')",-0.2759238,-0.4110262,-0.1351024
30,1.3917001,1.3734359,"('intolerant', 'tolerant')",1.3917001,1.3734359,-0.0182642
31,-1.5477289,-1.4607949,"('evil', 'good')",-1.5477289,-1.4607949,0.086934
32,1.2962048,1.1999604,"('unkind', 'kind')",1.2962048,1.1999604,-0.0962444
33,-1.0452698,-0.9149205,"('wrong', 'right')",-1.0452698,-0.9149205,0.1303493
34,4.2524776,4.39042,"('mean', 'honorable')",4.2524776,4.39042,0.1379424
35,-1.497816,-1.624272,"('corrupt', 'incorrupt')",-1.497816,-1.624272,-0.126456
36,-1.3554811,-1.3373706,"('hostile', 'amicable')",-1.3554811,-1.3373706,0.0181105
37,0.78701144,0.7596658,"('fake', 'genuine')",0.7870114,0.7596658,-0.0273456
38,-0.1519235,-0.09305103,"('untruthful', 'truthful')",-0.1519235,-0.093051,0.0588725
39,0.19489236,0.17987345,"('exploitative', 'cooperative')",0.1948924,0.1798735,-0.0150189
40,-0.8675288,-0.91775274,"('stingy', 'generous')",-0.8675288,-0.9177527,-0.0502239
41,0.36631173,0.2458559,"('unforgiving', 'forgiving')",0.3663117,0.2458559,-0.1204558
42,-1.486702,-1.4364799,"('unreliable', 'reliable')",-1.486702,-1.4364799,0.0502221
43,1.7696538,1.7513102,"('irresponsible', 'responsible')",1.7696538,1.7513102,-0.0183436
44,-1.0854727,-1.1802678,"('prejudiced', 'unprejudiced')",-1.0854727,-1.1802678,-0.0947951
45,1.0030718,0.8312156,"('incompetent', 'competent')",1.0030718,0.8312156,-0.1718562
46,0.032454442,0.07227637,"('uncompetitive', 'competitive')",0.0324544,0.0722764,0.039822
47,5.611987,5.7000656,"('stupid', 'smart')",5.6119871,5.7000656,0.0880785
48,1.0457962,0.97628397,"('unintelligent', 'intelligent')",1.0457962,0.976284,-0.0695122
49,-0.4465548,-0.27005708,"('unable', 'able')",-0.4465548,-0.2700571,0.1764977
50,-0.20956922,-0.22554858,"('clumsy', 'skillful')",-0.2095692,-0.2255486,-0.0159794
51,0.86750376,0.86947435,"('uneducated', 'educated')",0.8675038,0.8694744,0.0019706
52,-0.91377664,-0.9171639,"('irrational', 'rational')",-0.9137766,-0.9171639,-0.0033873
53,0.10845708,0.13220176,"('uncreative', 'creative')",0.1084571,0.1322018,0.0237447
54,0.787479,0.88944125,"('incapable', 'capable')",0.787479,0.8894413,0.1019623
55,1.417523,1.4203169,"('incompetent', 'clever')",1.417523,1.4203169,0.0027939
56,0.97261983,1.0357704,"('impractical', 'practical')",0.9726198,1.0357704,0.0631506
57,-2.1545312,-2.1172292,"('unimaginative', 'imaginative')",-2.1545312,-2.1172292,0.037302
