,bestseller_male,bestseller_female,tuple,average_male,average_female,female-male
0,0.030605227,0.032063212,"('unsociable', 'sociable')",0.0306052,0.0320632,0.001458
1,0.53118813,0.39262003,"('unfriendly', 'friendly')",0.5311881,0.39262,-0.1385681
2,-0.03633454,0.033574317,"('unlikable', 'likable')",-0.0363345,0.0335743,0.0699088
3,1.0261532,1.0848686,"('repellent', 'pleasant')",1.0261532,1.0848686,0.0587154
4,-7.4608903,-7.5597014,"('disliked', 'liked')",-7.4608903,-7.5597014,-0.0988111
5,-0.9755641,-1.0706762,"('distant', 'outgoing')",-0.9755641,-1.0706762,-0.0951121
6,-0.46908307,-0.5892433,"('distant', 'open')",-0.4690831,-0.5892433,-0.1201602
7,1.0392467,1.1252617,"('insensitive', 'sensitive')",1.0392467,1.1252617,0.086015
8,0.7567803,0.60167587,"('unaffectionate', 'affectionate')",0.7567803,0.6016759,-0.1551044
9,1.0845337,1.043854,"('unaffectionate', 'caring')",1.0845337,1.043854,-0.0406797
10,1.640595,1.7181332,"('unsympathetic', 'sympathetic')",1.640595,1.7181332,0.0775382
11,1.3694235,1.3971844,"('unhelpful', 'helpful')",1.3694235,1.3971844,0.0277609
12,-1.5633979,-1.5838912,"('unsupportive', 'supportive')",-1.5633979,-1.5838912,-0.0204933
13,0.0044293404,0.020390794,"('impolite', 'polite')",0.0044293,0.0203908,0.0159615
14,0.42717716,0.466003,"('antisocial', 'social')",0.4271772,0.466003,0.0388258
15,-0.14779836,-0.2509528,"('boring', 'funny')",-0.1477984,-0.2509528,-0.1031544
16,-0.8182251,-0.7545443,"('unpopular', 'popular')",-0.8182251,-0.7545443,0.0636808
17,-0.8355997,-0.7713675,"('nasty', 'nice')",-0.8355997,-0.7713675,0.0642322
18,-0.43719953,-0.5303654,"('disagreeable', 'welcoming')",-0.4371995,-0.5303654,-0.0931659
19,-0.89015424,-0.98008144,"('inhospitable', 'hospitable')",-0.8901542,-0.9800814,-0.0899272
20,1.219666,1.2055858,"('rough', 'thoughtful')",1.219666,1.2055858,-0.0140802
21,0.13226788,0.25274342,"('immoral', 'moral')",0.1322679,0.2527434,0.1204755
22,-0.30816838,-0.2810331,"('untrustworthy', 'trustworthy')",-0.3081684,-0.2810331,0.0271353
23,6.4052033,6.4019237,"('insincere', 'sincere')",6.4052033,6.4019237,-0.0032796
24,1.5745447,1.4632183,"('dishonest', 'honest')",1.5745447,1.4632183,-0.1113264
25,0.6189712,0.5033455,"('egoistic', 'altruistic')",0.6189712,0.5033455,-0.1156257
26,0.44831342,0.38281754,"('hardhearted', 'benevolent')",0.4483134,0.3828175,-0.0654959
27,1.3824954,1.2321078,"('hardhearted', 'softhearted')",1.3824954,1.2321078,-0.1503876
28,0.7922976,0.72419304,"('disloyal', 'loyal')",0.7922976,0.724193,-0.0681046
29,-0.97061193,-1.0657119,"('unfair', 'fair')",-0.9706119,-1.0657119,-0.0951
30,1.0053928,1.0305961,"('intolerant', 'tolerant')",1.0053928,1.0305961,0.0252033
31,-1.9916321,-1.9793296,"('evil', 'good')",-1.9916321,-1.9793296,0.0123025
32,0.90590864,0.88296115,"('unkind', 'kind')",0.9059086,0.8829612,-0.0229474
33,-0.7784472,-0.8383732,"('wrong', 'right')",-0.7784472,-0.8383732,-0.059926
34,4.2994,4.3831763,"('mean', 'honorable')",4.2993999,4.3831763,0.0837764
35,-1.0521152,-1.272941,"('corrupt', 'incorrupt')",-1.0521152,-1.272941,-0.2208258
36,-1.3709623,-1.4923462,"('hostile', 'amicable')",-1.3709623,-1.4923462,-0.1213839
37,0.9953793,0.988233,"('fake', 'genuine')",0.9953793,0.988233,-0.0071463
38,-0.49997407,-0.50928366,"('untruthful', 'truthful')",-0.4999741,-0.5092837,-0.0093096
39,0.6606955,0.64775264,"('exploitative', 'cooperative')",0.6606955,0.6477526,-0.0129429
40,-1.2021453,-1.3440468,"('stingy', 'generous')",-1.2021453,-1.3440468,-0.1419015
41,0.0076813996,-0.013284212,"('unforgiving', 'forgiving')",0.0076814,-0.0132842,-0.0209656
42,-1.8466079,-1.8748554,"('unreliable', 'reliable')",-1.8466079,-1.8748554,-0.0282475
43,1.217433,1.2224566,"('irresponsible', 'responsible')",1.217433,1.2224566,0.0050236
44,-0.90039504,-0.85460895,"('prejudiced', 'unprejudiced')",-0.900395,-0.854609,0.045786
45,0.04079385,0.11006042,"('incompetent', 'competent')",0.0407939,0.1100604,0.0692665
46,-0.13510078,-0.11610071,"('uncompetitive', 'competitive')",-0.1351008,-0.1161007,0.0190001
47,5.0062323,5.132507,"('stupid', 'smart')",5.0062323,5.1325068,0.1262745
48,0.5268875,0.46770358,"('unintelligent', 'intelligent')",0.5268875,0.4677036,-0.0591839
49,0.14232734,0.16064483,"('unable', 'able')",0.1423273,0.1606448,0.0183175
50,-0.47029772,-0.5630921,"('clumsy', 'skillful')",-0.4702977,-0.5630921,-0.0927944
51,0.98754096,0.9337522,"('uneducated', 'educated')",0.987541,0.9337522,-0.0537888
52,-1.1528358,-1.2666957,"('irrational', 'rational')",-1.1528358,-1.2666957,-0.1138599
53,-0.3298504,-0.41147447,"('uncreative', 'creative')",-0.3298504,-0.4114745,-0.0816241
54,0.97834086,0.99441797,"('incapable', 'capable')",0.9783409,0.994418,0.0160771
55,1.1930332,1.2636379,"('incompetent', 'clever')",1.1930332,1.2636379,0.0706047
56,0.8846372,0.8969272,"('impractical', 'practical')",0.8846372,0.8969272,0.01229
57,-2.372188,-2.3248854,"('unimaginative', 'imaginative')",-2.3721881,-2.3248854,0.0473027
58,-0.01461589,-0.06009389,"('undiscriminating', 'discriminating')",-0.0146159,-0.0600939,-0.045478
59,-0.5360026,-0.6338464,"('foolish', 'wise')",-0.5360026,-0.6338464,-0.0978438
60,1.0065415,1.1250391,"('inefficient', 'efficient')",1.0065415,1.1250391,0.1184976
61,0.2523554,0.11409271,"('illogical', 'logical')",0.2523554,0.1140927,-0.1382627
62,0.73810416,0.87667674,"('incompetent', 'brilliant')",0.7381042,0.8766767,0.1385725
63,0.35710603,0.3761011,"('unperceptive', 'insightful')",0.357106,0.3761011,0.0189951
64,-5.68887,-5.6045966,"('shy', 'confident')",-5.68887,-5.6045966,0.0842734
65,0.4309902,0.5105675,"('insecure', 'secure')",0.4309902,0.5105675,0.0795773
66,-0.1492491,-0.16498232,"('inactive', 'active')",-0.1492491,-0.1649823,-0.0157332
67,-0.1996698,-0.14665811,"('doubtful', 'determined')",-0.1996698,-0.1466581,0.0530117
68,-0.41044855,-0.48482358,"('dependent', 'independent')",-0.4104486,-0.4848236,-0.074375
69,-2.4147143,-2.4525883,"('lazy', 'industrious')",-2.4147143,-2.4525883,-0.037874
70,1.7147692,1.7696719,"('lethargic', 'energetic')",1.7147692,1.7696719,0.0549027
71,0.36911443,0.36178708,"('diffident', 'self-confident')",0.3691144,0.3617871,-0.0073273
72,0.9516367,1.0678477,"('unambitious', 'ambitious')",0.9516367,1.0678477,0.116211
73,-3.0971675,-3.098194,"('helpless', 'self-reliant')",-3.0971675,-3.0981939,-0.0010264
74,0.36169216,0.2698936,"('undedicated', 'dedicated')",0.3616922,0.2698936,-0.0917986
75,-1.1476759,-1.0410062,"('meek', 'impulsive')",-1.1476759,-1.0410062,0.1066697
