,expeditors_male,expeditors_female,tuple,international_male,international_female,wa_male,wa_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.7592185,-0.93181396,"('unsociable', 'sociable')",0.31345046,0.20321605,0.30741328,0.19162412,-0.6669686,-0.7313653,-0.2013308,-0.3170848,-0.115754
1,-1.6374724,-1.624314,"('unfriendly', 'friendly')",-1.0310552,-1.0199451,-0.6321539,-0.53096974,1.8501327,1.7595216,-0.3626372,-0.3539267,0.0087105
2,0.53164506,0.5136303,"('unlikable', 'likable')",1.2454845,1.2062156,1.3128544,1.3187987,0.64487565,0.6397331,0.9337149,0.9195944,-0.0141205
3,-0.715981,-0.65227073,"('repellent', 'pleasant')",0.45186773,0.5214883,1.5210978,1.6096942,0.38913807,0.4915682,0.4115306,0.49262,0.0810894
4,0.56744695,0.568194,"('disliked', 'liked')",-0.35176677,-0.38496155,-1.6884319,-1.7690797,-6.473314,-6.5386558,-1.9865164,-2.0311258,-0.0446094
5,0.05464706,0.24143793,"('distant', 'outgoing')",-0.7219462,-0.5830932,-2.2229042,-2.090659,-0.05428591,0.025914863,-0.7361224,-0.6015998,0.1345226
6,-0.62195,-0.4155072,"('distant', 'open')",-0.9511652,-0.77944946,-2.3249032,-2.1490211,0.40612492,0.5204315,-0.8729734,-0.7058866,0.1670868
7,-0.16389623,-0.14828205,"('insensitive', 'sensitive')",0.51662135,0.5418242,1.5232137,1.6592805,0.8987045,1.0094206,0.6936609,0.7655608,0.0718999
8,-1.7467192,-1.7548327,"('unaffectionate', 'affectionate')",-1.3617647,-1.3768327,-2.9754946,-2.8724618,0.71078193,0.65306604,-1.3432992,-1.3377653,0.0055339
9,-1.3648098,-1.3427384,"('unaffectionate', 'caring')",-0.40361512,-0.37257707,-0.82161564,-0.739487,1.3214961,1.3444906,-0.3171361,-0.277578,0.0395581
10,-0.9545289,-1.051523,"('unsympathetic', 'sympathetic')",-0.109195516,-0.08137799,1.126625,1.189306,-0.6502274,-0.54970336,-0.1468317,-0.1233246,0.0235071
11,0.46760276,0.39157704,"('unhelpful', 'helpful')",1.1110597,1.1081653,0.9105369,0.9108382,1.6444802,1.7576622,1.0334198,1.0420606,0.0086408
12,0.31043857,0.45746994,"('unsupportive', 'supportive')",0.59593177,0.75150347,-0.021046005,0.14332095,-1.802513,-1.7025954,-0.2292972,-0.0875753,0.1417219
