,jeweller_male,jeweller_female,tuple,average_male,average_female,female-male
0,0.86929065,0.8396977,"('unsociable', 'sociable')",0.8692906,0.8396977,-0.0295929
1,0.28287238,0.23789206,"('unfriendly', 'friendly')",0.2828724,0.2378921,-0.0449803
2,0.70735455,0.7106122,"('unlikable', 'likable')",0.7073545,0.7106122,0.0032577
3,-0.35623425,-0.14742109,"('repellent', 'pleasant')",-0.3562343,-0.1474211,0.2088132
4,-3.1927657,-3.218719,"('disliked', 'liked')",-3.1927657,-3.218719,-0.0259533
5,-0.58209896,-0.55786407,"('distant', 'outgoing')",-0.582099,-0.5578641,0.0242349
6,-0.6356521,-0.6131661,"('distant', 'open')",-0.6356521,-0.6131661,0.022486
7,0.8807409,0.9484179,"('insensitive', 'sensitive')",0.8807409,0.9484179,0.067677
8,0.4591614,0.2916646,"('unaffectionate', 'affectionate')",0.4591614,0.2916646,-0.1674968
9,0.6323505,0.5505862,"('unaffectionate', 'caring')",0.6323505,0.5505862,-0.0817643
10,0.06558413,0.15027276,"('unsympathetic', 'sympathetic')",0.0655841,0.1502728,0.0846887
11,0.58947533,0.60507876,"('unhelpful', 'helpful')",0.5894753,0.6050788,0.0156035
12,-0.7487919,-0.73352754,"('unsupportive', 'supportive')",-0.7487919,-0.7335275,0.0152644
13,0.761992,0.69543916,"('impolite', 'polite')",0.761992,0.6954392,-0.0665528
14,0.7906252,0.7470635,"('antisocial', 'social')",0.7906252,0.7470635,-0.0435617
15,0.47478572,0.36077413,"('boring', 'funny')",0.4747857,0.3607741,-0.1140116
16,0.32695907,0.4052016,"('unpopular', 'popular')",0.3269591,0.4052016,0.0782425
17,-0.08873491,-0.021577522,"('nasty', 'nice')",-0.0887349,-0.0215775,0.0671574
18,-0.96056217,-0.9150684,"('disagreeable', 'welcoming')",-0.9605622,-0.9150684,0.0454938
19,-0.42439586,-0.28354618,"('inhospitable', 'hospitable')",-0.4243959,-0.2835462,0.1408497
20,0.3933435,0.45716694,"('rough', 'thoughtful')",0.3933435,0.4571669,0.0638234
21,-0.37207645,-0.21602398,"('immoral', 'moral')",-0.3720765,-0.216024,0.1560525
22,-0.4794423,-0.53867185,"('untrustworthy', 'trustworthy')",-0.4794423,-0.5386719,-0.0592296
23,3.3757946,3.4238138,"('insincere', 'sincere')",3.3757946,3.4238138,0.0480192
24,-0.030075304,-0.13105538,"('dishonest', 'honest')",-0.0300753,-0.1310554,-0.1009801
25,0.6103188,0.64366823,"('egoistic', 'altruistic')",0.6103188,0.6436682,0.0333494
26,0.6672126,0.54482937,"('hardhearted', 'benevolent')",0.6672126,0.5448294,-0.1223832
27,-0.1857889,-0.2662932,"('hardhearted', 'softhearted')",-0.1857889,-0.2662932,-0.0805043
28,0.90130055,0.7887532,"('disloyal', 'loyal')",0.9013005,0.7887532,-0.1125473
29,-0.8549536,-0.8660932,"('unfair', 'fair')",-0.8549536,-0.8660932,-0.0111396
30,0.10258599,0.0759202,"('intolerant', 'tolerant')",0.102586,0.0759202,-0.0266658
31,-1.8502603,-1.8032054,"('evil', 'good')",-1.8502603,-1.8032054,0.0470549
32,1.0123762,0.9793978,"('unkind', 'kind')",1.0123762,0.9793978,-0.0329784
33,-0.029643498,-0.08810216,"('wrong', 'right')",-0.0296435,-0.0881022,-0.0584587
34,2.523531,2.7399929,"('mean', 'honorable')",2.523531,2.7399929,0.2164619
35,-0.8245417,-0.9095916,"('corrupt', 'incorrupt')",-0.8245417,-0.9095916,-0.0850499
36,-0.57900506,-0.5801015,"('hostile', 'amicable')",-0.5790051,-0.5801015,-0.0010964
37,-0.22714223,-0.20320787,"('fake', 'genuine')",-0.2271422,-0.2032079,0.0239343
38,0.5985951,0.6130559,"('untruthful', 'truthful')",0.5985951,0.6130559,0.0144608
39,0.06941296,0.06849397,"('exploitative', 'cooperative')",0.069413,0.068494,-0.000919
40,-1.370694,-1.4368386,"('stingy', 'generous')",-1.370694,-1.4368386,-0.0661446
41,-0.014146831,-0.03803756,"('unforgiving', 'forgiving')",-0.0141468,-0.0380376,-0.0238908
42,-0.83330095,-0.78269726,"('unreliable', 'reliable')",-0.8333009,-0.7826973,0.0506036
43,0.71746665,0.7215072,"('irresponsible', 'responsible')",0.7174667,0.7215072,0.0040405
44,-1.6251069,-1.6214819,"('prejudiced', 'unprejudiced')",-1.6251069,-1.6214819,0.003625
45,0.4695868,0.48287508,"('incompetent', 'competent')",0.4695868,0.4828751,0.0132883
46,0.05892628,0.12581664,"('uncompetitive', 'competitive')",0.0589263,0.1258166,0.0668903
47,3.1930487,3.2490158,"('stupid', 'smart')",3.1930487,3.2490158,0.0559671
48,-0.5194595,-0.5648255,"('unintelligent', 'intelligent')",-0.5194595,-0.5648255,-0.045366
49,-0.4108066,-0.2685144,"('unable', 'able')",-0.4108066,-0.2685144,0.1422922
