,brighthouse_male,brighthouse_female,tuple,financial_male,financial_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.39574984,-0.49444035,"('unsociable', 'sociable')",0.97013134,0.7373661,-0.5448482,-0.7200708,0.0098444,-0.1590483,-0.1688927
1,-1.3122991,-1.194874,"('unfriendly', 'friendly')",1.5742943,1.3723383,2.0410602,1.7952112,0.7676851,0.6575585,-0.1101266
2,0.5653589,0.6595089,"('unlikable', 'likable')",2.499579,2.631605,0.7084629,0.86177397,1.2578003,1.3842959,0.1264956
3,-0.7533916,-0.58027667,"('repellent', 'pleasant')",0.09709966,0.14923583,0.10492122,0.21148907,-0.1837902,-0.0731839,0.1106063
4,-0.17188671,-0.084928,"('disliked', 'liked')",-0.27386627,-0.28677338,-6.53792,-6.543777,-2.327891,-2.3051594,0.0227316
5,-0.74746364,-0.671839,"('distant', 'outgoing')",0.26401013,0.26700535,-0.16838184,-0.098849446,-0.2172784,-0.1678944,0.049384
6,-1.2789689,-1.1073391,"('distant', 'open')",-0.66851085,-0.6672157,0.39768928,0.41693676,-0.5165968,-0.4525394,0.0640574
7,0.5864038,0.65758157,"('insensitive', 'sensitive')",0.78527117,0.8683369,0.6315721,0.4695197,0.6677491,0.6651461,-0.002603
8,-0.6198528,-0.5726415,"('unaffectionate', 'affectionate')",0.08738573,0.052835584,0.5126949,0.41899922,-0.0065907,-0.0336022,-0.0270115
9,-0.40410605,-0.32561934,"('unaffectionate', 'caring')",1.5342664,1.4585873,1.0453769,1.0000454,0.725179,0.7110044,-0.0141746
10,-0.2740243,-0.22773549,"('unsympathetic', 'sympathetic')",-0.18797196,-0.09371254,-0.18991087,-0.35114026,-0.2173024,-0.2241961,-0.0068937
11,0.39684707,0.49259332,"('unhelpful', 'helpful')",0.567438,0.6079007,2.1779885,2.2157972,1.0474246,1.1054304,0.0580058
12,0.62950706,0.86961657,"('unsupportive', 'supportive')",1.3913947,1.5543884,-1.9827173,-2.0027528,0.0127281,0.1404174,0.1276893
13,0.8018529,0.68369377,"('impolite', 'polite')",0.7926207,0.76546425,-0.087140255,-0.17264992,0.5024445,0.4255027,-0.0769418
14,0.9017002,0.8792489,"('antisocial', 'social')",2.0254574,2.0984533,-0.8375365,-0.89650524,0.6965404,0.6937323,-0.0028081
15,-0.08548805,-0.12429914,"('boring', 'funny')",-0.4057448,-0.38890597,0.36626345,0.3401935,-0.0416565,-0.0576705,-0.016014
16,-1.0773981,-0.9235719,"('unpopular', 'popular')",-0.45194024,-0.38398013,0.48237032,0.53157616,-0.3489893,-0.2586586,0.0903307
17,-0.070354,0.04685635,"('nasty', 'nice')",-0.30835176,-0.14968008,-0.6118668,-0.48553258,-0.3301908,-0.1961188,0.134072
18,-0.06856568,0.12252499,"('disagreeable', 'welcoming')",-0.31028855,-0.16570687,-0.26448706,-0.25076538,-0.2144471,-0.0979824,0.1164647
19,-0.5456504,-0.40918615,"('inhospitable', 'hospitable')",-0.63294786,-0.6639907,-0.08049149,-0.017231222,-0.4196966,-0.3634694,0.0562272
20,-0.07403866,-0.006238941,"('rough', 'thoughtful')",0.41435003,0.44977155,0.9299649,0.89097804,0.4234254,0.4448369,0.0214115
21,1.011692,1.0130261,"('immoral', 'moral')",1.0640455,1.1333829,-0.66523033,-0.65279245,0.4701691,0.4978722,0.0277031
22,0.36915064,0.4297507,"('untrustworthy', 'trustworthy')",-0.40874138,-0.44250765,-1.1548938,-1.224608,-0.3981615,-0.412455,-0.0142935
23,-0.00044628512,0.05061362,"('insincere', 'sincere')",1.1398787,1.1211494,6.0527797,5.885375,2.397404,2.3523793,-0.0450247
24,0.64850175,0.59186137,"('dishonest', 'honest')",0.4165067,0.4697996,0.7616362,0.61971545,0.6088816,0.5604588,-0.0484228
25,-0.95130944,-0.9048856,"('egoistic', 'altruistic')",-0.23702073,-0.19906108,1.2804778,1.2094822,0.0307159,0.0351785,0.0044626
26,-0.26427734,-0.29162616,"('hardhearted', 'benevolent')",1.6963366,1.7049232,1.5057396,1.3306689,0.9792663,0.9146553,-0.064611
27,-0.42567748,-0.28604332,"('hardhearted', 'softhearted')",-0.03818682,0.010933936,1.6010814,1.4437059,0.3790723,0.3895322,0.0104599
28,-0.69361657,-0.7471742,"('disloyal', 'loyal')",0.10596056,-0.06191213,0.9979663,0.7814436,0.1367701,-0.0092142,-0.1459843
29,0.10107,0.047531284,"('unfair', 'fair')",-0.12986559,-0.16511628,-0.4561863,-0.680771,-0.1616606,-0.2661187,-0.1044581
30,0.49629334,0.53979695,"('intolerant', 'tolerant')",1.1419322,1.2347363,1.2228261,1.2006123,0.9536839,0.9917152,0.0380313
