,hewlett_male,hewlett_female,tuple,packard_male,packard_female,enterprise_male,enterprise_female,co_male,co_female,average_male,average_female,female-male
0,-3.8337564,-3.9165728,"('unsociable', 'sociable')",-0.38276944,-0.5438854,0.02563826,-0.07653063,0.10378955,-4.4083223e-05,-1.0217746,-1.1342582,-0.1124836
1,-1.162498,-1.3817743,"('unfriendly', 'friendly')",1.6453326,1.4575572,-0.473032,-0.6934473,1.6975707,1.6051073,0.4268433,0.2468607,-0.1799826
2,0.25131202,0.27395976,"('unlikable', 'likable')",0.49061078,0.5452286,1.0093654,1.1161381,0.7298446,0.87260497,0.6202832,0.7019829,0.0816997
3,-1.5428554,-1.5914464,"('repellent', 'pleasant')",-1.7612059,-1.7042953,0.06674168,0.077980645,0.6021969,0.7052638,-0.6587807,-0.6281242,0.0306565
4,1.6014862,1.5707743,"('disliked', 'liked')",-0.38108814,-0.41882026,-0.24916293,-0.27965164,-6.820518,-6.8730454,-1.4623207,-1.5001857,-0.037865
5,2.656677,2.6775155,"('distant', 'outgoing')",0.98368734,0.997257,-0.18752688,-0.1039635,-0.2989198,-0.19705579,0.7884794,0.8434383,0.0549589
6,2.7862508,2.8318746,"('distant', 'open')",1.0110296,1.055968,-0.42575213,-0.36768082,-0.005307149,0.11169641,0.8415552,0.9079646,0.0664094
7,-2.7738657,-2.8774626,"('insensitive', 'sensitive')",-0.21004586,-0.2426629,0.12711018,0.13427615,0.16123727,0.1622601,-0.673891,-0.7058973,-0.0320063
8,-0.18533856,-0.18773699,"('unaffectionate', 'affectionate')",1.675246,1.6299067,0.028590977,-0.048962466,0.68908805,0.6182567,0.5518966,0.502866,-0.0490306
9,-1.012542,-1.0614946,"('unaffectionate', 'caring')",1.5067315,1.4513366,0.42120567,0.38386074,1.3179723,1.2923585,0.5583419,0.5165153,-0.0418266
10,-5.7099657,-5.7510743,"('unsympathetic', 'sympathetic')",-1.10733,-1.1113324,-0.54944247,-0.5769698,-0.26394975,-0.2561466,-1.9076719,-1.9238807,-0.0162088
11,-2.6379094,-2.6260304,"('unhelpful', 'helpful')",0.21012689,0.1880652,0.09534879,0.123630226,2.1368735,2.1430798,-0.0488901,-0.0428138,0.0060763
12,-1.9148688,-1.822537,"('unsupportive', 'supportive')",0.5189885,0.62226933,0.22444785,0.35754672,-1.8683494,-1.842195,-0.7599455,-0.671229,0.0887165
13,-3.2570677,-3.3357399,"('impolite', 'polite')",-0.8237097,-0.8981858,0.6836616,0.7156025,-0.230289,-0.286267,-0.9068512,-0.9511476,-0.0442964
14,-2.8359327,-2.9477096,"('antisocial', 'social')",-0.10460344,-0.23039822,1.9343346,1.9210011,-0.03994469,-0.1866098,-0.2615366,-0.3609291,-0.0993925
15,0.7181391,0.6461625,"('boring', 'funny')",0.58010966,0.41187245,0.32597786,0.27864844,0.29772994,0.25385994,0.4804891,0.3976358,-0.0828533
16,1.0128084,0.9793047,"('unpopular', 'popular')",-0.607899,-0.7046141,-0.5746282,-0.64503103,0.2174147,0.11260356,0.011924,-0.0644342,-0.0763582
17,0.23302516,0.30094546,"('nasty', 'nice')",-0.9075423,-0.9190762,-0.8194719,-0.75919455,-0.24882263,-0.21095477,-0.4357029,-0.39707,0.0386329
18,0.6704695,0.66912764,"('disagreeable', 'welcoming')",1.2154403,1.291359,-0.2432462,-0.21310806,-0.5453317,-0.51981866,0.274333,0.30689,0.032557
19,1.2186111,1.3444139,"('inhospitable', 'hospitable')",0.86562055,0.9234172,-0.7317157,-0.70119894,-0.3985526,-0.29320905,0.2384908,0.3183558,0.079865
20,-0.769736,-0.7696103,"('rough', 'thoughtful')",0.14296623,0.13182679,0.69366735,0.6887069,0.8210107,0.80460024,0.2219771,0.2138809,-0.0080962
21,-3.4114969,-3.4697192,"('immoral', 'moral')",-1.6141642,-1.6739866,0.29723457,0.22785282,-0.6673771,-0.6225241,-1.3489509,-1.3845943,-0.0356434
