,median_male,median_female,tuple,average_male,average_female,female-male
0,0.07069983,0.037253227,"('unsociable', 'sociable')",0.0706998,0.0372532,-0.0334466
1,0.8359529,0.7446678,"('unfriendly', 'friendly')",0.8359529,0.7446678,-0.0912851
2,0.08035036,0.17565541,"('unlikable', 'likable')",0.0803504,0.1756554,0.095305
3,1.0431416,1.0469885,"('repellent', 'pleasant')",1.0431416,1.0469885,0.0038469
4,-6.9248595,-7.1735973,"('disliked', 'liked')",-6.9248595,-7.1735973,-0.2487378
5,-0.6029731,-0.6799005,"('distant', 'outgoing')",-0.6029731,-0.6799005,-0.0769274
6,0.15076259,0.033741433,"('distant', 'open')",0.1507626,0.0337414,-0.1170212
7,1.0688775,1.1335536,"('insensitive', 'sensitive')",1.0688775,1.1335536,0.0646761
8,1.0306398,0.83569545,"('unaffectionate', 'affectionate')",1.0306398,0.8356954,-0.1949444
9,1.5432581,1.5118668,"('unaffectionate', 'caring')",1.5432581,1.5118668,-0.0313913
10,1.0558829,1.1176887,"('unsympathetic', 'sympathetic')",1.0558829,1.1176887,0.0618058
11,1.1632632,1.2347859,"('unhelpful', 'helpful')",1.1632632,1.2347859,0.0715227
12,-1.7502407,-1.8343419,"('unsupportive', 'supportive')",-1.7502407,-1.8343419,-0.0841012
13,-0.35658383,-0.3105603,"('impolite', 'polite')",-0.3565838,-0.3105603,0.0460235
14,-0.12483679,-0.11203093,"('antisocial', 'social')",-0.1248368,-0.1120309,0.0128059
15,-0.04498967,-0.111812524,"('boring', 'funny')",-0.0449897,-0.1118125,-0.0668228
16,-0.3064317,-0.3597957,"('unpopular', 'popular')",-0.3064317,-0.3597957,-0.053364
17,-0.12776071,-0.12430126,"('nasty', 'nice')",-0.1277607,-0.1243013,0.0034594
18,-0.48344147,-0.47635296,"('disagreeable', 'welcoming')",-0.4834415,-0.476353,0.0070885
19,-0.7181548,-0.73385817,"('inhospitable', 'hospitable')",-0.7181548,-0.7338582,-0.0157034
20,0.84144866,0.7547453,"('rough', 'thoughtful')",0.8414487,0.7547453,-0.0867034
21,-0.18465781,-0.004577685,"('immoral', 'moral')",-0.1846578,-0.0045777,0.1800801
22,-0.3764275,-0.38909566,"('untrustworthy', 'trustworthy')",-0.3764275,-0.3890957,-0.0126682
23,5.742268,5.8934374,"('insincere', 'sincere')",5.7422681,5.8934374,0.1511693
24,1.5799767,1.5818908,"('dishonest', 'honest')",1.5799767,1.5818908,0.0019141
25,0.45510954,0.359407,"('egoistic', 'altruistic')",0.4551095,0.359407,-0.0957025
26,0.79523206,0.7011993,"('hardhearted', 'benevolent')",0.7952321,0.7011993,-0.0940328
27,1.6541544,1.445836,"('hardhearted', 'softhearted')",1.6541544,1.4458359,-0.2083185
28,1.0352496,1.0297936,"('disloyal', 'loyal')",1.0352496,1.0297936,-0.005456
29,-0.5654868,-0.7311566,"('unfair', 'fair')",-0.5654868,-0.7311566,-0.1656698
30,0.76577693,0.8872305,"('intolerant', 'tolerant')",0.7657769,0.8872305,0.1214536
31,-1.0325106,-1.1805966,"('evil', 'good')",-1.0325106,-1.1805966,-0.148086
32,1.122239,1.0842696,"('unkind', 'kind')",1.122239,1.0842696,-0.0379694
33,-0.3938464,-0.46928713,"('wrong', 'right')",-0.3938464,-0.4692871,-0.0754407
34,4.1898775,4.416629,"('mean', 'honorable')",4.1898775,4.4166288,0.2267513
