,idexx_male,idexx_female,tuple,laboratories_male,laboratories_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.82286215,-0.9431539,"('unsociable', 'sociable')",0.5922122,0.4302266,-0.69893754,-0.7966614,-0.3098625,-0.4365296,-0.1266671
1,-1.8912636,-2.1632726,"('unfriendly', 'friendly')",0.2661819,-0.03340845,1.8866976,1.7791535,0.0872053,-0.1391759,-0.2263812
2,0.18249251,0.28913292,"('unlikable', 'likable')",0.16957647,0.22598952,0.34714726,0.46890712,0.2330721,0.3280098,0.0949377
3,-0.34250847,-0.27565965,"('repellent', 'pleasant')",0.13491046,0.13616842,0.20709115,0.2748446,-0.0001689,0.0451178,0.0452867
4,-0.7131115,-0.85070324,"('disliked', 'liked')",-0.66166407,-0.7857457,-6.310293,-6.439879,-2.5616897,-2.6921094,-0.1304197
5,-1.6109974,-1.6679914,"('distant', 'outgoing')",-1.3455968,-1.3363512,-0.03165066,-0.012696786,-0.9960816,-1.0056798,-0.0095982
6,-1.6732134,-1.7526661,"('distant', 'open')",-1.3947512,-1.4123513,0.70680815,0.7461358,-0.7870522,-0.8062939,-0.0192417
7,-0.5639274,-0.5181585,"('insensitive', 'sensitive')",-0.20090911,-0.2464838,0.5927527,0.63586557,-0.0573613,-0.0429256,0.0144357
8,-1.2051973,-1.3315036,"('unaffectionate', 'affectionate')",-0.0054563545,-0.08535792,1.1507521,1.0759641,-0.0199672,-0.1136325,-0.0936653
9,-1.6498934,-1.8063514,"('unaffectionate', 'caring')",-0.045784205,-0.110881135,1.3712969,1.3684394,-0.1081269,-0.182931,-0.0748041
10,-1.3444147,-1.2865309,"('unsympathetic', 'sympathetic')",-0.34982163,-0.4209652,-0.5742558,-0.52222586,-0.7561641,-0.7432407,0.0129234
11,-0.57264465,-0.49139282,"('unhelpful', 'helpful')",-0.39216414,-0.3573417,1.1816885,1.3364706,0.0722932,0.1625787,0.0902855
12,-0.74709034,-0.73301315,"('unsupportive', 'supportive')",-0.14281718,-0.099896416,-1.8665375,-1.8433758,-0.918815,-0.8920951,0.0267199
13,-0.218434,-0.16952853,"('impolite', 'polite')",-0.013953295,-0.015923698,-0.52205575,-0.4939962,-0.251481,-0.2264828,0.0249982
14,0.59970325,0.6736809,"('antisocial', 'social')",1.1140003,1.151054,-0.57613194,-0.6032967,0.3791906,0.4071461,0.0279555
15,0.5437799,0.4647546,"('boring', 'funny')",-0.10064907,-0.12446396,0.69003415,0.64993405,0.3777217,0.3300749,-0.0476468
16,-0.53046125,-0.56299216,"('unpopular', 'popular')",0.04601531,0.006099887,0.4650887,0.4926973,-0.0064524,-0.0213983,-0.0149459
17,-0.54831845,-0.5067815,"('nasty', 'nice')",-0.9866031,-0.96028215,-0.28189066,-0.22105953,-0.6056041,-0.5627077,0.0428964
18,-0.3320799,-0.40922314,"('disagreeable', 'welcoming')",0.19060302,0.10418471,-0.27088627,-0.2786098,-0.1374544,-0.1945494,-0.057095
19,-1.5620917,-1.6053106,"('inhospitable', 'hospitable')",-1.4841889,-1.5440652,0.09718585,0.15144463,-0.9830316,-0.9993104,-0.0162788
20,0.18218571,0.16472718,"('rough', 'thoughtful')",1.5040059,1.5760772,0.91850793,0.85886925,0.8682332,0.8665579,-0.0016753
21,-0.21504934,-0.20828643,"('immoral', 'moral')",0.48430428,0.40132093,-1.1300995,-1.0791677,-0.2869482,-0.2953777,-0.0084295
22,0.036633074,0.08166883,"('untrustworthy', 'trustworthy')",0.44016975,0.29928362,-0.8825337,-0.94530046,-0.1352436,-0.188116,-0.0528724
23,-1.021606,-1.1078953,"('insincere', 'sincere')",-0.020424116,-0.109561935,5.325054,5.3737082,1.4276746,1.385417,-0.0422576
24,-0.5466487,-0.50137365,"('dishonest', 'honest')",-0.53624547,-0.51999176,0.7447876,0.71301454,-0.1127022,-0.1027836,0.0099186
25,-0.7748547,-0.8276217,"('egoistic', 'altruistic')",1.0692515,1.1042387,1.8352251,1.750687,0.709874,0.6757681,-0.0341059
26,0.0012842175,-0.12813416,"('hardhearted', 'benevolent')",1.3280615,1.2701315,1.7601085,1.6183486,1.0298181,0.9201153,-0.1097028
27,-0.76232636,-0.66765994,"('hardhearted', 'softhearted')",-0.35481232,-0.2549686,1.6807818,1.5769114,0.1878811,0.2180943,0.0302132
28,-0.5791756,-0.69976264,"('disloyal', 'loyal')",0.15131684,0.029176395,0.99472034,0.86624837,0.1889539,0.0652207,-0.1237332
29,-0.6292295,-0.6974867,"('unfair', 'fair')",-0.5788122,-0.5776892,-0.2173218,-0.39714965,-0.4751211,-0.5574418,-0.0823207
30,0.7421394,0.71704537,"('intolerant', 'tolerant')",0.48197305,0.4026987,0.9559129,0.9767235,0.7266751,0.6988225,-0.0278526
