,activision_male,activision_female,tuple,blizzard_male,blizzard_female,inc_male,inc_female,average_male,average_female,female-male
0,-2.6380804,-2.7799752,"('unsociable', 'sociable')",-0.96159804,-1.1491312,-0.9923837,-1.2198868,-1.5306873,-1.716331,-0.1856437
1,-1.1144854,-1.2493962,"('unfriendly', 'friendly')",0.5951369,0.47428846,1.0038861,0.6424219,0.1615125,-0.0442286,-0.2057411
2,-0.06302661,-0.044194065,"('unlikable', 'likable')",-0.60727507,-0.62866426,0.47674313,0.56980664,-0.0645195,-0.0343506,0.0301689
3,-1.1657548,-1.0518944,"('repellent', 'pleasant')",-1.0757698,-1.041318,-0.04114362,0.04023203,-0.7608895,-0.6843269,0.0765626
4,0.23742421,0.21931595,"('disliked', 'liked')",-1.4729594,-1.5060799,-4.9180546,-4.972912,-2.0511966,-2.0865587,-0.0353621
5,0.90121794,0.9129888,"('distant', 'outgoing')",1.0513806,1.1317579,-0.1278447,-0.088357165,0.6082513,0.6521298,0.0438785
6,0.40390906,0.42830673,"('distant', 'open')",0.18357101,0.27274632,-0.023298644,-0.05692298,0.1880605,0.21471,0.0266495
7,-2.0855968,-2.067258,"('insensitive', 'sensitive')",-0.83959806,-0.8379475,-0.1736644,-0.22467726,-1.032953,-1.0432942,-0.0103412
8,-0.8936556,-0.9849173,"('unaffectionate', 'affectionate')",0.6354335,0.5837573,-0.22136056,-0.35711014,-0.1598609,-0.2527567,-0.0928958
9,-1.0210807,-1.1637464,"('unaffectionate', 'caring')",0.8537492,0.77132434,0.4710334,0.329559,0.101234,-0.0209543,-0.1221883
10,-3.3082352,-3.3660386,"('unsympathetic', 'sympathetic')",-1.6143533,-1.7425499,-1.0542825,-1.2636738,-1.9922903,-2.1240873,-0.131797
11,-1.6649317,-1.6948211,"('unhelpful', 'helpful')",0.14902237,0.15848969,1.7635038,1.625263,0.0825315,0.0296439,-0.0528876
12,-1.7004392,-1.6894921,"('unsupportive', 'supportive')",0.4515334,0.47846687,-1.7309735,-1.7942435,-0.9932931,-1.0017562,-0.0084631
13,-2.332054,-2.3441045,"('impolite', 'polite')",-1.1433834,-1.1890663,-0.59175855,-0.63264906,-1.355732,-1.3886065,-0.0328745
14,-2.207967,-2.212402,"('antisocial', 'social')",-0.99537456,-1.0569618,-1.3302194,-1.2765698,-1.5111869,-1.5153112,-0.0041243
15,0.13358213,0.076218724,"('boring', 'funny')",0.46772122,0.5381166,0.3035982,0.3401094,0.3016338,0.3181482,0.0165144
16,0.51213753,0.5903217,"('unpopular', 'popular')",-0.53624225,-0.5264409,0.8892956,0.94708365,0.288397,0.3369881,0.0485911
17,-0.5951793,-0.5749334,"('nasty', 'nice')",-1.629321,-1.5198963,-0.6638461,-0.49965602,-0.9627821,-0.8648285,0.0979536
18,-0.23178607,-0.22723442,"('disagreeable', 'welcoming')",-0.51328814,-0.51083755,-0.4175946,-0.5125262,-0.3875563,-0.4168661,-0.0293098
19,-0.28343505,-0.2808584,"('inhospitable', 'hospitable')",-0.43601447,-0.42423832,0.1354345,0.17470185,-0.1946717,-0.1767983,0.0178734
20,-0.65606976,-0.6712049,"('rough', 'thoughtful')",-0.44354573,-0.4669745,0.6901611,0.620788,-0.1364848,-0.1724638,-0.035979
21,-1.9641169,-2.041971,"('immoral', 'moral')",-1.0266211,-1.148526,-1.0257303,-1.0509953,-1.3388227,-1.4138308,-0.0750081
22,-2.2377996,-2.2142265,"('untrustworthy', 'trustworthy')",-1.0883828,-1.1631005,-1.4790314,-1.557291,-1.601738,-1.6448727,-0.0431347
23,-1.7082701,-1.8237536,"('insincere', 'sincere')",0.20189026,0.14916193,4.3422627,4.1456356,0.9452943,0.8236814,-0.1216129
24,-1.5413853,-1.5863882,"('dishonest', 'honest')",-0.05061585,-0.09335806,-0.007495791,-0.13477395,-0.5331657,-0.6048401,-0.0716744
