,contingency_male,contingency_female,tuple,average_male,average_female,female-male
0,-1.2514056,-1.4535357,"('unsociable', 'sociable')",-1.2514056,-1.4535357,-0.2021301
1,-1.207069,-1.2479686,"('unfriendly', 'friendly')",-1.207069,-1.2479686,-0.0408996
2,0.12957595,0.21004763,"('unlikable', 'likable')",0.129576,0.2100476,0.0804716
3,-1.3546449,-1.304393,"('repellent', 'pleasant')",-1.3546449,-1.3043931,0.0502518
4,-2.2705662,-2.1340113,"('disliked', 'liked')",-2.2705662,-2.1340113,0.1365549
5,-0.39395022,-0.3872145,"('distant', 'outgoing')",-0.3939502,-0.3872145,0.0067357
6,-0.5105825,-0.49123353,"('distant', 'open')",-0.5105825,-0.4912335,0.019349
7,-0.5715069,-0.641488,"('insensitive', 'sensitive')",-0.5715069,-0.641488,-0.0699811
8,-1.2216301,-1.1711301,"('unaffectionate', 'affectionate')",-1.2216301,-1.1711301,0.0505
9,-1.0416359,-1.0324355,"('unaffectionate', 'caring')",-1.0416359,-1.0324355,0.0092004
10,-1.8441368,-1.9452982,"('unsympathetic', 'sympathetic')",-1.8441368,-1.9452982,-0.1011614
11,0.40185273,0.37141258,"('unhelpful', 'helpful')",0.4018527,0.3714126,-0.0304401
12,-1.5444062,-1.5009232,"('unsupportive', 'supportive')",-1.5444062,-1.5009232,0.043483
13,-0.75201005,-0.8838469,"('impolite', 'polite')",-0.75201,-0.8838469,-0.1318369
14,0.3095443,0.17698437,"('antisocial', 'social')",0.3095443,0.1769844,-0.1325599
15,0.78198874,0.7399782,"('boring', 'funny')",0.7819887,0.7399782,-0.0420105
16,-0.7171877,-0.5454048,"('unpopular', 'popular')",-0.7171877,-0.5454048,0.1717829
17,-0.46640664,-0.4030637,"('nasty', 'nice')",-0.4664066,-0.4030637,0.0633429
18,-0.6347328,-0.5759233,"('disagreeable', 'welcoming')",-0.6347328,-0.5759233,0.0588095
19,-1.2995993,-1.2245678,"('inhospitable', 'hospitable')",-1.2995993,-1.2245678,0.0750315
20,0.9553938,0.9525273,"('rough', 'thoughtful')",0.9553938,0.9525273,-0.0028665
21,-0.74565303,-0.8164255,"('immoral', 'moral')",-0.745653,-0.8164255,-0.0707725
22,0.13851428,0.15122643,"('untrustworthy', 'trustworthy')",0.1385143,0.1512264,0.0127121
23,0.83885056,0.71808815,"('insincere', 'sincere')",0.8388506,0.7180882,-0.1207624
24,-0.8705391,-0.94602543,"('dishonest', 'honest')",-0.8705391,-0.9460254,-0.0754863
25,0.8003761,0.8350726,"('egoistic', 'altruistic')",0.8003761,0.8350726,0.0346965
26,1.0145038,0.9194605,"('hardhearted', 'benevolent')",1.0145038,0.9194605,-0.0950433
27,0.12717484,0.09731489,"('hardhearted', 'softhearted')",0.1271748,0.0973149,-0.0298599
28,-1.0205153,-1.0628642,"('disloyal', 'loyal')",-1.0205153,-1.0628642,-0.0423489
29,0.043750674,-0.041707147,"('unfair', 'fair')",0.0437507,-0.0417071,-0.0854578
30,-0.68015873,-0.79775697,"('intolerant', 'tolerant')",-0.6801587,-0.797757,-0.1175983
31,-1.0424267,-0.9776285,"('evil', 'good')",-1.0424267,-0.9776285,0.0647982
32,-0.30664957,-0.4374867,"('unkind', 'kind')",-0.3066496,-0.4374867,-0.1308371
33,0.56252235,0.55686116,"('wrong', 'right')",0.5625224,0.5568612,-0.0056612
34,1.089261,1.1338844,"('mean', 'honorable')",1.0892611,1.1338844,0.0446233
35,0.8188261,0.8831201,"('corrupt', 'incorrupt')",0.8188261,0.8831201,0.064294
36,-0.165217,-0.09443284,"('hostile', 'amicable')",-0.165217,-0.0944328,0.0707842
37,-0.35836315,-0.35967186,"('fake', 'genuine')",-0.3583632,-0.3596719,-0.0013087
38,-0.39417595,-0.41860703,"('untruthful', 'truthful')",-0.3941759,-0.418607,-0.0244311
39,0.16547297,0.117847934,"('exploitative', 'cooperative')",0.165473,0.1178479,-0.0476251
40,-1.1771393,-1.1975361,"('stingy', 'generous')",-1.1771393,-1.1975361,-0.0203968
41,-0.15548357,-0.18436807,"('unforgiving', 'forgiving')",-0.1554836,-0.1843681,-0.0288845
42,-0.03701168,-0.0048951507,"('unreliable', 'reliable')",-0.0370117,-0.0048952,0.0321165
43,-1.1375556,-1.2973031,"('irresponsible', 'responsible')",-1.1375556,-1.2973031,-0.1597475
44,1.0411543,1.0636805,"('prejudiced', 'unprejudiced')",1.0411543,1.0636805,0.0225262
45,-1.0790458,-1.0879211,"('incompetent', 'competent')",-1.0790458,-1.0879211,-0.0088753
46,-1.9545567,-2.0618453,"('uncompetitive', 'competitive')",-1.9545567,-2.0618453,-0.1072886
47,2.0835676,2.0969412,"('stupid', 'smart')",2.0835676,2.0969412,0.0133736
