,kit_male,kit_female,tuple,average_male,average_female,female-male
0,0.16550767,0.14541593,"('unsociable', 'sociable')",0.1655077,0.1454159,-0.0200918
1,1.5499951,1.5209026,"('unfriendly', 'friendly')",1.5499951,1.5209026,-0.0290925
2,0.43624294,0.4702647,"('unlikable', 'likable')",0.4362429,0.4702647,0.0340218
3,0.6659547,0.97140145,"('repellent', 'pleasant')",0.6659547,0.9714015,0.3054468
4,-6.7987714,-6.869845,"('disliked', 'liked')",-6.7987714,-6.8698449,-0.0710735
5,-0.5544104,-0.46823466,"('distant', 'outgoing')",-0.5544104,-0.4682347,0.0861757
6,-0.18028444,-0.067938134,"('distant', 'open')",-0.1802844,-0.0679381,0.1123463
7,1.1448629,1.3419704,"('insensitive', 'sensitive')",1.1448629,1.3419704,0.1971075
8,1.1419702,1.1474477,"('unaffectionate', 'affectionate')",1.1419702,1.1474477,0.0054775
9,2.1302266,2.2894864,"('unaffectionate', 'caring')",2.1302266,2.2894864,0.1592598
10,0.9028036,0.9792874,"('unsympathetic', 'sympathetic')",0.9028036,0.9792874,0.0764838
11,1.8505152,1.9228117,"('unhelpful', 'helpful')",1.8505152,1.9228117,0.0722965
12,-0.87696207,-0.831688,"('unsupportive', 'supportive')",-0.8769621,-0.831688,0.0452741
13,0.12255385,0.028416052,"('impolite', 'polite')",0.1225538,0.0284161,-0.0941377
14,0.39862967,0.37125435,"('antisocial', 'social')",0.3986297,0.3712544,-0.0273753
15,0.62065357,0.46312377,"('boring', 'funny')",0.6206536,0.4631238,-0.1575298
16,-0.5144818,-0.4073747,"('unpopular', 'popular')",-0.5144818,-0.4073747,0.1071071
17,-0.038058944,-0.05178604,"('nasty', 'nice')",-0.0380589,-0.051786,-0.0137271
18,-0.18239933,-0.11465333,"('disagreeable', 'welcoming')",-0.1823993,-0.1146533,0.067746
19,-0.6036652,-0.47170478,"('inhospitable', 'hospitable')",-0.6036652,-0.4717048,0.1319604
20,0.28192586,0.15254912,"('rough', 'thoughtful')",0.2819259,0.1525491,-0.1293768
21,-0.030723233,0.21136633,"('immoral', 'moral')",-0.0307232,0.2113663,0.2420895
22,-0.65185755,-0.49932203,"('untrustworthy', 'trustworthy')",-0.6518576,-0.499322,0.1525356
23,6.219259,6.4137673,"('insincere', 'sincere')",6.2192588,6.4137673,0.1945085
24,1.5521861,1.710718,"('dishonest', 'honest')",1.5521861,1.710718,0.1585319
25,1.0213289,1.1458292,"('egoistic', 'altruistic')",1.0213289,1.1458292,0.1245003
26,1.5496105,1.0153686,"('hardhearted', 'benevolent')",1.5496105,1.0153686,-0.5342419
27,1.9081376,1.8584906,"('hardhearted', 'softhearted')",1.9081376,1.8584906,-0.049647
28,1.2743982,1.1445793,"('disloyal', 'loyal')",1.2743982,1.1445793,-0.1298189
29,-0.4491881,-0.54327846,"('unfair', 'fair')",-0.4491881,-0.5432785,-0.0940904
30,0.90697414,0.9250287,"('intolerant', 'tolerant')",0.9069741,0.9250287,0.0180546
31,-1.1069486,-1.175416,"('evil', 'good')",-1.1069486,-1.175416,-0.0684674
32,1.3295228,1.241726,"('unkind', 'kind')",1.3295228,1.241726,-0.0877968
33,0.25531527,0.2567648,"('wrong', 'right')",0.2553153,0.2567648,0.0014495
34,4.0097823,4.4103527,"('mean', 'honorable')",4.0097823,4.4103527,0.4005704
35,-0.8547011,-0.94215477,"('corrupt', 'incorrupt')",-0.8547011,-0.9421548,-0.0874537
36,-0.6000137,-0.70578,"('hostile', 'amicable')",-0.6000137,-0.70578,-0.1057663
37,0.65786225,0.73242855,"('fake', 'genuine')",0.6578622,0.7324286,0.0745664
38,0.3647871,0.33673745,"('untruthful', 'truthful')",0.3647871,0.3367375,-0.0280496
39,0.48669904,0.48418054,"('exploitative', 'cooperative')",0.486699,0.4841805,-0.0025185
40,-1.296782,-1.2195635,"('stingy', 'generous')",-1.296782,-1.2195635,0.0772185
41,0.9783335,0.64852464,"('unforgiving', 'forgiving')",0.9783335,0.6485246,-0.3298089
42,-2.8217554,-2.7024665,"('unreliable', 'reliable')",-2.8217554,-2.7024665,0.1192889
43,0.74728864,0.7204476,"('irresponsible', 'responsible')",0.7472886,0.7204476,-0.026841
44,-1.3594909,-1.4298859,"('prejudiced', 'unprejudiced')",-1.3594909,-1.4298859,-0.070395
45,0.37933245,0.33492517,"('incompetent', 'competent')",0.3793325,0.3349252,-0.0444073
46,-1.1025904,-1.1346192,"('uncompetitive', 'competitive')",-1.1025904,-1.1346192,-0.0320288
47,4.562313,4.755968,"('stupid', 'smart')",4.5623131,4.7559681,0.193655
48,0.921058,0.8534258,"('unintelligent', 'intelligent')",0.921058,0.8534258,-0.0676322
