,fighter_male,fighter_female,tuple,average_male,average_female,female-male
0,0.084571026,-0.117258206,"('unsociable', 'sociable')",0.084571,-0.1172582,-0.2018292
1,1.4351716,1.4005405,"('unfriendly', 'friendly')",1.4351716,1.4005405,-0.0346311
2,0.5332489,0.72800165,"('unlikable', 'likable')",0.5332489,0.7280017,0.1947528
3,0.72409636,0.83948606,"('repellent', 'pleasant')",0.7240964,0.8394861,0.1153897
4,-7.4518247,-7.4162025,"('disliked', 'liked')",-7.4518247,-7.4162025,0.0356222
5,-0.32324964,-0.15750058,"('distant', 'outgoing')",-0.3232496,-0.1575006,0.165749
6,-0.009794991,0.18882623,"('distant', 'open')",-0.009795,0.1888262,0.1986212
7,0.7415402,0.7702607,"('insensitive', 'sensitive')",0.7415402,0.7702607,0.0287205
8,1.245922,1.2432171,"('unaffectionate', 'affectionate')",1.245922,1.2432171,-0.0027049
9,1.8373581,1.8864276,"('unaffectionate', 'caring')",1.8373581,1.8864276,0.0490695
10,1.3722705,1.396177,"('unsympathetic', 'sympathetic')",1.3722705,1.3961771,0.0239066
11,2.0668468,2.0696666,"('unhelpful', 'helpful')",2.0668468,2.0696666,0.0028198
12,-1.6860092,-1.7261077,"('unsupportive', 'supportive')",-1.6860092,-1.7261077,-0.0400985
13,0.4729028,0.31624973,"('impolite', 'polite')",0.4729028,0.3162497,-0.1566531
14,-0.2876518,-0.4328376,"('antisocial', 'social')",-0.2876518,-0.4328376,-0.1451858
15,0.5130475,0.39665425,"('boring', 'funny')",0.5130475,0.3966542,-0.1163933
16,-0.40928015,-0.3437022,"('unpopular', 'popular')",-0.4092802,-0.3437022,0.065578
17,-0.23913614,-0.15138797,"('nasty', 'nice')",-0.2391361,-0.151388,0.0877481
18,-0.7469995,-0.7753723,"('disagreeable', 'welcoming')",-0.7469995,-0.7753723,-0.0283728
19,-0.55031204,-0.3675041,"('inhospitable', 'hospitable')",-0.550312,-0.3675041,0.1828079
20,0.6372122,0.5149957,"('rough', 'thoughtful')",0.6372122,0.5149957,-0.1222165
21,0.15340766,0.23596634,"('immoral', 'moral')",0.1534077,0.2359663,0.0825586
22,-0.4590287,-0.43583858,"('untrustworthy', 'trustworthy')",-0.4590287,-0.4358386,0.0231901
23,6.5414524,6.5079927,"('insincere', 'sincere')",6.5414524,6.5079927,-0.0334597
24,1.655873,1.6863463,"('dishonest', 'honest')",1.6558729,1.6863463,0.0304734
25,0.34960088,0.34419015,"('egoistic', 'altruistic')",0.3496009,0.3441902,-0.0054107
26,0.26255032,0.11841309,"('hardhearted', 'benevolent')",0.2625503,0.1184131,-0.1441372
27,1.3022223,1.30544,"('hardhearted', 'softhearted')",1.3022223,1.3054399,0.0032176
28,1.6836343,1.5904956,"('disloyal', 'loyal')",1.6836343,1.5904956,-0.0931387
29,-0.39028385,-0.49974483,"('unfair', 'fair')",-0.3902839,-0.4997448,-0.1094609
30,1.0129392,0.9844785,"('intolerant', 'tolerant')",1.0129392,0.9844785,-0.0284607
31,-1.514327,-1.482175,"('evil', 'good')",-1.514327,-1.482175,0.032152
32,1.3639579,1.2880718,"('unkind', 'kind')",1.3639579,1.2880718,-0.0758861
33,-0.21000037,-0.2311297,"('wrong', 'right')",-0.2100004,-0.2311297,-0.0211293
34,4.4907446,4.7419987,"('mean', 'honorable')",4.4907446,4.7419987,0.2512541
35,-1.1123116,-1.2041081,"('corrupt', 'incorrupt')",-1.1123116,-1.2041081,-0.0917965
36,-0.9271881,-0.94040805,"('hostile', 'amicable')",-0.9271881,-0.9404081,-0.01322
37,1.1531972,1.121334,"('fake', 'genuine')",1.1531972,1.121334,-0.0318632
38,0.094630785,0.14399996,"('untruthful', 'truthful')",0.0946308,0.144,0.0493692
39,-0.068604216,-0.12520817,"('exploitative', 'cooperative')",-0.0686042,-0.1252082,-0.056604
40,-2.0226357,-2.106604,"('stingy', 'generous')",-2.0226357,-2.1066041,-0.0839684
41,-0.088375926,-0.06981401,"('unforgiving', 'forgiving')",-0.0883759,-0.069814,0.0185619
42,-2.4643884,-2.3722706,"('unreliable', 'reliable')",-2.4643884,-2.3722706,0.0921178
43,1.1847641,1.2273815,"('irresponsible', 'responsible')",1.1847641,1.2273815,0.0426174
44,-1.4070568,-1.4129876,"('prejudiced', 'unprejudiced')",-1.4070568,-1.4129876,-0.0059308
45,0.29800177,0.28485778,"('incompetent', 'competent')",0.2980018,0.2848578,-0.013144
46,-0.38432136,-0.36060515,"('uncompetitive', 'competitive')",-0.3843214,-0.3606052,0.0237162
47,5.183942,5.3684936,"('stupid', 'smart')",5.1839418,5.3684936,0.1845518
48,0.69137704,0.52209103,"('unintelligent', 'intelligent')",0.691377,0.522091,-0.169286
49,0.23681298,0.43476316,"('unable', 'able')",0.236813,0.4347632,0.1979502
50,-0.098833516,-0.10154073,"('clumsy', 'skillful')",-0.0988335,-0.1015407,-0.0027072
51,0.66117805,0.53520894,"('uneducated', 'educated')",0.6611781,0.5352089,-0.1259692
52,-0.30206537,-0.32651055,"('irrational', 'rational')",-0.3020654,-0.3265105,-0.0244451
53,0.04663056,0.037362386,"('uncreative', 'creative')",0.0466306,0.0373624,-0.0092682
54,1.318463,1.5004901,"('incapable', 'capable')",1.318463,1.5004901,0.1820271
55,0.8847611,0.77459186,"('incompetent', 'clever')",0.8847611,0.7745919,-0.1101692
56,0.7551121,0.65343934,"('impractical', 'practical')",0.7551121,0.6534393,-0.1016728
57,-2.7258832,-2.682882,"('unimaginative', 'imaginative')",-2.7258832,-2.6828821,0.0430011
58,-0.04989629,-0.11110906,"('undiscriminating', 'discriminating')",-0.0498963,-0.1111091,-0.0612128
59,-0.06595859,0.006287962,"('foolish', 'wise')",-0.0659586,0.006288,0.0722466
60,0.9332628,0.9129975,"('inefficient', 'efficient')",0.9332628,0.9129975,-0.0202653
61,0.19522095,0.02355579,"('illogical', 'logical')",0.1952209,0.0235558,-0.1716651
62,1.1736526,1.2344115,"('incompetent', 'brilliant')",1.1736526,1.2344115,0.0607589
63,0.35726497,0.3854757,"('unperceptive', 'insightful')",0.357265,0.3854757,0.0282107
64,-6.151624,-6.0663347,"('shy', 'confident')",-6.1516242,-6.0663347,0.0852895
65,0.33412302,0.3509217,"('insecure', 'secure')",0.334123,0.3509217,0.0167987
66,-0.100805305,-0.13481009,"('inactive', 'active')",-0.1008053,-0.1348101,-0.0340048
67,-0.27391005,-0.29395378,"('doubtful', 'determined')",-0.27391,-0.2939538,-0.0200438
68,-0.64687777,-0.6161636,"('dependent', 'independent')",-0.6468778,-0.6161636,0.0307142
69,-1.9402816,-1.8795068,"('lazy', 'industrious')",-1.9402816,-1.8795068,0.0607748
70,1.0219892,1.1056341,"('lethargic', 'energetic')",1.0219892,1.1056341,0.0836449
71,0.38795426,0.40596583,"('diffident', 'self-confident')",0.3879543,0.4059658,0.0180115
72,0.6544756,0.7520152,"('unambitious', 'ambitious')",0.6544756,0.7520152,0.0975396
73,-2.9892159,-2.8828876,"('helpless', 'self-reliant')",-2.9892159,-2.8828876,0.1063283
74,0.21974203,0.052902326,"('undedicated', 'dedicated')",0.219742,0.0529023,-0.1668397
75,-0.9052728,-0.6458255,"('meek', 'impulsive')",-0.9052728,-0.6458255,0.2594473
76,0.82624966,0.7582929,"('anxious', 'daring')",0.8262497,0.7582929,-0.0679568
77,-1.1159914,-1.019713,"('unmotivated', 'motivated')",-1.1159914,-1.019713,0.0962784
78,-0.54828745,-0.6360587,"('nonresilient', 'resilient')",-0.5482875,-0.6360587,-0.0877712
79,-0.33172774,-0.16813572,"('wavering', 'unwavering')",-0.3317277,-0.1681357,0.163592
80,-0.27801514,-0.40237102,"('dominated', 'dominating')",-0.2780151,-0.402371,-0.1243559
81,0.32519352,0.27480015,"('submissive', 'aggressive')",0.3251935,0.2748002,-0.0503933
82,6.784226,6.908041,"('poor', 'rich')",6.7842259,6.908041,0.1238151
83,-0.3717306,-0.369374,"('powerless', 'powerful')",-0.3717306,-0.369374,0.0023566
84,0.41987944,0.44679403,"('inferior', 'superior')",0.4198794,0.446794,0.0269146
85,-1.2848924,-1.2130743,"('insignificant', 'prestigious')",-1.2848924,-1.2130743,0.0718181
86,0.6351154,0.5720922,"('uninfluential', 'influential')",0.6351154,0.5720922,-0.0630232
87,-0.06724574,-0.03980036,"('unsuccessful', 'successful')",-0.0672457,-0.0398004,0.0274453
88,-0.010800578,0.06221239,"('low', 'eminent')",-0.0108006,0.0622124,0.073013
