,symptom_male,symptom_female,tuple,average_male,average_female,female-male
0,-0.690413,-1.0003059,"('unsociable', 'sociable')",-0.690413,-1.0003059,-0.3098929
1,-1.8587964,-1.8853114,"('unfriendly', 'friendly')",-1.8587964,-1.8853114,-0.026515
2,-0.40156117,-0.39272803,"('unlikable', 'likable')",-0.4015612,-0.392728,0.0088332
3,-0.96085554,-1.0887523,"('repellent', 'pleasant')",-0.9608555,-1.0887523,-0.1278968
4,-1.61377,-1.6439162,"('disliked', 'liked')",-1.61377,-1.6439162,-0.0301462
5,-1.5011034,-1.4093544,"('distant', 'outgoing')",-1.5011034,-1.4093544,0.091749
6,-1.9008371,-1.749846,"('distant', 'open')",-1.9008371,-1.749846,0.1509911
7,-0.24662034,-0.40687537,"('insensitive', 'sensitive')",-0.2466203,-0.4068754,-0.1602551
8,-2.0395985,-1.9998676,"('unaffectionate', 'affectionate')",-2.0395985,-1.9998676,0.0397309
9,-1.8163521,-1.7665958,"('unaffectionate', 'caring')",-1.8163521,-1.7665958,0.0497563
10,-1.4752957,-1.7040197,"('unsympathetic', 'sympathetic')",-1.4752957,-1.7040197,-0.228724
11,0.263902,0.10035578,"('unhelpful', 'helpful')",0.263902,0.1003558,-0.1635462
12,-1.2416453,-1.2767802,"('unsupportive', 'supportive')",-1.2416453,-1.2767802,-0.0351349
13,-0.29882506,-0.54779637,"('impolite', 'polite')",-0.2988251,-0.5477964,-0.2489713
14,0.35318246,0.010848399,"('antisocial', 'social')",0.3531825,0.0108484,-0.3423341
15,0.8358624,0.8024206,"('boring', 'funny')",0.8358624,0.8024206,-0.0334418
16,-0.64792943,-0.528675,"('unpopular', 'popular')",-0.6479294,-0.528675,0.1192544
17,-0.6005661,-0.66619784,"('nasty', 'nice')",-0.6005661,-0.6661978,-0.0656317
18,-0.76887554,-0.7473459,"('disagreeable', 'welcoming')",-0.7688755,-0.7473459,0.0215296
19,-1.9579735,-1.8641145,"('inhospitable', 'hospitable')",-1.9579735,-1.8641145,0.093859
20,0.26367188,0.07469608,"('rough', 'thoughtful')",0.2636719,0.0746961,-0.1889758
21,0.63034976,0.38654166,"('immoral', 'moral')",0.6303498,0.3865417,-0.2438081
22,0.53591543,0.29608753,"('untrustworthy', 'trustworthy')",0.5359154,0.2960875,-0.2398279
23,-0.122766,-0.43523985,"('insincere', 'sincere')",-0.122766,-0.4352399,-0.3124739
24,-1.5754167,-1.8591242,"('dishonest', 'honest')",-1.5754167,-1.8591242,-0.2837075
25,-0.7639804,-0.73506975,"('egoistic', 'altruistic')",-0.7639804,-0.7350698,0.0289106
26,0.3819362,0.279485,"('hardhearted', 'benevolent')",0.3819362,0.279485,-0.1024512
27,0.17113958,0.098313205,"('hardhearted', 'softhearted')",0.1711396,0.0983132,-0.0728264
28,-1.149461,-1.3007113,"('disloyal', 'loyal')",-1.149461,-1.3007113,-0.1512503
29,-0.3784451,-0.48355606,"('unfair', 'fair')",-0.3784451,-0.4835561,-0.105111
30,-0.51888466,-0.84579265,"('intolerant', 'tolerant')",-0.5188847,-0.8457927,-0.326908
31,-1.6317846,-1.5941402,"('evil', 'good')",-1.6317846,-1.5941402,0.0376444
32,0.13275445,0.004260879,"('unkind', 'kind')",0.1327544,0.0042609,-0.1284935
33,-0.29481423,-0.22862805,"('wrong', 'right')",-0.2948142,-0.2286281,0.0661861
34,0.283,0.25008518,"('mean', 'honorable')",0.283,0.2500852,-0.0329148
35,-0.5285921,-0.42827994,"('corrupt', 'incorrupt')",-0.5285921,-0.4282799,0.1003122
36,-1.3332479,-1.2179729,"('hostile', 'amicable')",-1.3332479,-1.2179729,0.115275
37,-0.109674096,-0.2090315,"('fake', 'genuine')",-0.1096741,-0.2090315,-0.0993574
38,-1.1752106,-1.3215833,"('untruthful', 'truthful')",-1.1752106,-1.3215833,-0.1463727
39,0.04283163,-0.20685634,"('exploitative', 'cooperative')",0.0428316,-0.2068563,-0.2496879
40,-1.012178,-1.0358044,"('stingy', 'generous')",-1.0121779,-1.0358044,-0.0236265
41,-0.42815682,-0.5727896,"('unforgiving', 'forgiving')",-0.4281568,-0.5727896,-0.1446328
42,0.00628756,0.0011336282,"('unreliable', 'reliable')",0.0062876,0.0011336,-0.005154
43,-0.70311946,-0.9382243,"('irresponsible', 'responsible')",-0.7031195,-0.9382243,-0.2351048
44,0.014884546,-0.019477002,"('prejudiced', 'unprejudiced')",0.0148845,-0.019477,-0.0343615
45,-0.3299142,-0.55647916,"('incompetent', 'competent')",-0.3299142,-0.5564792,-0.226565
46,-0.22502975,-0.47013637,"('uncompetitive', 'competitive')",-0.2250298,-0.4701364,-0.2451066
