,sediment_male,sediment_female,tuple,average_male,average_female,female-male
0,0.27052355,0.24545524,"('unsociable', 'sociable')",0.2705235,0.2454552,-0.0250683
1,0.8409177,0.7277202,"('unfriendly', 'friendly')",0.8409177,0.7277202,-0.1131975
2,-0.03524281,0.06591197,"('unlikable', 'likable')",-0.0352428,0.065912,0.1011548
3,0.9943954,1.0834737,"('repellent', 'pleasant')",0.9943954,1.0834737,0.0890783
4,-7.625652,-7.737959,"('disliked', 'liked')",-7.6256518,-7.7379589,-0.1123071
5,-1.0117666,-1.025606,"('distant', 'outgoing')",-1.0117666,-1.025606,-0.0138394
6,-0.5790045,-0.67362875,"('distant', 'open')",-0.5790045,-0.6736287,-0.0946242
7,1.1822914,1.2040751,"('insensitive', 'sensitive')",1.1822914,1.2040751,0.0217837
8,0.90908295,0.68586695,"('unaffectionate', 'affectionate')",0.9090829,0.685867,-0.2232159
9,1.4231213,1.3242866,"('unaffectionate', 'caring')",1.4231213,1.3242866,-0.0988347
10,1.426019,1.4982898,"('unsympathetic', 'sympathetic')",1.426019,1.4982898,0.0722708
11,1.8515338,1.9315681,"('unhelpful', 'helpful')",1.8515338,1.9315681,0.0800343
12,-1.5855669,-1.6203943,"('unsupportive', 'supportive')",-1.5855669,-1.6203943,-0.0348274
13,-0.00066541135,0.10852668,"('impolite', 'polite')",-0.0006654,0.1085267,0.1091921
14,0.5132623,0.46547157,"('antisocial', 'social')",0.5132623,0.4654716,-0.0477907
15,-0.011529216,-0.09568626,"('boring', 'funny')",-0.0115292,-0.0956863,-0.0841571
16,-0.6622877,-0.6490912,"('unpopular', 'popular')",-0.6622877,-0.6490912,0.0131965
17,-0.49086547,-0.40223137,"('nasty', 'nice')",-0.4908655,-0.4022314,0.0886341
18,-0.9441571,-0.84117204,"('disagreeable', 'welcoming')",-0.9441571,-0.841172,0.1029851
19,-1.2860084,-1.3325462,"('inhospitable', 'hospitable')",-1.2860084,-1.3325462,-0.0465378
20,0.95987594,0.9599017,"('rough', 'thoughtful')",0.9598759,0.9599017,2.58e-05
21,-0.001313895,0.14640766,"('immoral', 'moral')",-0.0013139,0.1464077,0.1477216
22,-0.39785755,-0.297368,"('untrustworthy', 'trustworthy')",-0.3978575,-0.297368,0.1004895
23,6.4446764,6.47275,"('insincere', 'sincere')",6.4446764,6.4727502,0.0280738
24,1.2717736,1.2163825,"('dishonest', 'honest')",1.2717736,1.2163825,-0.0553911
25,0.12529667,0.13159436,"('egoistic', 'altruistic')",0.1252967,0.1315944,0.0062977
26,0.9063626,0.6528297,"('hardhearted', 'benevolent')",0.9063626,0.6528297,-0.2535329
27,1.5634782,1.4106764,"('hardhearted', 'softhearted')",1.5634782,1.4106764,-0.1528018
28,1.1612285,1.058864,"('disloyal', 'loyal')",1.1612285,1.058864,-0.1023645
29,-0.54738045,-0.716985,"('unfair', 'fair')",-0.5473804,-0.716985,-0.1696046
30,0.87342125,0.9197804,"('intolerant', 'tolerant')",0.8734213,0.9197804,0.0463591
31,-1.4268322,-1.5726415,"('evil', 'good')",-1.4268322,-1.5726415,-0.1458093
32,1.2103642,1.0687058,"('unkind', 'kind')",1.2103642,1.0687058,-0.1416584
33,-0.7226452,-0.84993553,"('wrong', 'right')",-0.7226452,-0.8499355,-0.1272903
34,4.3643556,4.4903736,"('mean', 'honorable')",4.3643556,4.4903736,0.126018
35,-1.4975312,-1.8247802,"('corrupt', 'incorrupt')",-1.4975312,-1.8247802,-0.327249
36,-1.188437,-1.4283155,"('hostile', 'amicable')",-1.188437,-1.4283155,-0.2398785
37,1.0621853,1.0072446,"('fake', 'genuine')",1.0621853,1.0072446,-0.0549407
38,-0.38364723,-0.35446578,"('untruthful', 'truthful')",-0.3836472,-0.3544658,0.0291814
39,0.29308903,0.37667048,"('exploitative', 'cooperative')",0.293089,0.3766705,0.0835815
40,-1.6764458,-1.7370622,"('stingy', 'generous')",-1.6764458,-1.7370622,-0.0606164
41,0.26533324,0.2431831,"('unforgiving', 'forgiving')",0.2653332,0.2431831,-0.0221501
42,-1.9008662,-1.7948899,"('unreliable', 'reliable')",-1.9008662,-1.7948899,0.1059763
43,1.2876338,1.4630841,"('irresponsible', 'responsible')",1.2876338,1.4630841,0.1754503
44,-1.0992452,-0.95560664,"('prejudiced', 'unprejudiced')",-1.0992452,-0.9556066,0.1436386
45,0.7082971,0.5951933,"('incompetent', 'competent')",0.7082971,0.5951933,-0.1131038
46,-0.36668614,-0.20001972,"('uncompetitive', 'competitive')",-0.3666861,-0.2000197,0.1666664
47,5.0878315,5.2102566,"('stupid', 'smart')",5.0878315,5.2102566,0.1224251
48,0.6369859,0.63767034,"('unintelligent', 'intelligent')",0.6369859,0.6376703,0.0006844
49,-0.21073398,-0.09459691,"('unable', 'able')",-0.210734,-0.0945969,0.1161371
