,partridge_male,partridge_female,tuple,average_male,average_female,female-male
0,0.24971937,0.16162896,"('unsociable', 'sociable')",0.2497194,0.161629,-0.0880904
1,1.0221578,0.9466517,"('unfriendly', 'friendly')",1.0221578,0.9466517,-0.0755061
2,0.45041478,0.65144247,"('unlikable', 'likable')",0.4504148,0.6514425,0.2010277
3,0.9143056,0.94845617,"('repellent', 'pleasant')",0.9143056,0.9484562,0.0341506
4,-6.7584457,-6.80095,"('disliked', 'liked')",-6.7584457,-6.8009501,-0.0425044
5,-0.37567863,-0.20271687,"('distant', 'outgoing')",-0.3756786,-0.2027169,0.1729617
6,-0.102263,-0.0011834241,"('distant', 'open')",-0.102263,-0.0011834,0.1010796
7,0.7393785,0.6975881,"('insensitive', 'sensitive')",0.7393785,0.6975881,-0.0417904
8,0.6219428,0.63860655,"('unaffectionate', 'affectionate')",0.6219428,0.6386065,0.0166637
9,1.1635919,1.2691048,"('unaffectionate', 'caring')",1.1635919,1.2691048,0.1055129
10,1.2955105,1.3705616,"('unsympathetic', 'sympathetic')",1.2955105,1.3705616,0.0750511
11,2.0165963,2.061928,"('unhelpful', 'helpful')",2.0165963,2.061928,0.0453317
12,-1.5743811,-1.5046964,"('unsupportive', 'supportive')",-1.5743811,-1.5046964,0.0696847
13,0.50111157,0.49727517,"('impolite', 'polite')",0.5011116,0.4972752,-0.0038364
14,0.16753583,-0.00051767053,"('antisocial', 'social')",0.1675358,-0.0005177,-0.1680535
15,0.5753816,0.52495515,"('boring', 'funny')",0.5753816,0.5249552,-0.0504264
16,-0.24792607,-0.22803225,"('unpopular', 'popular')",-0.2479261,-0.2280322,0.0198939
17,-0.101970516,-0.048338275,"('nasty', 'nice')",-0.1019705,-0.0483383,0.0536322
18,-0.49705565,-0.58179796,"('disagreeable', 'welcoming')",-0.4970556,-0.581798,-0.0847424
19,-0.73396736,-0.5602176,"('inhospitable', 'hospitable')",-0.7339674,-0.5602176,0.1737498
20,0.8302669,0.6355743,"('rough', 'thoughtful')",0.8302669,0.6355743,-0.1946926
21,0.16375218,0.27261588,"('immoral', 'moral')",0.1637522,0.2726159,0.1088637
22,0.13460292,0.13797712,"('untrustworthy', 'trustworthy')",0.1346029,0.1379771,0.0033742
23,6.0340037,6.075713,"('insincere', 'sincere')",6.0340037,6.0757132,0.0417095
24,1.6666743,1.7102599,"('dishonest', 'honest')",1.6666743,1.7102599,0.0435856
25,0.46477038,0.3814256,"('egoistic', 'altruistic')",0.4647704,0.3814256,-0.0833448
26,0.5494426,0.3159184,"('hardhearted', 'benevolent')",0.5494426,0.3159184,-0.2335242
27,1.2495594,1.08856,"('hardhearted', 'softhearted')",1.2495594,1.08856,-0.1609994
28,0.93735325,0.9211112,"('disloyal', 'loyal')",0.9373533,0.9211112,-0.0162421
29,-0.8663037,-0.8964089,"('unfair', 'fair')",-0.8663037,-0.8964089,-0.0301052
30,1.0219955,0.99216443,"('intolerant', 'tolerant')",1.0219955,0.9921644,-0.0298311
31,-1.3682891,-1.3232769,"('evil', 'good')",-1.3682891,-1.3232769,0.0450122
32,1.1466328,1.1575338,"('unkind', 'kind')",1.1466328,1.1575338,0.010901
33,-0.5177995,-0.44675162,"('wrong', 'right')",-0.5177995,-0.4467516,0.0710479
34,4.2024484,4.3963723,"('mean', 'honorable')",4.2024484,4.3963723,0.1939239
35,-1.1327021,-1.2461869,"('corrupt', 'incorrupt')",-1.1327021,-1.2461869,-0.1134848
36,-1.031979,-1.068808,"('hostile', 'amicable')",-1.031979,-1.068808,-0.036829
37,0.6092849,0.6281685,"('fake', 'genuine')",0.6092849,0.6281685,0.0188836
38,-0.13694865,-0.04755064,"('untruthful', 'truthful')",-0.1369486,-0.0475506,0.089398
39,0.23770133,0.18975502,"('exploitative', 'cooperative')",0.2377013,0.189755,-0.0479463
40,-1.3415948,-1.4726505,"('stingy', 'generous')",-1.3415948,-1.4726505,-0.1310557
41,-0.089133635,-0.09647541,"('unforgiving', 'forgiving')",-0.0891336,-0.0964754,-0.0073418
42,-1.5995485,-1.6244546,"('unreliable', 'reliable')",-1.5995485,-1.6244546,-0.0249061
43,1.199138,1.2231437,"('irresponsible', 'responsible')",1.199138,1.2231437,0.0240057
44,-0.9770305,-1.1063675,"('prejudiced', 'unprejudiced')",-0.9770305,-1.1063675,-0.129337
45,0.56499135,0.5515666,"('incompetent', 'competent')",0.5649914,0.5515666,-0.0134248
46,-0.18438461,-0.18342409,"('uncompetitive', 'competitive')",-0.1843846,-0.1834241,0.0009605
47,4.8932924,5.1412597,"('stupid', 'smart')",4.8932924,5.1412597,0.2479673
48,0.769262,0.6451407,"('unintelligent', 'intelligent')",0.769262,0.6451407,-0.1241213
49,-0.11590004,0.008617513,"('unable', 'able')",-0.1159,0.0086175,0.1245175
50,0.056068383,0.071343884,"('clumsy', 'skillful')",0.0560684,0.0713439,0.0152755
