,penn_male,penn_female,tuple,national_male,national_female,gaming_male,gaming_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.31785592,-0.49519637,"('unsociable', 'sociable')",-0.886787,-1.0558083,1.0625063,0.9117864,-0.08767537,-0.2791752,-0.057453,-0.2295984,-0.1721454
1,-0.47315842,-0.44031528,"('unfriendly', 'friendly')",-1.4029679,-1.5266311,1.2076774,1.0521587,1.5013821,1.2627801,0.2082333,0.0869981,-0.1212352
2,0.68509626,0.62116075,"('unlikable', 'likable')",0.19321159,0.17615868,1.1455555,1.1249441,0.67949814,0.74104726,0.6758404,0.6658277,-0.0100127
3,0.51725835,0.6596216,"('repellent', 'pleasant')",0.22079621,0.29338098,-0.2932595,-0.21730974,0.2542252,0.3474025,0.1747551,0.2707738,0.0960187
4,-0.98209804,-0.7418348,"('disliked', 'liked')",-0.6417103,-0.7171562,-0.54010934,-0.68348604,-5.9062924,-5.814044,-2.0175526,-1.9891303,0.0284223
5,-0.8028238,-0.67621535,"('distant', 'outgoing')",-0.75358087,-0.76640296,0.52599996,0.4768788,-0.17766875,-0.16772833,-0.3020183,-0.283367,0.0186513
6,-0.40462506,-0.22231802,"('distant', 'open')",-0.61529803,-0.59298843,0.39607882,0.37523973,0.30472112,0.29960018,-0.0797808,-0.0351166,0.0446642
7,0.93211794,0.8659151,"('insensitive', 'sensitive')",-0.49387956,-0.44304985,-0.012811055,0.055541888,0.6901009,0.6665254,0.2788821,0.2862331,0.007351
8,-0.0045407116,0.105360225,"('unaffectionate', 'affectionate')",-0.945791,-1.0163792,0.7517322,0.6524612,0.22602323,0.069701806,0.0068559,-0.047214,-0.0540699
9,0.8201371,0.88823587,"('unaffectionate', 'caring')",-0.56931305,-0.6122456,1.1793962,1.0784941,0.9103852,0.78817946,0.5851513,0.5356659,-0.0494854
10,0.6077221,0.5448261,"('unsympathetic', 'sympathetic')",-0.6359407,-0.604325,-0.9727355,-0.9688677,-0.10449706,-0.20774603,-0.2763628,-0.3090281,-0.0326653
11,0.1646232,-0.017989337,"('unhelpful', 'helpful')",-0.030418124,-0.034712583,0.23765802,0.23969753,2.2630424,2.2208254,0.6587264,0.6019552,-0.0567712
12,1.2874309,1.3474085,"('unsupportive', 'supportive')",0.397804,0.4353764,0.43139404,0.38360777,-1.3531508,-1.338349,0.1908695,0.207011,0.0161415
13,1.0708697,0.85080016,"('impolite', 'polite')",0.0942362,0.058111873,-0.0610891,-0.12048073,0.11061292,-0.024294648,0.3036574,0.1910342,-0.1126232
14,0.2448272,0.1833087,"('antisocial', 'social')",0.5742648,0.64505225,1.501641,1.5126312,-0.5599662,-0.5088931,0.4401917,0.4580248,0.0178331
15,-0.2332986,-0.2837851,"('boring', 'funny')",-0.24072658,-0.235847,0.6688039,0.6679271,0.43589213,0.44471484,0.1576677,0.1482525,-0.0094152
16,-1.4225034,-1.3413644,"('unpopular', 'popular')",0.2749232,0.20985208,-0.47377136,-0.48389843,0.26510987,0.32216853,-0.3390604,-0.3233106,0.0157498
17,-0.3867199,-0.20501405,"('nasty', 'nice')",-0.6604975,-0.53413594,-0.9759577,-0.90839005,-0.24609779,-0.13326988,-0.5673182,-0.4452025,0.1221157
18,-0.46006227,-0.44290552,"('disagreeable', 'welcoming')",0.33738047,0.38703644,0.11041379,0.039666615,-0.30775866,-0.3273501,-0.0800067,-0.0858881,-0.0058814
19,-0.5480209,-0.5435402,"('inhospitable', 'hospitable')",-0.9569251,-0.97043765,-1.2383388,-1.3098505,-0.11315512,-0.11245644,-0.71411,-0.7340711,-0.0199611
