,brookfield_male,brookfield_female,tuple,property_male,property_female,reit_male,reit_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.5248495,-0.61340976,"('unsociable', 'sociable')",0.68059087,0.53368276,0.17769013,0.113112636,0.0025152005,-0.09617428,0.0839867,-0.0156972,-0.0996839
1,-1.033637,-1.0699768,"('unfriendly', 'friendly')",-0.9301825,-0.98504347,-0.36430848,-0.31079692,2.0198457,1.8970783,-0.0770705,-0.1171848,-0.0401143
2,-0.024337146,0.09277296,"('unlikable', 'likable')",0.689748,0.7728601,1.0035782,1.1391971,0.5424784,0.6238474,0.5528668,0.6571694,0.1043026
3,0.012456151,0.10097612,"('repellent', 'pleasant')",-0.30327764,-0.24950281,0.14002326,0.26181093,0.28449863,0.36400893,0.0334251,0.1193233,0.0858982
4,0.31695715,0.29879665,"('disliked', 'liked')",-0.5950011,-0.61750895,-0.23281945,-0.21709427,-6.6924024,-6.79006,-1.8008164,-1.8314667,-0.0306503
5,-0.35379106,-0.30286428,"('distant', 'outgoing')",-0.83066577,-0.7765229,-0.4958571,-0.43201953,-0.35619643,-0.38375506,-0.5091276,-0.4737904,0.0353372
6,-0.34619862,-0.25213993,"('distant', 'open')",-0.9017607,-0.86500126,-0.60824305,-0.53874856,0.38606638,0.34562606,-0.367534,-0.3275659,0.0399681
7,0.15246223,0.13639303,"('insensitive', 'sensitive')",0.92369545,0.9182647,0.7929671,0.9220793,1.3083323,1.3220294,0.7943643,0.8246916,0.0303273
8,-0.7321207,-0.7697569,"('unaffectionate', 'affectionate')",-0.120829836,-0.13801803,-0.57401776,-0.54269767,1.0691139,0.95810294,-0.0894636,-0.1230924,-0.0336288
9,-0.7038223,-0.7622527,"('unaffectionate', 'caring')",0.4726097,0.44306678,-0.42407572,-0.33630162,1.4553057,1.4515425,0.2000043,0.1990137,-0.0009906
10,-0.6376836,-0.6585495,"('unsympathetic', 'sympathetic')",0.35154766,0.32702622,-0.37841034,-0.26339602,0.231626,0.28461057,-0.1082301,-0.0775772,0.0306529
11,-0.370024,-0.39533052,"('unhelpful', 'helpful')",0.14604397,0.15662223,-0.7803409,-0.67400044,1.9874494,2.119601,0.2457821,0.3017231,0.055941
12,0.31851304,0.3374035,"('unsupportive', 'supportive')",1.3851682,1.4474491,-0.36537734,-0.1567433,-1.5621607,-1.5042577,-0.0559642,0.0309629,0.0869271
13,0.40701094,0.37035614,"('impolite', 'polite')",1.01798,0.966223,0.45169222,0.43229997,-0.17646106,-0.19590127,0.4250555,0.3932444,-0.0318111
14,0.035651572,0.023208072,"('antisocial', 'social')",1.5084327,1.4891093,0.18105786,0.2296809,-0.33356464,-0.31428882,0.3478944,0.3569273,0.0090329
15,-0.201704,-0.26947683,"('boring', 'funny')",-0.034363635,-0.07515097,1.2081705,1.1571895,0.37821487,0.3285867,0.3375794,0.2852871,-0.0522923
16,-0.4348087,-0.49534366,"('unpopular', 'popular')",-0.91708237,-0.90769535,-0.005952686,0.0148985945,0.2928546,0.28088936,-0.2662473,-0.2768128,-0.0105655
17,0.21068099,0.24957322,"('nasty', 'nice')",0.14042422,0.20995009,1.1199638,1.2167139,-0.5603829,-0.5104316,0.2276715,0.2914514,0.0637799
18,-0.13691147,-0.06966157,"('disagreeable', 'welcoming')",-0.7740596,-0.7034031,-0.65819114,-0.50557196,-0.3291782,-0.33805993,-0.4745851,-0.4041741,0.070411
19,-0.12782088,-0.046241626,"('inhospitable', 'hospitable')",-1.1358436,-1.090258,-1.3120406,-1.2733763,0.029396288,0.07028065,-0.6365772,-0.5848988,0.0516784
20,-0.5997415,-0.5795105,"('rough', 'thoughtful')",-0.086509705,-0.06108468,-0.2145002,-0.21580628,1.2283541,1.1931721,0.0819007,0.0841927,0.002292
