,hospice_male,hospice_female,tuple,average_male,average_female,female-male
0,-0.14622301,-0.16612746,"('unsociable', 'sociable')",-0.146223,-0.1661275,-0.0199045
1,1.6422744,1.7373931,"('unfriendly', 'friendly')",1.6422744,1.7373931,0.0951187
2,0.09025769,0.18608494,"('unlikable', 'likable')",0.0902577,0.1860849,0.0958272
3,-0.13902378,-0.18261622,"('repellent', 'pleasant')",-0.1390238,-0.1826162,-0.0435924
4,-7.5808363,-7.6116853,"('disliked', 'liked')",-7.5808363,-7.6116853,-0.030849
5,-0.34787336,-0.3291411,"('distant', 'outgoing')",-0.3478734,-0.3291411,0.0187323
6,0.18513514,0.19505855,"('distant', 'open')",0.1851351,0.1950586,0.0099235
7,0.5724334,0.6801937,"('insensitive', 'sensitive')",0.5724334,0.6801937,0.1077603
8,1.4566218,1.3628032,"('unaffectionate', 'affectionate')",1.4566218,1.3628032,-0.0938186
9,2.1588583,2.2298734,"('unaffectionate', 'caring')",2.1588583,2.2298734,0.0710151
10,0.555198,0.55432194,"('unsympathetic', 'sympathetic')",0.555198,0.5543219,-0.0008761
11,1.594764,1.7077446,"('unhelpful', 'helpful')",1.594764,1.7077446,0.1129806
12,-1.3488805,-1.2276398,"('unsupportive', 'supportive')",-1.3488805,-1.2276398,0.1212407
13,-0.356297,-0.35981154,"('impolite', 'polite')",-0.356297,-0.3598115,-0.0035145
14,-0.39485887,-0.40307176,"('antisocial', 'social')",-0.3948589,-0.4030718,-0.0082129
15,0.32158065,0.31197,"('boring', 'funny')",0.3215806,0.31197,-0.0096106
16,-0.4443717,-0.41490257,"('unpopular', 'popular')",-0.4443717,-0.4149026,0.0294691
17,0.23599601,0.27193528,"('nasty', 'nice')",0.235996,0.2719353,0.0359393
18,-0.45378357,-0.4906776,"('disagreeable', 'welcoming')",-0.4537836,-0.4906776,-0.036894
19,-0.4234084,-0.35593805,"('inhospitable', 'hospitable')",-0.4234084,-0.355938,0.0674704
20,0.9956276,0.9283827,"('rough', 'thoughtful')",0.9956276,0.9283827,-0.0672449
21,-0.60631716,-0.5066846,"('immoral', 'moral')",-0.6063172,-0.5066846,0.0996326
22,-0.70198864,-0.6829269,"('untrustworthy', 'trustworthy')",-0.7019886,-0.6829269,0.0190617
23,6.878977,6.94833,"('insincere', 'sincere')",6.8789768,6.9483299,0.0693531
24,1.4435968,1.331039,"('dishonest', 'honest')",1.4435968,1.331039,-0.1125578
25,1.0122163,0.9429291,"('egoistic', 'altruistic')",1.0122163,0.9429291,-0.0692872
26,1.5812294,1.7251519,"('hardhearted', 'benevolent')",1.5812294,1.7251519,0.1439225
27,1.9598267,1.8145158,"('hardhearted', 'softhearted')",1.9598267,1.8145158,-0.1453109
28,1.1942146,1.1889303,"('disloyal', 'loyal')",1.1942146,1.1889303,-0.0052843
29,-0.39090025,-0.53028184,"('unfair', 'fair')",-0.3909003,-0.5302818,-0.1393815
30,1.0766847,1.1185969,"('intolerant', 'tolerant')",1.0766847,1.1185969,0.0419122
31,-1.1621228,-1.1431695,"('evil', 'good')",-1.1621228,-1.1431695,0.0189533
32,0.92689425,0.9547651,"('unkind', 'kind')",0.9268942,0.9547651,0.0278709
33,-0.036787882,-0.0050000213,"('wrong', 'right')",-0.0367879,-0.005,0.0317879
34,5.5753202,5.7775517,"('mean', 'honorable')",5.5753202,5.7775517,0.2022315
35,-0.088612095,-0.27284172,"('corrupt', 'incorrupt')",-0.0886121,-0.2728417,-0.1842296
36,-0.076731525,-0.10065684,"('hostile', 'amicable')",-0.0767315,-0.1006568,-0.0239253
37,0.95579237,0.8929107,"('fake', 'genuine')",0.9557924,0.8929107,-0.0628817
38,0.2946505,0.3723105,"('untruthful', 'truthful')",0.2946505,0.3723105,0.07766
39,0.83728915,0.85768044,"('exploitative', 'cooperative')",0.8372892,0.8576804,0.0203912
40,-1.7533813,-1.8711272,"('stingy', 'generous')",-1.7533813,-1.8711272,-0.1177459
41,0.48073047,0.5764406,"('unforgiving', 'forgiving')",0.4807305,0.5764406,0.0957101
42,-3.3680506,-3.4166806,"('unreliable', 'reliable')",-3.3680506,-3.4166806,-0.04863
43,1.1411808,1.2510507,"('irresponsible', 'responsible')",1.1411808,1.2510507,0.1098699
44,-1.490092,-1.5780339,"('prejudiced', 'unprejudiced')",-1.490092,-1.5780339,-0.0879419
45,-0.17877312,-0.10384363,"('incompetent', 'competent')",-0.1787731,-0.1038436,0.0749295
46,-1.3344506,-1.3572944,"('uncompetitive', 'competitive')",-1.3344506,-1.3572944,-0.0228438
47,5.751994,5.907531,"('stupid', 'smart')",5.7519941,5.9075308,0.1555367
48,0.6433226,0.61239064,"('unintelligent', 'intelligent')",0.6433226,0.6123906,-0.030932
49,0.14602514,0.08172694,"('unable', 'able')",0.1460251,0.0817269,-0.0642982
50,-0.7694334,-0.8226021,"('clumsy', 'skillful')",-0.7694334,-0.8226021,-0.0531687
51,-0.32826048,-0.42649004,"('uneducated', 'educated')",-0.3282605,-0.42649,-0.0982295
52,-0.084224,-0.1134597,"('irrational', 'rational')",-0.084224,-0.1134597,-0.0292357
53,0.25351477,0.28447893,"('uncreative', 'creative')",0.2535148,0.2844789,0.0309641
54,1.0499448,1.0815092,"('incapable', 'capable')",1.0499448,1.0815092,0.0315644
55,-0.046511218,-0.08275437,"('incompetent', 'clever')",-0.0465112,-0.0827544,-0.0362432
56,0.68285984,0.8212063,"('impractical', 'practical')",0.6828598,0.8212063,0.1383465
57,-3.34767,-3.2464669,"('unimaginative', 'imaginative')",-3.3476701,-3.2464669,0.1012032
58,-0.18337855,-0.13760105,"('undiscriminating', 'discriminating')",-0.1833785,-0.137601,0.0457775
59,0.19555336,0.26078057,"('foolish', 'wise')",0.1955534,0.2607806,0.0652272
60,0.23353711,0.31101915,"('inefficient', 'efficient')",0.2335371,0.3110192,0.0774821
61,0.37019858,0.23564023,"('illogical', 'logical')",0.3701986,0.2356402,-0.1345584
62,-0.010541375,0.027014386,"('incompetent', 'brilliant')",-0.0105414,0.0270144,0.0375558
63,-0.1031919,0.05554433,"('unperceptive', 'insightful')",-0.1031919,0.0555443,0.1587362
64,-7.3098564,-7.3516603,"('shy', 'confident')",-7.3098564,-7.3516603,-0.0418039
65,-0.14806223,-0.11114159,"('insecure', 'secure')",-0.1480622,-0.1111416,0.0369206
66,-0.19757393,-0.23615451,"('inactive', 'active')",-0.1975739,-0.2361545,-0.0385806
67,-0.20105559,-0.1437292,"('doubtful', 'determined')",-0.2010556,-0.1437292,0.0573264
68,-1.0040959,-1.0850013,"('dependent', 'independent')",-1.0040959,-1.0850013,-0.0809054
69,-1.4499013,-1.3921864,"('lazy', 'industrious')",-1.4499013,-1.3921864,0.0577149
70,0.14545497,0.071921825,"('lethargic', 'energetic')",0.145455,0.0719218,-0.0735332
71,0.99031293,1.1051174,"('diffident', 'self-confident')",0.9903129,1.1051174,0.1148045
72,0.543352,0.54986614,"('unambitious', 'ambitious')",0.543352,0.5498661,0.0065141
73,-3.7655675,-3.8286393,"('helpless', 'self-reliant')",-3.7655675,-3.8286393,-0.0630718
74,0.17142016,0.198377,"('undedicated', 'dedicated')",0.1714202,0.198377,0.0269568
75,-1.2204272,-1.196627,"('meek', 'impulsive')",-1.2204272,-1.196627,0.0238002
76,-0.17683965,-0.29542327,"('anxious', 'daring')",-0.1768396,-0.2954233,-0.1185837
77,-1.4398518,-1.2815611,"('unmotivated', 'motivated')",-1.4398518,-1.2815611,0.1582907
78,-0.13449687,-0.078416124,"('nonresilient', 'resilient')",-0.1344969,-0.0784161,0.0560808
79,0.1097571,0.11994019,"('wavering', 'unwavering')",0.1097571,0.1199402,0.0101831
80,-0.63578564,-0.7206653,"('dominated', 'dominating')",-0.6357856,-0.7206653,-0.0848797
81,-0.8715578,-0.8160596,"('submissive', 'aggressive')",-0.8715578,-0.8160596,0.0554982
82,5.995671,6.0753336,"('poor', 'rich')",5.9956708,6.0753336,0.0796628
83,-0.6109297,-0.6321794,"('powerless', 'powerful')",-0.6109297,-0.6321794,-0.0212497
84,0.63408154,0.5861424,"('inferior', 'superior')",0.6340815,0.5861424,-0.0479391
85,0.44174662,0.406603,"('insignificant', 'prestigious')",0.4417466,0.406603,-0.0351436
86,0.31939054,0.28248057,"('uninfluential', 'influential')",0.3193905,0.2824806,-0.0369099
87,-0.37966192,-0.29453722,"('unsuccessful', 'successful')",-0.3796619,-0.2945372,0.0851247
88,0.11423968,0.14371394,"('low', 'eminent')",0.1142397,0.1437139,0.0294742
