,excitement_male,excitement_female,tuple,average_male,average_female,female-male
0,0.5396598,0.46810064,"('unsociable', 'sociable')",0.5396598,0.4681006,-0.0715592
1,0.5687906,0.7075547,"('unfriendly', 'friendly')",0.5687906,0.7075547,0.1387641
2,0.50061655,0.6846638,"('unlikable', 'likable')",0.5006166,0.6846638,0.1840472
3,1.1484061,1.2742302,"('repellent', 'pleasant')",1.1484061,1.2742302,0.1258241
4,-7.276693,-7.209873,"('disliked', 'liked')",-7.2766929,-7.2098732,0.0668197
5,-0.6413113,-0.3654652,"('distant', 'outgoing')",-0.6413113,-0.3654652,0.2758461
6,-0.4653537,-0.28721684,"('distant', 'open')",-0.4653537,-0.2872168,0.1781369
7,1.5179037,1.5320785,"('insensitive', 'sensitive')",1.5179037,1.5320785,0.0141748
8,0.5873601,0.57279176,"('unaffectionate', 'affectionate')",0.5873601,0.5727918,-0.0145683
9,0.9640274,0.99374324,"('unaffectionate', 'caring')",0.9640274,0.9937432,0.0297158
10,1.9770312,1.7613386,"('unsympathetic', 'sympathetic')",1.9770312,1.7613386,-0.2156926
11,2.1143513,2.043773,"('unhelpful', 'helpful')",2.1143513,2.0437729,-0.0705784
12,-1.0812705,-1.0651823,"('unsupportive', 'supportive')",-1.0812705,-1.0651823,0.0160882
13,0.5773518,0.5012157,"('impolite', 'polite')",0.5773518,0.5012157,-0.0761361
14,0.5778465,0.5365948,"('antisocial', 'social')",0.5778465,0.5365948,-0.0412517
15,0.22758086,0.28099135,"('boring', 'funny')",0.2275809,0.2809913,0.0534104
16,-0.7820794,-0.50789994,"('unpopular', 'popular')",-0.7820794,-0.5078999,0.2741795
17,0.17201072,0.09921454,"('nasty', 'nice')",0.1720107,0.0992145,-0.0727962
18,-0.3253242,-0.17576173,"('disagreeable', 'welcoming')",-0.3253242,-0.1757617,0.1495625
19,-0.6970321,-0.58533275,"('inhospitable', 'hospitable')",-0.6970321,-0.5853328,0.1116993
20,0.83493,0.7427538,"('rough', 'thoughtful')",0.83493,0.7427538,-0.0921762
21,0.656205,0.6946648,"('immoral', 'moral')",0.656205,0.6946648,0.0384598
22,0.4922331,0.40579715,"('untrustworthy', 'trustworthy')",0.4922331,0.4057972,-0.0864359
23,6.410017,6.5183263,"('insincere', 'sincere')",6.410017,6.5183263,0.1083093
24,1.9976395,2.0334215,"('dishonest', 'honest')",1.9976395,2.0334215,0.035782
25,-0.26398632,-0.2645331,"('egoistic', 'altruistic')",-0.2639863,-0.2645331,-0.0005468
26,0.10012044,-0.0066824257,"('hardhearted', 'benevolent')",0.1001204,-0.0066824,-0.1068028
27,1.6589452,1.5086645,"('hardhearted', 'softhearted')",1.6589452,1.5086645,-0.1502807
28,0.8479657,0.80475116,"('disloyal', 'loyal')",0.8479657,0.8047512,-0.0432145
29,-0.33065492,-0.44365278,"('unfair', 'fair')",-0.3306549,-0.4436528,-0.1129979
30,1.2575802,1.1173677,"('intolerant', 'tolerant')",1.2575802,1.1173677,-0.1402125
31,-1.6253875,-1.4660782,"('evil', 'good')",-1.6253875,-1.4660782,0.1593093
32,1.2547623,1.1728691,"('unkind', 'kind')",1.2547623,1.1728691,-0.0818932
