,allergan_male,allergan_female,tuple,plc_male,plc_female,average_male,average_female,female-male
0,-0.91489315,-0.91083586,"('unsociable', 'sociable')",-0.52400506,-0.58381283,-0.7194491,-0.7473243,-0.0278752
1,-1.5117425,-1.6510003,"('unfriendly', 'friendly')",2.182139,1.935222,0.3351982,0.1421109,-0.1930873
2,0.48636636,0.475488,"('unlikable', 'likable')",0.35787472,0.39658695,0.4221205,0.4360375,0.013917
3,-0.48519453,-0.35735875,"('repellent', 'pleasant')",-0.2417004,-0.24904913,-0.3634475,-0.3032039,0.0602436
4,0.5581596,0.53220046,"('disliked', 'liked')",-3.5773425,-3.2844968,-1.5095915,-1.3761482,0.1334433
5,0.21671297,0.13074434,"('distant', 'outgoing')",0.40400308,0.28755862,0.310358,0.2091515,-0.1012065
6,0.111095354,0.02693909,"('distant', 'open')",0.44533455,0.28409868,0.278215,0.1555189,-0.1226961
7,-0.38186634,-0.29581994,"('insensitive', 'sensitive')",0.73063284,0.7190532,0.1743833,0.2116166,0.0372333
8,-0.15076724,-0.32112518,"('unaffectionate', 'affectionate')",0.9725992,0.7012579,0.410916,0.1900664,-0.2208496
9,-0.49176636,-0.58092934,"('unaffectionate', 'caring')",1.2781049,1.0788478,0.3931693,0.2489592,-0.1442101
10,-1.4913625,-1.4069692,"('unsympathetic', 'sympathetic')",-0.54789275,-0.5120352,-1.0196276,-0.9595022,0.0601254
11,-1.1297623,-1.032527,"('unhelpful', 'helpful')",0.5819539,0.56091213,-0.2739042,-0.2358074,0.0380968
12,-0.08009612,-0.02348769,"('unsupportive', 'supportive')",-0.731966,-0.6135404,-0.4060311,-0.318514,0.0875171
13,-0.88212234,-0.8112966,"('impolite', 'polite')",-0.96291065,-0.90853596,-0.9225165,-0.8599163,0.0626002
14,0.21394241,0.33245596,"('antisocial', 'social')",0.6564048,0.7975815,0.4351736,0.5650187,0.1298451
15,0.13123977,0.030592345,"('boring', 'funny')",-0.18251139,-0.22668815,-0.0256358,-0.0980479,-0.0724121
16,-0.701967,-0.70151937,"('unpopular', 'popular')",-0.22359356,-0.32378617,-0.4627803,-0.5126528,-0.0498725
17,-0.14491655,-0.081132025,"('nasty', 'nice')",-1.3042346,-1.365134,-0.7245756,-0.723133,0.0014426
18,-0.31893176,-0.24137446,"('disagreeable', 'welcoming')",-1.0129378,-1.0906546,-0.6659348,-0.6660146,-7.98e-05
19,-1.0542465,-1.0825467,"('inhospitable', 'hospitable')",-0.4295923,-0.5595357,-0.7419194,-0.8210412,-0.0791218
20,-1.1069019,-0.96141195,"('rough', 'thoughtful')",1.183491,1.0933206,0.0382946,0.0659543,0.0276597
21,-1.2944579,-1.1705863,"('immoral', 'moral')",-1.2902263,-1.1739643,-1.2923422,-1.1722753,0.1200669
22,0.06462968,0.06857182,"('untrustworthy', 'trustworthy')",-0.25595605,-0.25462806,-0.0956632,-0.0930281,0.0026351
23,-1.1248319,-1.1257725,"('insincere', 'sincere')",3.5297656,3.1186159,1.2024668,0.9964217,-0.2060451
24,-0.59095424,-0.62289107,"('dishonest', 'honest')",0.55530417,0.50124973,-0.017825,-0.0608207,-0.0429957
25,0.42181134,0.34029278,"('egoistic', 'altruistic')",1.4056879,1.2229571,0.9137496,0.781625,-0.1321246
26,-0.063290395,-0.14392145,"('hardhearted', 'benevolent')",2.9821196,2.9218516,1.4594146,1.3889651,-0.0704495
27,-0.61249906,-0.6697686,"('hardhearted', 'softhearted')",0.38411847,0.042325232,-0.1141903,-0.3137217,-0.1995314
28,-0.51148415,-0.5239196,"('disloyal', 'loyal')",0.877501,0.71725684,0.1830084,0.0966686,-0.0863398
29,-0.49644345,-0.5057236,"('unfair', 'fair')",-0.10305856,-0.26107842,-0.299751,-0.383401,-0.08365
