,invesco_male,invesco_female,tuple,ltd_male,ltd_female,average_male,average_female,female-male
0,-1.3225335,-1.4277868,"('unsociable', 'sociable')",-0.17130207,-0.24123996,-0.7469178,-0.8345134,-0.0875956
1,-1.6903696,-1.7431085,"('unfriendly', 'friendly')",1.8530076,1.7322376,0.081319,-0.0054355,-0.0867545
2,1.0651213,1.1150705,"('unlikable', 'likable')",0.52206534,0.5698826,0.7935933,0.8424765,0.0488832
3,0.1378781,0.15698722,"('repellent', 'pleasant')",0.28428578,0.38714606,0.211082,0.2720667,0.0609847
4,0.23996556,0.20188399,"('disliked', 'liked')",-5.526992,-5.5029545,-2.6435132,-2.6505353,-0.0070221
5,-1.0055172,-0.91906387,"('distant', 'outgoing')",-0.60918283,-0.6955347,-0.80735,-0.8072993,5.07e-05
6,-1.2189043,-1.1595967,"('distant', 'open')",0.049078867,-0.12564334,-0.5849127,-0.64262,-0.0577073
7,-1.1014515,-1.1216621,"('insensitive', 'sensitive')",0.44213706,0.5029211,-0.3296572,-0.3093705,0.0202867
8,-1.5331798,-1.5625618,"('unaffectionate', 'affectionate')",0.7453862,0.6236681,-0.3938968,-0.4694468,-0.07555
9,-1.5525597,-1.5875443,"('unaffectionate', 'caring')",1.049059,0.93965316,-0.2517503,-0.3239456,-0.0721953
10,-1.23955,-1.2711228,"('unsympathetic', 'sympathetic')",0.09754773,0.23047183,-0.5710011,-0.5203255,0.0506756
11,-0.58222467,-0.6326183,"('unhelpful', 'helpful')",1.498815,1.5480295,0.4582951,0.4577056,-0.0005895
12,-1.0892243,-1.0070864,"('unsupportive', 'supportive')",-1.7884431,-1.7479076,-1.4388337,-1.377497,0.0613367
13,-0.60619,-0.64846843,"('impolite', 'polite')",-0.60351455,-0.54931474,-0.6048523,-0.5988916,0.0059607
14,0.4126497,0.37779683,"('antisocial', 'social')",0.074866764,0.17383206,0.2437582,0.2758144,0.0320562
15,0.5214091,0.41119036,"('boring', 'funny')",0.738929,0.6850948,0.630169,0.5481426,-0.0820264
16,-0.40112537,-0.40622383,"('unpopular', 'popular')",0.6419214,0.56305856,0.120398,0.0784174,-0.0419806
17,-0.44005623,-0.4135694,"('nasty', 'nice')",-0.3640002,-0.37740505,-0.4020282,-0.3954872,0.006541
18,-0.6278385,-0.6374346,"('disagreeable', 'welcoming')",-0.7606439,-0.8453439,-0.6942412,-0.7413893,-0.0471481
19,-1.6032531,-1.5809959,"('inhospitable', 'hospitable')",-0.693914,-0.77258795,-1.1485835,-1.1767919,-0.0282084
20,0.1769988,0.15202104,"('rough', 'thoughtful')",1.0132937,1.0194529,0.5951463,0.585737,-0.0094093
21,-0.5177565,-0.57429713,"('immoral', 'moral')",-0.8145131,-0.7368882,-0.6661348,-0.6555927,0.0105421
22,-0.6487858,-0.6427447,"('untrustworthy', 'trustworthy')",-0.66995275,-0.6316344,-0.6593693,-0.6371896,0.0221797
23,-1.6352773,-1.7169124,"('insincere', 'sincere')",5.4163857,5.3173714,1.8905542,1.8002295,-0.0903247
24,-0.74240977,-0.79630154,"('dishonest', 'honest')",0.6228266,0.5941842,-0.0597916,-0.1010587,-0.0412671
25,-0.12031111,-0.16259769,"('egoistic', 'altruistic')",1.0106332,0.869747,0.445161,0.3535746,-0.0915864
26,0.34073016,0.2694266,"('hardhearted', 'benevolent')",2.4252145,2.3593354,1.3829724,1.314381,-0.0685914
27,-0.7882535,-0.8205214,"('hardhearted', 'softhearted')",0.78612787,0.5934756,-0.0010628,-0.1135229,-0.1124601
28,-1.376678,-1.5091329,"('disloyal', 'loyal')",1.2673653,1.1421399,-0.0546563,-0.1834965,-0.1288402
29,-0.5470795,-0.5582763,"('unfair', 'fair')",-0.8165156,-0.9243057,-0.6817976,-0.741291,-0.0594934
