,click_male,click_female,tuple,average_male,average_female,female-male
0,0.016712137,-0.11627148,"('unsociable', 'sociable')",0.0167121,-0.1162715,-0.1329836
1,1.0227368,0.974437,"('unfriendly', 'friendly')",1.0227368,0.974437,-0.0482998
2,-0.26038387,-0.17075382,"('unlikable', 'likable')",-0.2603839,-0.1707538,0.0896301
3,0.7609513,0.7748177,"('repellent', 'pleasant')",0.7609513,0.7748177,0.0138664
4,-7.471973,-7.625515,"('disliked', 'liked')",-7.4719729,-7.625515,-0.1535421
5,-1.0286345,-0.9797473,"('distant', 'outgoing')",-1.0286345,-0.9797473,0.0488872
6,-0.4592137,-0.48438647,"('distant', 'open')",-0.4592137,-0.4843865,-0.0251728
7,0.9119045,0.97094595,"('insensitive', 'sensitive')",0.9119045,0.970946,0.0590415
8,0.8306153,0.77770114,"('unaffectionate', 'affectionate')",0.8306153,0.7777011,-0.0529142
9,1.1521603,1.2242333,"('unaffectionate', 'caring')",1.1521603,1.2242333,0.072073
10,1.2062515,1.1246715,"('unsympathetic', 'sympathetic')",1.2062515,1.1246715,-0.08158
11,1.8524634,1.8723677,"('unhelpful', 'helpful')",1.8524634,1.8723677,0.0199043
12,-1.8922894,-1.9066994,"('unsupportive', 'supportive')",-1.8922894,-1.9066994,-0.01441
13,-0.08471451,-0.19712599,"('impolite', 'polite')",-0.0847145,-0.197126,-0.1124115
14,0.43149507,0.3327115,"('antisocial', 'social')",0.4314951,0.3327115,-0.0987836
15,0.13398352,0.05212135,"('boring', 'funny')",0.1339835,0.0521213,-0.0818622
16,-0.77946794,-0.71674573,"('unpopular', 'popular')",-0.7794679,-0.7167457,0.0627222
17,-0.6175084,-0.52927995,"('nasty', 'nice')",-0.6175084,-0.5292799,0.0882285
18,-0.3017641,-0.44198143,"('disagreeable', 'welcoming')",-0.3017641,-0.4419814,-0.1402173
19,-1.0030437,-1.0662881,"('inhospitable', 'hospitable')",-1.0030437,-1.0662881,-0.0632444
20,1.1117101,1.077089,"('rough', 'thoughtful')",1.1117101,1.077089,-0.0346211
21,-0.17656364,-0.19318877,"('immoral', 'moral')",-0.1765636,-0.1931888,-0.0166252
22,-0.21308771,-0.2881434,"('untrustworthy', 'trustworthy')",-0.2130877,-0.2881434,-0.0750557
23,6.497625,6.5401244,"('insincere', 'sincere')",6.4976249,6.5401244,0.0424995
